catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives
10,tip_split_local,A,np2,,8687,3261,0.2215,1.61362,1.61374,0.00013,-0.00013,0.00645,+0.00000;+0.00501;+0.00024,+++,+,False,0.64677,False,"run-1 #10 encoding with captured local tip times (2022+ only; uncaptured rows NaN, never bucketed)",0.9821322222222222,False,False
7,b2b_x_age_pooled,C,ft,,8687,3261,0.0,2.00339,2.00381,0.00042,-0.00042,0.03268,+0.00064;-0.00021;+0.00016,+-+,+,False,0.64677,False,player-level B2B flag x (age-27); pooled product — the moderator-permutation version lives in the interactions protocol,0.9821322222222222,False,False
80,minutes_load_x_age_pooled,H,np2,,8687,3261,0.0,1.61362,1.61427,0.00066,-0.00066,0.03864,-0.00053;-0.00047;-0.00057,---,+,False,0.67662,False,7-day strictly-prior minutes load (#79 machinery) x (age-27); pooled product,0.990765,False,False
31,weight_x_b2b_pooled,C,np2,,8687,3261,0.009,1.61362,1.61382,0.00021,-0.00021,0.00591,-0.00006;-0.00215;+0.00099,--+,+,False,0.71144,False,player-level B2B flag x (weight-170); pooled product; 15 in-window player-seasons lack weight (NaN),1.0,False,False
9,travel_km_since_last,A,fg3,,8687,3261,0.0,3.38333,3.38381,0.00048,-0.00048,-0.05409,-0.00204;-0.00155;-0.00086,---,+,False,0.77114,False,haversine km venue-to-venue vs own previous played game; first game of season = 0 (schedule fact),1.0,False,False
9,travel_km_since_last,A,paint,,8687,3261,0.0,3.47994,3.48085,0.00091,-0.00091,0.02903,+0.00003;+0.00079;+0.00127,+++,+,False,0.8607,False,haversine km venue-to-venue vs own previous played game; first game of season = 0 (schedule fact),1.0,False,False
86,venue_elevation,H,ft,,8687,3261,0.0,2.00339,2.00435,0.00096,-0.00096,0.02909,+0.00093;+0.00118;+0.00101,+++,+,False,0.96517,False,home arena elevation in kft (schedule fact; max 2.03 kft Las Vegas — near-zero expected per catalog),1.0,False,False
7,b2b_x_age_pooled,C,fg3,,8687,3261,0.0,3.38333,3.38438,0.00104,-0.00104,-0.04588,-0.00065;+0.00586;-0.00032,-+-,+,False,0.77612,False,player-level B2B flag x (age-27); pooled product — the moderator-permutation version lives in the interactions protocol,1.0,False,False
31,weight_x_b2b_pooled,C,fg3,,8687,3261,0.009,3.38333,3.3846,0.00126,-0.00126,0.02225,+0.00648;+0.00073;-0.00006,++-,+,False,0.85572,False,player-level B2B flag x (weight-170); pooled product; 15 in-window player-seasons lack weight (NaN),1.0,False,False
33,age_x_travel_pooled,C,np2,,8687,3261,0.0,1.61362,1.61506,0.00144,-0.00144,0.04206,-0.00144;+0.00149;-0.00015,-+-,+,False,0.90547,False,travel km x (age-27); pooled product — interactions protocol owns the moderator test,1.0,False,False
30,draft_pedigree_lowexp,C,paint,,8687,3261,0.0765,3.47994,3.48161,0.00167,-0.00167,-0.10502,+0.00129;-0.00357;+0.00003,+-+,+,False,0.9403,False,"ln(40/pick) gated to experience<=2 (0 for vets, NaN for undrafted — no debut year in bios); undrafted pick=40",1.0,False,False
86,venue_elevation,H,np2,,8687,3261,0.0,1.61362,1.61535,0.00173,-0.00173,0.13349,-0.00149;-0.00508;+0.00409,--+,+,False,0.99005,False,home arena elevation in kft (schedule fact; max 2.03 kft Las Vegas — near-zero expected per catalog),1.0,False,False
29,experience_x_minutes_vol,C,np2,,8687,3261,0.0765,1.61362,1.61562,0.002,-0.002,0.0632,-0.00101;-0.00111;-0.00303,---,+,False,0.9403,False,(exp-5) x rolling-10 std of minutes; exp = season - draft_year (drafted only; undrafted NaN); pooled product,1.0,False,False
7,b2b_x_age_pooled,C,paint,,8687,3261,0.0,3.47994,3.48412,0.00418,-0.00418,0.07455,-0.00010;-0.00129;+0.00270,--+,+,False,0.96517,False,player-level B2B flag x (age-27); pooled product — the moderator-permutation version lives in the interactions protocol,1.0,False,False
27,age_curve_peak,C,paint,30.0,8687,3261,0.0,3.47994,3.48579,0.00585,-0.00585,0.13198,-0.00428;-0.00677;+0.00305,--+,+,False,1.0,False,"-(age-peak)^2; peak swept 22..34 on inner folds (the #92 sweep-engine precedent), frozen per channel",1.0,False,False
27,age_curve_peak,C,np2,31.0,8687,3261,0.0,1.61362,1.61989,0.00628,-0.00628,0.09062,-0.00321;-0.00073;-0.00024,---,+,False,1.0,False,"-(age-peak)^2; peak swept 22..34 on inner folds (the #92 sweep-engine precedent), frozen per channel",1.0,False,False
