stratum,target,carrier,carrier_level,null,n,injected_dR2,benchmark,achieved_dR2,p_correct_level,p_row_level_NAIVE,null_sd_correct,null_sd_row,sd_inflation,DETECTED
POOLED,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.002057,"D089 largest measured, ALIVE",0.0020570000000000037,0.0016638935108153079,0.0016638935108153079,6.1014315401640144e-05,5.504728338037163e-05,1.1083983015117544,True
POOLED,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.001127,"D079 shot mix, DEAD",0.0011270000000000008,0.0016638935108153079,0.0016638935108153079,5.926408936335497e-05,5.491419019341608e-05,1.0792126616930504,True
POOLED,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.0005,(intermediate),0.0004999999999999994,0.0033277870216306157,0.0016638935108153079,5.84001443582575e-05,5.4799326391445035e-05,1.0657091647640144,True
POOLED,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.000129,"D084 opp conversion, DEAD",0.0001289999999999999,0.09151414309484193,0.056572379367720464,5.834169558021517e-05,5.469778312327719e-05,1.0666190154128434,False
POOLED,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,13402,5e-05,(below every benchmark),4.999999999999976e-05,0.2928452579034942,0.24625623960066556,5.853594820879777e-05,5.466123528054e-05,1.070885937874829,False
POOLED,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.002057,"D089 largest measured, ALIVE",0.002056999999999998,0.0016638935108153079,0.0016638935108153079,0.00021232995984605776,8.351277509482668e-05,2.542484782776795,True
POOLED,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.001127,"D079 shot mix, DEAD",0.0011269999999999952,0.0033277870216306157,0.0016638935108153079,0.0001727025763479801,8.335147493498268e-05,2.071979847779475,True
POOLED,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.0005,(intermediate),0.0004999999999999964,0.024958402662229616,0.0066555740432612314,0.00014162720585065333,8.32081108388782e-05,1.7020841408705478,True
POOLED,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.000129,"D084 opp conversion, DEAD",0.0001289999999999984,0.23960066555740434,0.1447587354409318,0.00011729337088879437,8.307716520520086e-05,1.4118605347098614,False
POOLED,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,5e-05,(below every benchmark),4.999999999999936e-05,0.4559068219633943,0.33943427620632277,0.00010944308365942116,8.30288090639305e-05,1.3181338488807206,False
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.002057,"D089 largest measured, ALIVE",0.0020570000000000002,1.0,0.0016638935108153079,0.0008086381049897274,7.73144815459752e-05,10.45907686141398,False
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.001127,"D079 shot mix, DEAD",0.001127,1.0,0.0016638935108153079,0.0007445004090499375,7.730768727217985e-05,9.630354177182266,False
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.0005,(intermediate),0.0005000000000000002,1.0,0.0033277870216306157,0.0006834323682236876,7.730759583144573e-05,8.840429725867816,False
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.000129,"D084 opp conversion, DEAD",0.000129,1.0,0.1497504159733777,0.0006233911426301344,7.731353098638271e-05,8.063157052546634,False
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,13402,5e-05,(below every benchmark),5.000000000000015e-05,1.0,0.34941763727121466,0.0005999602212557358,7.731745732164664e-05,7.759699323269965,False
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.002057,"D089 largest measured, ALIVE",0.0020570000000000002,0.0016638935108153079,0.0016638935108153079,0.00010038774987748565,6.778276359301226e-05,1.4810217901448126,True
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.001127,"D079 shot mix, DEAD",0.001127,0.0016638935108153079,0.0016638935108153079,9.906167747038863e-05,6.758351927316676e-05,1.4657667806553527,True
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.0005,(intermediate),0.0005000000000000002,0.0066555740432612314,0.0033277870216306157,9.824435251902919e-05,6.74067258333828e-05,1.4574859007671046,True
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.000129,"D084 opp conversion, DEAD",0.000129,0.16805324459234608,0.10149750415973377,9.784766254627374e-05,6.724529850239823e-05,1.455085555799624,False
POOLED,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,13402,5e-05,(below every benchmark),5.000000000000015e-05,0.3627287853577371,0.31281198003327787,9.779954022191984e-05,6.718564807068914e-05,1.4556611870294145,False
POOLED,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.002057,"D089 largest measured, ALIVE",0.002056999999999999,0.0016638935108153079,0.0016638935108153079,0.0001798964521151089,8.570074789710827e-05,2.0991234794250726,True
POOLED,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.001127,"D079 shot mix, DEAD",0.0011270000000000002,0.0033277870216306157,0.0016638935108153079,0.00014725044517217682,8.573898836623776e-05,1.7174269020202366,True
POOLED,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.0005,(intermediate),0.0005000000000000003,0.021630615640599003,0.0066555740432612314,0.00012266333144267868,8.57826708534293e-05,1.4299313628537484,True
POOLED,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.000129,"D084 opp conversion, DEAD",0.0001290000000000001,0.17970049916805325,0.1480865224625624,0.00010433288827337248,8.583239935407634e-05,1.2155420221095976,False
POOLED,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,5e-05,(below every benchmark),5.000000000000019e-05,0.3826955074875208,0.39267886855241263,9.86708993706005e-05,8.585359712263006e-05,1.1492925477503602,False
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.002057,"D089 largest measured, ALIVE",0.002056999999999998,1.0,0.0016638935108153079,0.0007534754219440655,9.040886826133431e-05,8.334087534046798,False
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.001127,"D079 shot mix, DEAD",0.0011269999999999989,1.0,0.0016638935108153079,0.0006907860591468828,9.051663837335274e-05,7.631592064848973,False
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.0005,(intermediate),0.0004999999999999993,1.0,0.0066555740432612314,0.0006308206635508079,9.062461862805866e-05,6.9608090285027355,False
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.000129,"D084 opp conversion, DEAD",0.00012899999999999958,1.0,0.12479201331114809,0.0005716062168224474,9.07356661896471e-05,6.299686119323026,False
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,13402,5e-05,(below every benchmark),5e-05,1.0,0.33610648918469216,0.0005484302411290898,9.078026600137266e-05,6.041293612433314,False
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.002057,"D089 largest measured, ALIVE",0.002056999999999998,0.0016638935108153079,0.0016638935108153079,0.00010016490044429207,8.320159469040763e-05,1.2038819786688555,True
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.001127,"D079 shot mix, DEAD",0.0011269999999999989,0.0016638935108153079,0.0016638935108153079,9.893110114562682e-05,8.316273965493172e-05,1.189608490005536,True
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.0005,(intermediate),0.0004999999999999993,0.011647254575707155,0.004991680532445923,9.838697869338049e-05,8.313792892482308e-05,1.1834186870633532,True
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,13402,0.000129,"D084 opp conversion, DEAD",0.00012899999999999958,0.16472545757071547,0.14143094841930118,9.84435694355064e-05,8.312502958584456e-05,1.1842831205713094,False
POOLED,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,13402,5e-05,(below every benchmark),5e-05,0.3793677204658902,0.34608985024958405,9.862215535750916e-05,8.312305821757616e-05,1.1864596595972663,False
DECISION,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.002057,"D089 largest measured, ALIVE",0.002057000000000016,0.0033277870216306157,0.0016638935108153079,0.00030977944769863483,0.0002074306604180071,1.4934120494741616,True
DECISION,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.001127,"D079 shot mix, DEAD",0.0011269999999998625,0.014975041597337771,0.008319467554076539,0.00028282284584607223,0.00020717291168380656,1.365153598254799,True
DECISION,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.0005,(intermediate),0.0004999999999998776,0.12479201331114809,0.06655574043261231,0.0002668798055375311,0.00020693374289618374,1.2896872293631763,False
DECISION,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.000129,"D084 opp conversion, DEAD",0.00012899999999995245,0.4292845257903494,0.30615640599001664,0.00026018858265791195,0.00020670485239030644,1.2587444351166748,False
DECISION,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,5e-05,(below every benchmark),4.999999999997945e-05,0.6372712146422629,0.5574043261231281,0.0002599027844571979,0.00020661727623163284,1.2578947375427993,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.002057,"D089 largest measured, ALIVE",0.002057000000000082,0.9983361064891847,0.0016638935108153079,0.00042469698274811164,0.0001958883055087767,2.1680568507908364,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.001127,"D079 shot mix, DEAD",0.001126999999999988,1.0,0.0066555740432612314,0.0003470236111402783,0.00019563636730576955,1.7738195404022112,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.0005,(intermediate),0.0004999999999999711,1.0,0.059900166389351084,0.00027295989546885014,0.0001954227637011495,1.3967661202779549,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.000129,"D084 opp conversion, DEAD",0.00012899999999998636,1.0,0.33277870216306155,0.0002001592896135398,0.00019523793220240442,1.0252069736429772,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,5111,5e-05,(below every benchmark),4.999999999999409e-05,1.0,0.5440931780366056,0.00017179573528151016,0.00019517259498665168,0.8802246816119839,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.002057,"D089 largest measured, ALIVE",0.002057000000000082,0.0016638935108153079,0.0016638935108153079,0.00021450615727930516,0.00019130834200084724,1.1212587754189787,True
DECISION,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.001127,"D079 shot mix, DEAD",0.001126999999999988,0.0066555740432612314,0.0066555740432612314,0.00021084952085559573,0.00019101351442000415,1.1038460890886275,True
DECISION,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.0005,(intermediate),0.0004999999999999711,0.056572379367720464,0.05490848585690516,0.00020901959557310414,0.00019075886035426967,1.0957267997141593,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.000129,"D084 opp conversion, DEAD",0.00012899999999998636,0.33610648918469216,0.33610648918469216,0.00020874107250764797,0.000190533357587253,1.0955618226171076,False
DECISION,y_pts,F02_prior_fd_pm,player_season,N_PSWAP,5111,5e-05,(below every benchmark),4.999999999999409e-05,0.5474209650582362,0.5507487520798668,0.00020903022125173777,0.00019045204268874476,1.0975478041648272,False
DECISION,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.002057,"D089 largest measured, ALIVE",0.0020570000000012297,0.008319467554076539,0.0016638935108153079,0.0003833475772986551,0.00022301096175381013,1.718962934754061,True
DECISION,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.001127,"D079 shot mix, DEAD",0.0011270000000008433,0.03494176372712146,0.009983361064891847,0.0003368596965617785,0.0002231249722531933,1.5097355224744793,True
DECISION,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.0005,(intermediate),0.0005000000000004465,0.13311148086522462,0.08818635607321132,0.00030129806300811725,0.0002232475659991771,1.349614100649267,False
DECISION,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.000129,"D084 opp conversion, DEAD",0.00012900000000013319,0.4259567387687188,0.34941763727121466,0.00027456418873727503,0.00022338109628346556,1.2291290234732275,False
DECISION,y_ftm,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,5e-05,(below every benchmark),5.000000000005311e-05,0.6123128119800333,0.5590682196339434,0.0002663331790882042,0.00022343661996901274,1.1919853564072918,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.002057,"D089 largest measured, ALIVE",0.002057000000000047,1.0,0.0016638935108153079,0.0009689744390397334,0.0002332161284502849,4.154834596897493,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.001127,"D079 shot mix, DEAD",0.0011269999999999642,1.0,0.011647254575707155,0.0008660702639286415,0.0002329215528532329,3.7182916450602765,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.0005,(intermediate),0.0004999999999999576,1.0,0.08319467554076539,0.0007675309991456501,0.00023264779038132365,3.2991114933334242,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.000129,"D084 opp conversion, DEAD",0.00012899999999998235,1.0,0.3810316139767055,0.0006702083740385904,0.0002323853355026988,2.8840390147200443,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_CYCLIC,5111,5e-05,(below every benchmark),4.999999999999177e-05,1.0,0.5657237936772047,0.0006321306836347694,0.00023228477765233483,2.721360779744645,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.002057,"D089 largest measured, ALIVE",0.002057000000000047,0.0016638935108153079,0.0016638935108153079,0.000229442073338071,0.0002336804212193917,0.9818626316265431,True
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.001127,"D079 shot mix, DEAD",0.0011269999999999642,0.013311148086522463,0.008319467554076539,0.0002296109163278297,0.00023360702341915243,0.9828938914899289,True
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.0005,(intermediate),0.0004999999999999576,0.07820299500831947,0.08818635607321132,0.00023177391415483476,0.0002335489894585608,0.9923995590482271,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.000129,"D084 opp conversion, DEAD",0.00012899999999998235,0.37603993344425957,0.3843594009983361,0.0002357579241252496,0.00023350319769134526,1.0096560837547275,False
DECISION,y_ftm,F02_prior_fd_pm,player_season,N_PSWAP,5111,5e-05,(below every benchmark),4.999999999999177e-05,0.6039933444259568,0.5590682196339434,0.0002377996320414426,0.00023348834997313726,1.0184646560258845,False
DECISION,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.002057,"D089 largest measured, ALIVE",0.002057000000000019,0.0066555740432612314,0.0016638935108153079,0.00037596665439822006,0.0002342245994452638,1.6051544341997268,True
DECISION,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.001127,"D079 shot mix, DEAD",0.0011270000000000167,0.033277870216306155,0.011647254575707155,0.00033454899675646865,0.00023463178652832807,1.425846862893307,True
DECISION,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.0005,(intermediate),0.00050000000000001,0.13810316139767054,0.09151414309484193,0.0003041784806211094,0.0002350302507332868,1.294209914136935,False
DECISION,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,0.000129,"D084 opp conversion, DEAD",0.00012900000000000373,0.4226289517470882,0.3777038269550749,0.00028299930355355526,0.0002354313953878711,1.2020457300833496,False
DECISION,y_any_fta,M01_opp_pf_pg,opp_team_season,N_ENTITY,5111,5e-05,(below every benchmark),5.000000000000227e-05,0.6073211314475874,0.5940099833610649,0.00027707257220463947,0.00023559028069832213,1.176078110622213,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.002057,"D089 largest measured, ALIVE",0.0020569999999999976,1.0,0.0016638935108153079,0.0005872664691628133,0.0002141219005557621,2.7426735314722097,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.001127,"D079 shot mix, DEAD",0.0011270000000000076,1.0,0.008319467554076539,0.0005025993634411873,0.00021357885029514633,2.353226280348645,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.0005,(intermediate),0.0005000000000000073,1.0,0.06821963394342762,0.0004217256054990844,0.00021307478242272275,1.9792375273316747,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,5111,0.000129,"D084 opp conversion, DEAD",0.00012900000000000213,1.0,0.3810316139767055,0.00034205094097983994,0.00021259229764149503,1.608952651505077,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_CYCLIC,5111,5e-05,(below every benchmark),5.0000000000001026e-05,1.0,0.5607321131447587,0.0003109364934919538,0.00021240768310717438,1.463866508703759,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.002057,"D089 largest measured, ALIVE",0.0020569999999999976,0.0016638935108153079,0.0016638935108153079,0.0002614779490479139,0.00021888103636860537,1.1946121664353482,True
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.001127,"D079 shot mix, DEAD",0.0011270000000000076,0.014975041597337771,0.009983361064891847,0.0002596129183870315,0.00021829387885160764,1.18928171395732,True
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.0005,(intermediate),0.0005000000000000073,0.08985024958402663,0.06821963394342762,0.0002598473864250925,0.00021774584769639906,1.1933517409130814,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,5111,0.000129,"D084 opp conversion, DEAD",0.00012900000000000213,0.36938435940099834,0.3826955074875208,0.0002619139241907088,0.0002172187412444675,1.2057611727707203,False
DECISION,y_any_fta,F02_prior_fd_pm,player_season,N_PSWAP,5111,5e-05,(below every benchmark),5.0000000000001026e-05,0.5856905158069884,0.5657237936772047,0.0002631963878821038,0.00021701643948047092,1.2127947012317866,False
