catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives,null_improvement_q05,null_improvement_q50,null_improvement_q95,null_improvement_max,observed_improvement
33,age_x_travel_pooled,C,paint,,8687,3261,0.0,3.47994,3.47945,-0.00048,0.00048,-0.03955,+0.00001;+0.00023;+0.00003,+++,-,False,0.15423,False,travel km x (age-27); pooled product — interactions protocol owns the moderator test,0.5748572727272727,False,False,-0.002079545822302542,-1.226483223693009e-05,0.0012742725249051262,0.002495635449816902,0.0004842454640514582
27,age_curve_peak,C,fg3,34.0,8687,3261,0.0,3.38333,3.38205,-0.00128,0.00128,0.07837,-0.00567;-0.00172;-0.00249,---,-,True,0.18408,False,"-(age-peak)^2; peak swept 22..34 on inner folds (the #92 sweep-engine precedent), frozen per channel",0.5962346153846154,False,False,-0.0034996602061591717,-4.384948404889677e-05,0.002720197659403543,0.005742636445514204,0.0012838425363690398
30,draft_pedigree_lowexp,C,ft,,8687,3261,0.0765,2.00339,2.00314,-0.00025,0.00025,0.01837,+0.00041;+0.00236;-0.00030,++-,-,False,0.18905,False,"ln(40/pick) gated to experience<=2 (0 for vets, NaN for undrafted — no debut year in bios); undrafted pick=40",0.5962346153846154,False,False,-0.0009469509329692815,-2.7735806916950878e-05,0.0007655589948182712,0.0024917792571641506,0.0002525432669893135
33,age_x_travel_pooled,C,ft,,8687,3261,0.0,2.00339,2.00307,-0.00032,0.00032,-0.00801,+0.01109;-0.00204;+0.00269,+-+,-,False,0.21891,False,travel km x (age-27); pooled product — interactions protocol owns the moderator test,0.6410935714285715,False,False,-0.0012606950023246188,-4.367749560074685e-05,0.000996839156489137,0.0017266285137775839,0.0003214639979121081
27,age_curve_peak,C,ft,34.0,8687,3261,0.0,2.00339,2.00302,-0.00037,0.00037,-0.0063,+0.00036;+0.00072;-0.00007,++-,-,False,0.28856,False,"-(age-peak)^2; peak swept 22..34 on inner folds (the #92 sweep-engine precedent), frozen per channel",0.7139238888888888,False,False,-0.0021347981463308626,-6.970839275632912e-05,0.0012619944595416706,0.0034001665878493625,0.00037044914788442185
80,minutes_load_x_age_pooled,H,ft,,8687,3261,0.0,2.00339,2.00312,-0.00027,0.00027,-0.0113,+0.00067;-0.00020;+0.00159,+-+,-,False,0.31343,False,7-day strictly-prior minutes load (#79 machinery) x (age-27); pooled product,0.7139238888888888,False,False,-0.002195606112551074,-3.0306039871419443e-05,0.0011593266204404924,0.002576736387940315,0.0002703422481244999
33,age_x_travel_pooled,C,fg3,,8687,3261,0.0,3.38333,3.38311,-0.00022,0.00022,0.05824,+0.00018;+0.00274;+0.00004,+++,-,False,0.29353,False,travel km x (age-27); pooled product — interactions protocol owns the moderator test,0.7139238888888888,False,False,-0.0025329452611710266,-0.0001257319175045346,0.0015034401687430417,0.003827459989611093,0.00022406335342939343
29,experience_x_minutes_vol,C,ft,,8687,3261,0.0765,2.00339,2.00324,-0.00015,0.00015,-0.01029,+0.00134;-0.00066;+0.00270,+-+,-,False,0.31343,False,(exp-5) x rolling-10 std of minutes; exp = season - draft_year (drafted only; undrafted NaN); pooled product,0.7139238888888888,False,False,-0.0013717153418417282,-3.279849358883702e-05,0.001181685575241808,0.0021713581145568206,0.00015084404111620486
10,tip_split_local,A,paint,,8687,3261,0.2215,3.47994,3.47987,-7e-05,7e-05,-0.00414,+0.00000;+0.00063;-0.00005,++-,-,False,0.39303,False,"run-1 #10 encoding with captured local tip times (2022+ only; uncaptured rows NaN, never bucketed)",0.8481173684210526,False,False,-0.002768519113586221,-0.00016656765053491007,0.0017212725605342232,0.0035551388893741986,7.120137543203953e-05
10,tip_split_local,A,ft,,8687,3261,0.2215,2.00339,2.00337,-2e-05,2e-05,-0.02355,+0.00000;+0.00414;+0.00058,+++,-,False,0.42289,False,"run-1 #10 encoding with captured local tip times (2022+ only; uncaptured rows NaN, never bucketed)",0.8669245,False,False,-0.0006460533078791019,-1.4808134238597503e-05,0.0005138105100462631,0.0011587956403769084,1.7530814401478523e-05
