screen,file,line,operation,method,key_used,key_class,stable_id_available,rows_diverging_2021_2024,direction,evidence
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/repro_entity_resolution.py,239,UNIQUE,unique,player,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/repro_entity_resolution.py,300,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/repro_entity_resolution.py,332,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/repro_entity_resolution.py,389,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/repro_entity_resolution.py,390,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze_clean.py,20,GROUPBY,groupby,player_id|player_name|team_id|season,MIXED,YES,0,NONE,690 vs 690 baseline rows; high-usage pool 200 vs 200; anchor 200 reproduced EXACT
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze_clean.py,87,GROUPBY,groupby,player_id|player_name,MIXED,YES,0,NONE,"4,983 vs 4,983 teammate rows; anchor 4,983 reproduced EXACT"
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze_clean.py,92,JOIN,merge,player_id|player_name,MIXED,YES,0,NONE,"inner join; 578 vs 578 events, top1_share mean identical to 1e-15"
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/build_redistribution.py,29,GROUPBY,groupby,player_id|player_name|team_id|season,MIXED,YES,0,VOID_ARM,"E0_I0006/NOTES.md declares this script VOID (contaminated source, 'must not be cited'); superseded by analyze_clean.py, which measures 0"
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/build_redistribution.py,74,GROUPBY,groupby,player_id|player_name,MIXED,YES,0,VOID_ARM,VOID per E0_I0006/NOTES.md
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/build_redistribution.py,80,JOIN,merge,player_id|player_name,MIXED,YES,0,VOID_ARM,VOID per E0_I0006/NOTES.md
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/placebo_check.py,50,GROUPBY,groupby,player_id|player_name,MIXED,YES,0,VOID_ARM,VOID per E0_I0006/NOTES.md
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/placebo_check.py,56,JOIN,merge,player_id|player_name,MIXED,YES,0,VOID_ARM,VOID per E0_I0006/NOTES.md
exploration/AUDIT_baseline_provenance,exploration/AUDIT_baseline_provenance/probe.py,165,GROUPBY,groupby,PLAYER_ID|season|zone,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,31,SETINDEX,set_index,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,31,DEDUP,drop_duplicates,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,61,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,64,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,77,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,111,SETINDEX,set_index,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,111,DEDUP,drop_duplicates,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,131,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0003_rebound_interaction,exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,132,JOIN,join,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0004_shot_location_allowance,exploration/E0_I0004_shot_location_allowance/build_and_test.py,174,GROUPBY,groupby,PLAYER_ID|season|zone,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0004_shot_location_allowance,exploration/E0_I0004_shot_location_allowance/build_and_test.py,182,GROUPBY,groupby,PLAYER_ID|zone,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0004_shot_location_allowance,exploration/E0_I0004_shot_location_allowance/build_and_test.py,191,JOIN,merge,PLAYER_ID|season|zone,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0004_shot_location_allowance,exploration/E0_I0004_shot_location_allowance/robustness_loo.py,92,GROUPBY,groupby,PLAYER_ID|season|zone,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0004_shot_location_allowance,exploration/E0_I0004_shot_location_allowance/robustness_loo.py,97,GROUPBY,groupby,PLAYER_ID|zone,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0004_shot_location_allowance,exploration/E0_I0004_shot_location_allowance/robustness_loo.py,104,JOIN,merge,PLAYER_ID|season|zone,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0005_turnover_interaction,exploration/E0_I0005_turnover_interaction/build_data.py,70,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0005_turnover_interaction,exploration/E0_I0005_turnover_interaction/build_data.py,73,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze.py,92,GROUPBY,groupby,absent_player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze_clean.py,47,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze_clean.py,50,SETINDEX,set_index,player_id|team_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze_clean.py,65,DEDUP,drop_duplicates,player_id|team_id|season|game_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/analyze_clean.py,142,JOIN,merge,player_id|team_id|season|game_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/build_redistribution.py,41,SETINDEX,set_index,player_id|team_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/position_check.py,31,JOIN,merge,absent_player_id|season|player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/position_check.py,33,JOIN,merge,top_absorber_id|season|player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0006_usage_redistribution,exploration/E0_I0006_usage_redistribution/position_check.py,42,DEDUP,drop_duplicates,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build.py,37,SETINDEX,set_index,player_id|season_str,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,27,DEDUP,drop_duplicates,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,29,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,33,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,46,GROUPBY,groupby,team_id|season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,49,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,50,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,50,JOIN,merge,team_id|season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,84,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0008_height_differential,exploration/E0_I0008_height_differential/build_rung1_rung2.py,85,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0009_additive_pressure,exploration/E0_I0009_additive_pressure/build_data.py,110,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0009_additive_pressure,exploration/E0_I0009_additive_pressure/build_data.py,112,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/analyze.py,58,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/analyze.py,124,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/analyze.py,126,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/analyze.py,128,JOIN,merge,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/build_features.py,83,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/build_features.py,109,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/build_features.py,203,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/build_features.py,207,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/build_features.py,210,JOIN,merge,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/diagnostics.py,45,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/probe2.py,27,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/probe2.py,31,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/probe2.py,32,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0010_positional_matchup,exploration/E0_I0010_positional_matchup/probe2.py,40,MEMBERSHIP,isin,<var:prv>|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/boundary_check.py,35,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/boundary_check.py,36,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/build_frame.py,152,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/build_frame.py,156,JOIN,merge,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/build_frame.py,164,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/build_frame.py,166,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/build_frame.py,168,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/eda.py,30,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/score.py,44,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/score.py,165,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0011_tendency_estimator,exploration/E0_I0011_tendency_estimator/score.py,168,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/base.py,239,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/base.py,242,JOIN,merge,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/f1_pair_history.py,89,GROUPBY,groupby,player_id|opp_team_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/f1_pair_history.py,91,SETINDEX,set_index,player_id|opp_team_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/f2_availability.py,175,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/f2_availability.py,176,MEMBERSHIP,isin,<attr:index>|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/f34_style_rest.py,235,JOIN,merge,season|game_id|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0012_layer3_noncollinear,exploration/E0_I0012_layer3_noncollinear/r_robustness.py,85,JOIN,merge,season|game_id|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,163,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,164,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,171,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,173,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,176,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,183,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,188,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,193,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,201,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,204,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,207,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,213,JOIN,merge,game_id|team_id|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/rh_base.py,322,GROUPBY,groupby,season|player_id|team_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/s03_build_frame.py,75,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/s03_build_frame.py,95,JOIN,merge,game_id|team_id|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/s03_build_frame.py,97,JOIN,merge,game_id|team_id|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0014_residual_heterogeneity,exploration/E0_I0014_residual_heterogeneity/s03_build_frame.py,118,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0015_points_skill_decomposition,exploration/E0_I0015_points_skill_decomposition/psd_base.py,109,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0015_points_skill_decomposition,exploration/E0_I0015_points_skill_decomposition/psd_base.py,115,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0015_points_skill_decomposition,exploration/E0_I0015_points_skill_decomposition/s00_inspect.py,22,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0015_points_skill_decomposition,exploration/E0_I0015_points_skill_decomposition/s01_reproduce.py,128,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0015_points_skill_decomposition,exploration/E0_I0015_points_skill_decomposition/s02_decompose_hybrid.py,243,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0016_efficiency_predictors,exploration/E0_I0016_efficiency_predictors/s01_build_frame.py,155,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0016_efficiency_predictors,exploration/E0_I0016_efficiency_predictors/s01_build_frame.py,273,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
exploration/E0_I0016_efficiency_predictors,exploration/E0_I0016_efficiency_predictors/s01_build_frame.py,305,GROUPBY,groupby,season|player_id,PLAYER_ID_KEYED,YES_AND_USED,0,NONE,
