screen,candidate,components_named_in_expr,component_levels,components_without_a_recorded_level,null_scheme,null_permutes_or_clusters_at,null_kind,composite_verdict,verdict_reason,evidence
E0_I0016_efficiency_predictors,D05_transition_x_pace,"[""D04_pl_fastbreak_share"", ""D03_pace_sum""]",[],"[""D03_pace_sum"", ""D04_pl_fastbreak_share""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of D03_pace_sum, D04_pl_fastbreak_share is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,E04_3pt_vs_opp_perim,"[""E01_pl_fg3a_share"", ""A05_opp_fg3pct_allowed""]",[],"[""A05_opp_fg3pct_allowed"", ""E01_pl_fg3a_share""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A05_opp_fg3pct_allowed, E01_pl_fg3a_share is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,E05_paint_vs_opp_rim,"[""E02_pl_paintpts_share"", ""A04_opp_blk""]",[],"[""A04_opp_blk"", ""E02_pl_paintpts_share""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A04_opp_blk, E02_pl_paintpts_share is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,E06_pl_efg_prior,"[""fgm"", ""fg3m"", ""fga""]",[],"[""fg3m"", ""fga"", ""fgm""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of fg3m, fga, fgm is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,F01_b2b_x_fg3a_share,"[""_tm_b2b"", ""E01_pl_fg3a_share""]",[],"[""E01_pl_fg3a_share"", ""_tm_b2b""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of E01_pl_fg3a_share, _tm_b2b is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,F02_b2b_x_ftrate,"[""_tm_b2b"", ""B01_pl_ftrate""]",[],"[""B01_pl_ftrate"", ""_tm_b2b""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of B01_pl_ftrate, _tm_b2b is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,F04_load_x_fg3a_share,"[""F03_minutes_load_7d"", ""E01_pl_fg3a_share""]",[],"[""E01_pl_fg3a_share"", ""F03_minutes_load_7d""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of E01_pl_fg3a_share, F03_minutes_load_7d is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,D04_xefg_minus_own,"[""D01_xefg_zone"", ""refB_efg""]",[],"[""D01_xefg_zone"", ""refB_efg""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of D01_xefg_zone, refB_efg is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,F02_lt5ft_x_opplt5ft,"[""A02_share_lt5ft"", ""E02_opp_lt5ft_conceded""]",[],"[""A02_share_lt5ft"", ""E02_opp_lt5ft_conceded""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A02_share_lt5ft, E02_opp_lt5ft_conceded is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,A04_share_paint,"[""Restricted Area"", ""_att""]",[],"[""Restricted Area"", ""_att""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of Restricted Area, _att is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,F01_dist_x_oppdist,"[""A01_dist_mean"", ""E01_opp_dist_conceded""]",[],"[""A01_dist_mean"", ""E01_opp_dist_conceded""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A01_dist_mean, E01_opp_dist_conceded is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,F03_xefg_x_oppxefg,"[""D01_xefg_zone"", ""E04_opp_xefg_conceded""]",[],"[""D01_xefg_zone"", ""E04_opp_xefg_conceded""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of D01_xefg_zone, E04_opp_xefg_conceded is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,F04_3pa_x_opp3pa,"[""A08_share_3pa"", ""E05_opp_3pa_conceded""]",[],"[""A08_share_3pa"", ""E05_opp_3pa_conceded""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A08_share_3pa, E05_opp_3pa_conceded is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,A06_share_corner3,"[""Left Corner 3"", ""Right Corner 3"", ""_att""]",[],"[""Left Corner 3"", ""Right Corner 3"", ""_att""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of Left Corner 3, Right Corner 3, _att is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,B06_3pa_trend,"[""_is3"", ""_att"", ""A08_share_3pa""]",[],"[""A08_share_3pa"", ""_att"", ""_is3""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A08_share_3pa, _att, _is3 is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,B04_dist_trend,"[""B01_dist_t5"", ""A01_dist_mean""]",[],"[""A01_dist_mean"", ""B01_dist_t5""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A01_dist_mean, B01_dist_t5 is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,C05_assisted_trend,"[""C04_assisted_share_t5"", ""C01_assisted_share""]",[],"[""C01_assisted_share"", ""C04_assisted_share_t5""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of C01_assisted_share, C04_assisted_share_t5 is not on this screen's own record and was not invented here",screen source
E0_I0017_shot_quality_efficiency,B05_lt5ft_trend,"[""B02_lt5ft_t5"", ""A02_share_lt5ft""]",[],"[""A02_share_lt5ft"", ""B02_lt5ft_t5""]",entity swap within season at the candidate's declared entity,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A02_share_lt5ft, B02_lt5ft_t5 is not on this screen's own record and was not invented here",screen source
E0_I0019_availability_forecast,pl_prior_season_games,"[""pl_career_games_prior"", ""pl_games_prior""]","[""player_between, measured vsb=0.9349"", ""player_between, measured vsb=0.2631""]",[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0019_availability_forecast,pl_min_per_opp_prior,"[""pl_minutes_prior"", ""pl_opps_prior""]","[""player_between, measured vsb=0.4560"", ""player_between, measured vsb=0.0934""]",[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0019_availability_forecast,pl_boundary_score,[],[],[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0019_availability_forecast,pl_boundary_score_career,[],[],[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0019_availability_forecast,pl_switch_rate,"[""pl_switches"", ""pl_opps_prior""]","[""player_between, measured vsb=0.5862"", ""player_between, measured vsb=0.0934""]",[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0019_availability_forecast,pl_min_cv5,"[""pl_min_sd5"", ""pl_min_mean5""]","[""player_between, measured vsb=0.3458"", ""player_between, measured vsb=0.8604""]",[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0019_availability_forecast,tm_rest_days,"[""gdate""]",[],"[""gdate""]","player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of gdate is not on this screen's own record and was not invented here",screen source
E0_I0019_availability_forecast,tm_win_pct_vs_league,"[""tm_win_pct_prior""]","[""teamgame_between, measured vsb=1.0000""]",[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0019_availability_forecast,mdl_pred_entropy,[],[],[],"player_between primary, player_within secondary, worst-of taken as the verdict",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0029_freethrow_hurdle,X01_fd_x_oppfoul,"[""_c_F02"", ""_c_M01""]",[],"[""_c_F02"", ""_c_M01""]",N_ROW / N_CYCLIC / N_PSWAP / N_ENTITY selected from the declared level; only N_PSWAP and N_ENTITY may carry a verdict,declared level,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of _c_F02, _c_M01 is not on this screen's own record and was not invented here",screen source
E0_I0029_freethrow_hurdle,X02_ftr_x_oppftrate,"[""_c_F01"", ""_c_M04""]",[],"[""_c_F01"", ""_c_M04""]",N_ROW / N_CYCLIC / N_PSWAP / N_ENTITY selected from the declared level; only N_PSWAP and N_ENTITY may carry a verdict,declared level,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of _c_F01, _c_M04 is not on this screen's own record and was not invented here",screen source
E1_I0018_teammate_volume_channel,N01_news_vs_prevgame,"[""T01_c04_tiptime"", ""P01_c04_prevgame""]",[],"[""P01_c04_prevgame"", ""T01_c04_tiptime""]",(not resolved here),,UNDETERMINED,UNDETERMINABLE,null scheme for this screen not established from source in this screen's scope,screen source
E1_I0018_teammate_volume_channel,N02_news_vs_avail,"[""T01_c04_tiptime"", ""P02_c04_availweighted""]",[],"[""P02_c04_availweighted"", ""T01_c04_tiptime""]",(not resolved here),,UNDETERMINED,UNDETERMINABLE,null scheme for this screen not established from source in this screen's scope,screen source
E1_I0023_usage_defence_interaction,A01_opp_efg_allowed,"[""opp_fgm"", ""opp_fg3m"", ""opp_fga""]",[],"[""opp_fg3m"", ""opp_fga"", ""opp_fgm""]",within-date opponent swap of the defence value + cluster sign flip at opp-team-season,team-game / opp-team-season,PERMUTATION_OF_ONE_FACTOR,NOT_EXPOSED,"the permuted factor multiplies every tested term, so permuting it destroys the whole family including the interaction",screen source
E1_I0023_usage_defence_interaction,A02_opp_ts_allowed,"[""opp_pts"", ""opp_fga"", ""opp_fta""]",[],"[""opp_fga"", ""opp_fta"", ""opp_pts""]",within-date opponent swap of the defence value + cluster sign flip at opp-team-season,team-game / opp-team-season,PERMUTATION_OF_ONE_FACTOR,NOT_EXPOSED,"the permuted factor multiplies every tested term, so permuting it destroys the whole family including the interaction",screen source
E0_I0015_points_skill_decomposition,pl_prior_season_games,"[""pl_career_games_prior"", ""pl_games_prior""]","[""measured var_share_between=0.9298"", ""measured var_share_between=0.1732""]",[],"BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0015_points_skill_decomposition,pl_min_cv5,"[""pl_min_sd5"", ""pl_min_mean5""]","[""measured var_share_between=0.2526"", ""measured var_share_between=0.8382""]",[],"BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0015_points_skill_decomposition,pl_teamgames_since_appear,"[""tm_game_idx"", ""_last_ap_idx""]","[""measured var_share_between=0.1038""]","[""_last_ap_idx""]","BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of _last_ap_idx is not on this screen's own record and was not invented here",grouping_levels.csv
E0_I0015_points_skill_decomposition,tm_rest_days,"[""gdate""]",[],"[""gdate""]","BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of gdate is not on this screen's own record and was not invented here",screen source
E0_I0015_points_skill_decomposition,tm_rest_diff,"[""tm_rest_days"", ""opp_rest_days""]","[""measured var_share_between=0.0107"", ""measured var_share_between=0.0184""]",[],"BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv
E0_I0015_points_skill_decomposition,pts__pred_width,"[""pts__pred_q95"", ""pts__pred_q05""]",[],"[""pts__pred_q05"", ""pts__pred_q95""]","BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of pts__pred_q05, pts__pred_q95 is not on this screen's own record and was not invented here",screen source
E0_I0015_points_skill_decomposition,pts__pred_iqr,"[""pts__pred_q75"", ""pts__pred_q25""]",[],"[""pts__pred_q25"", ""pts__pred_q75""]","BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of pts__pred_q25, pts__pred_q75 is not on this screen's own record and was not invented here",screen source
E0_I0015_points_skill_decomposition,minutes__pred_width,"[""minutes__pred_q95"", ""minutes__pred_q05""]",[],"[""minutes__pred_q05"", ""minutes__pred_q95""]","BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of minutes__pred_q05, minutes__pred_q95 is not on this screen's own record and was not invented here",screen source
E0_I0015_points_skill_decomposition,fga__pred_width,"[""fga__pred_q95"", ""fga__pred_q05""]",[],"[""fga__pred_q05"", ""fga__pred_q95""]","BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of fga__pred_q05, fga__pred_q95 is not on this screen's own record and was not invented here",screen source
E0_I0015_points_skill_decomposition,rate_pred_width,"[""pts__pred_width"", ""minutes__pred_point""]","[""measured var_share_between=0.7178"", ""player-season block, measured vsb=0.7914""]",[],"BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv; permutation_nulls.npz + screen_results
E0_I0015_points_skill_decomposition,rate_pred_cv,"[""pts__pred_sd"", ""pts__pred_point""]","[""measured var_share_between=1.0000"", ""player-season block, measured vsb=0.8550""]",[],"BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",grouping_levels.csv; permutation_nulls.npz + screen_results
E0_I0015_points_skill_decomposition,pts_per_min,"[""pts"", ""minutes""]",[],"[""minutes"", ""pts""]","BETWEEN-block if measured vsb>0.5 else WITHIN-block, chosen from the screen's own share",player-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of minutes, pts is not on this screen's own record and was not invented here",screen source
E1_I0021_heterogeneity_diagnostic,A01_opp_efg_allowed,"[""opp_fgm"", ""opp_fg3m"", ""opp_fga""]",[],"[""opp_fg3m"", ""opp_fga"", ""opp_fgm""]",within-player cyclic shift; statistic is the SD of per-player slopes on WITHIN-PLAYER DEMEANED x and y,player,PERMUTATION_OF_COLUMN__WITHIN_ESTIMAND,NOT_EXPOSED,"the estimand is a within-entity slope, so the between-entity component is annihilated before the statistic exists (E1_I0040 measured the consequence at 4.441e-16)",screen source
