test,target,stratum,variant,draw,value
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,71,-0.00417620533850272
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,72,0.0013146687007059244
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,73,0.0026444495887215976
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,74,-0.000557325445470117
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,75,-0.002399436057078931
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,76,-0.0027292726413859275
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,77,0.0023385821175431905
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,78,-0.0044237146358541875
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,79,0.006245248023468802
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,80,0.0015837041482116346
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,81,0.003974815126336769
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,82,0.00020615166136904152
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,83,0.005132728443405955
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,84,0.0029193435791588216
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,85,-0.0026552914185070647
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,86,-0.0008019024395545389
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,87,-0.0024464748688967117
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,88,-0.0004122920170894651
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,89,0.003889253671355174
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,90,-0.0006259364723712167
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,91,0.002521161149067272
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,92,-0.0037461142441161874
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,93,-0.002690777272365477
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,94,0.0017320886447359078
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,95,0.0016503650725302754
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,96,0.0009182962463233104
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,97,0.0036774897996442865
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,98,0.0009983167209787354
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,99,0.0018331979475130315
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,100,-0.001117367857312602
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,101,-0.0035674367329421326
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,102,-0.0002062019401623888
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,103,-0.0021797843085061244
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,104,-0.000636212280796972
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,105,0.0004969065344030474
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,106,-0.005528947172211858
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,107,-0.0008757014680867959
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,108,0.000586356593732776
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,109,0.006160480845958122
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,110,0.0005650340032231556
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,111,0.0047170921821103684
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,112,-0.0014253326409504384
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,113,0.0004947982171382199
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,114,-0.00045906047322418186
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,115,-0.0010666296946097644
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,116,0.002739957532515894
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,117,-0.00026979932683244797
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,118,-0.006264822805780738
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,119,-0.003387998680012695
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,120,-0.0001594208060319371
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,121,-0.0007990656925380972
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,122,0.0003163519970203891
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,123,-0.0016235824179591887
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,124,-0.001206234850224437
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,125,0.006524431917519236
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,126,-0.0038129447776698183
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,127,-0.0010041315238203264
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,128,-0.0010888726611595794
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,129,0.002037553012589757
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,130,0.0012499602892971006
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,131,-0.007812668502612153
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,132,0.0013862290875508087
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,133,0.0036531513901491663
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,134,-0.0011043513129540244
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,135,-0.0012438787344724602
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,136,0.001752317466185389
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,137,0.0029891706152182277
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,138,0.0026505707502905815
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,139,-0.0017667829350576023
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,140,0.001327409497910754
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,141,-0.0009580800339498608
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,142,0.001363104572837573
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,143,-0.004825259004107819
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,144,-0.0002811797233616407
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,145,0.002006847494203589
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,146,0.0020024466809410047
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,147,0.0042572292563186065
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,148,-0.002101816131458792
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,149,-0.0012129344498079447
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,150,-0.00387263776587372
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,151,-0.0022677507296526953
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,152,-0.0031487136372075073
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,153,0.0036234543479038307
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,154,0.0025394184834181635
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,155,0.0012874993517209988
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,156,-0.0020794973566199723
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,157,0.0011757262690667337
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,158,0.0006757409753443759
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,159,-0.0018878171191496786
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,160,0.001306603184253451
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,161,0.0009289758097391928
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,162,-0.004248543753875607
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,163,-0.001692237033879175
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,164,0.0009876101980403926
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,165,0.0010382913721972635
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,166,0.002400931380353075
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,167,-0.002965514149120834
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,168,0.001258255689611611
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,169,-0.00025755289411169986
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,170,0.0015518751452657195
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,171,0.001624885769244702
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,172,-0.004991098772312424
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,173,0.00011017271421151223
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,174,0.004317302871176514
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,175,-0.0007777562333099512
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,176,0.0010845919969173893
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,177,-0.0032290868974732844
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,178,-0.0029215103149692247
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,179,-0.0025757129130145
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,180,0.002225190169870662
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,181,-0.0015990195789195114
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,182,-0.001864040471364057
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,183,3.17106999995912e-05
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,184,-0.002261851726930462
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,185,3.7761485383132504e-05
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,186,-0.001785807605658623
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,187,-0.0035187680770948416
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,188,0.00015029544303742787
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,189,0.0002207415170858547
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,190,0.00046380627713710145
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,191,0.0031358237546320195
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,192,-0.00022863988950796272
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,193,-0.0010413523971508165
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,194,0.0008093364104958604
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,195,-0.0022484365435444854
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,196,-0.0020589498803638014
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,197,-0.0010123268435862413
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,198,0.001678569098441166
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,199,-0.0007054611813953662
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,200,-0.0022091203350504346
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,201,-0.001984333825599309
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,202,0.0003227187192144323
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,203,-0.0020915131038987548
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,204,0.005895444301074564
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,205,-0.006586994201064826
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,206,0.0017712565802479585
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,207,0.0022837589226498466
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,208,-0.001868923127620741
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,209,-0.0022876542249858274
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,210,-0.003812386510198337
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,211,-0.0018056353726178577
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,212,0.0013457283081675228
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,213,0.00012647571644394158
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,214,-0.0008973692857624249
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,215,-0.00341093487267873
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,216,0.0016810361774436532
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,217,-0.001738126158351922
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,218,-0.00010967818872429192
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,219,0.0014466241928423708
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,220,-0.0013262863626280308
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,221,-0.00477864743991796
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,222,0.0007908128251641443
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,223,-0.0030049237001488365
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,224,-9.122457647278238e-05
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,225,0.00037081164713658257
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,226,-0.0022822862958835318
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,227,0.0010877587137385005
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,228,0.002460459853971152
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,229,0.0025524665813142218
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,230,0.00013389768933690752
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,231,-0.0015798387400670082
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,232,0.004868874716485805
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,233,0.000562401803943152
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,234,-0.003145091260256204
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,235,-0.0015160948157459794
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,236,-0.003237389343611789
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,237,-0.004601171087160467
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,238,0.003324667954407706
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,239,0.002707745699827428
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,240,0.003411009147803006
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,241,0.0018217785198307937
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,242,0.0015257514345988195
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,243,0.0011173136054169386
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,244,0.0034842597404464094
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,245,0.0008276091742991376
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,246,-0.002681826079236117
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,247,0.0037890999768844824
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,248,-0.00016370124886427024
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,249,-0.0023336071670502783
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,250,0.0023627485914581264
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,251,-0.003054023451959664
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,252,-0.001336673261808986
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,253,0.0005308794703785965
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,254,-0.0015318891460638715
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,255,-0.0021916780000509808
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,256,0.0016312377387787827
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,257,-0.0018784243149390432
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,258,-0.0005579635131157998
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,259,0.0017694378314220278
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,260,-0.0036701722560967386
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,261,0.0004067776017166586
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,262,-0.005354788876160427
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,263,0.0014480194498322444
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,264,-0.002175475575050363
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,265,-0.002181368792175387
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,266,0.00376631849398466
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,267,-0.0012210085028439594
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,268,-0.0028962276020996825
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,269,-0.0030449477669587032
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,270,0.005201337702848502
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,271,0.004822991262260859
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,272,0.0029205442190854206
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,273,-0.0024906198147494033
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,274,0.0006405749911653116
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,275,0.002217624904140426
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,276,-0.0035894057945074016
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,277,0.0026331665420860594
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,278,0.0013645884524857521
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,279,-0.003660416571446323
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,280,0.004009292979902431
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,281,0.0020566071942342183
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,282,0.002023490486228608
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,283,0.002004731230713458
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,284,0.0029944211974408455
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,285,0.00018969172568458328
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,286,-0.005095221757915575
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,287,-0.0024208446938320527
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,288,0.003882736260835663
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,289,0.002161598122302398
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,290,0.0009809815248438345
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,291,0.0008018374141090317
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,292,-0.003716828663812325
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,293,0.004529567745731341
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,294,0.0006826753675791391
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,295,0.0024668194369374826
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,296,-0.00045181842847755356
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,297,-0.003851413071921118
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,298,0.0006878405740679758
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,299,0.0006478554109424527
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,300,0.0013861515771184218
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,301,-0.003117839975682822
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,302,-0.0012195711304458325
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,303,-0.0005880278344436684
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,304,-0.00026934843263956245
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,305,0.003720263492984622
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,306,0.0009469169704776412
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,307,-0.0024370257243764293
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,308,-0.0009635558606162455
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,309,-0.003569341417228695
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,310,-0.0022800750846567594
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,311,-0.000343759344080264
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,312,-0.0004561302302150017
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,313,-0.001434533152827731
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,314,0.0012768887069004805
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,315,0.00172154413892785
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,316,-0.0020860936372029395
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,317,-0.0026594813587781764
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,318,-0.0018122997635568838
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,319,0.0036936860614736693
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,320,0.00292702775624418
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,321,-0.0037926661112467597
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,322,0.0015858473276698154
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,323,-0.0001949326881903956
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,324,-0.003509564327007783
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,325,-0.003008451880389327
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,326,0.0013917934673230647
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,327,0.0023665331420974164
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,328,-0.002667005874794166
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,329,0.0021901205423446855
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,330,0.0035635565800369393
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,331,0.00041267876834422395
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,332,0.005999117091927404
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,333,0.0006072823469209594
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,334,0.0004122196853691195
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,335,0.0021517018996269335
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,336,-0.0031746981096634516
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,337,0.001992998644662124
ref_variant_vs_D094,pts,wf_eval_2023_24,V0,338,0.006049022871536268
