variant,channel,lambda,mae_fold1,mae_fold2,mae_fold3,mae_mean,chosen
full,paint,100.0,9.598161983538471,9.100958724710987,8.84367845728571,9.180933055178391,True
full,paint,300.0,9.598913380444081,9.14301645879873,8.942933178854283,9.22828767269903,False
full,paint,1000.0,9.772038785636553,9.326966573410747,9.144847688934966,9.414617682660756,False
full,np2,0.01,5.333250478781152,5.483447302421454,4.773764780863769,5.196820854022125,False
full,np2,0.03,5.333189898498075,5.483425590942506,4.773755789276535,5.196790426239039,False
full,np2,0.1,5.33297809044298,5.48334963285776,4.773724327053225,5.196684016784655,False
full,np2,0.3,5.332374828757943,5.483132884439562,4.773634506341429,5.196380739846311,False
full,np2,1.0,5.330285370478301,5.482377454463326,4.7733209638940775,5.195327929611902,False
full,np2,3.0,5.324497325425808,5.480246039702392,4.772432181319661,5.192391848815954,False
full,np2,10.0,5.306829281390201,5.473086389093865,4.769401391916518,5.183105687466861,False
full,np2,30.0,5.2756183970084125,5.458481265799396,4.7613724480579664,5.165157370288591,False
full,np2,100.0,5.254011506308156,5.435712369123751,4.7450169959102695,5.144913623780725,False
full,np2,300.0,5.257220127700072,5.421131201303344,4.725126503371232,5.13449261079155,True
full,np2,1000.0,5.288830623752914,5.418208216906008,4.730098783438789,5.145712541365904,False
ablation_no_rapm,ft,0.01,5.27079599358819,5.1653105412521745,5.2143872123265025,5.216831249055622,False
ablation_no_rapm,ft,0.03,5.270809001960975,5.1652943452282285,5.214386366571646,5.216829904586949,False
ablation_no_rapm,ft,0.1,5.270854513872418,5.165239912014682,5.214383407057839,5.21682594431498,False
ablation_no_rapm,ft,0.3,5.2709843990301515,5.165084478862569,5.214374956686856,5.216814611526526,False
ablation_no_rapm,ft,1.0,5.271437268365024,5.164541515129986,5.214345443118918,5.216774742204643,False
ablation_no_rapm,ft,3.0,5.272716568030205,5.162999174367336,5.214261654562595,5.2166591323200455,False
ablation_no_rapm,ft,10.0,5.277031134238376,5.157815839339015,5.214476096667445,5.216441023414945,False
ablation_no_rapm,ft,30.0,5.288123963487703,5.14442492741711,5.215393547192143,5.215980812698985,True
ablation_no_rapm,ft,100.0,5.32877256056065,5.112723971873446,5.221892368271821,5.221129633568639,False
ablation_no_rapm,ft,300.0,5.4179642552733025,5.082383676399417,5.249358976112443,5.249902302595054,False
ablation_no_rapm,ft,1000.0,5.556309750213602,5.074961438019832,5.302894145336837,5.311388444523423,False
ablation_no_rapm,3pt,0.01,8.821373498511647,9.041274426818427,8.843072386194464,8.901906770508178,True
ablation_no_rapm,3pt,0.03,8.821392855631371,9.041295531840856,8.843090714768422,8.90192636741355,False
ablation_no_rapm,3pt,0.1,8.821460649538187,9.041369366052807,8.84315485591211,8.901994957167702,False
ablation_no_rapm,3pt,0.3,8.821654720933434,9.041580035374517,8.843338040363228,8.902190932223727,False
ablation_no_rapm,3pt,1.0,8.822338243188097,9.04231406302716,8.843978300832328,8.902876869015861,False
ablation_no_rapm,3pt,3.0,8.824325395177176,9.044383291517082,8.845800057522414,8.904836248072224,False
ablation_no_rapm,3pt,10.0,8.834037329172892,9.051314608980809,8.852089094070456,8.912480344074718,False
ablation_no_rapm,3pt,30.0,8.876241798730167,9.068798981270136,8.870541310741391,8.938527363580565,False
ablation_no_rapm,3pt,100.0,9.002229762671393,9.138224097137478,8.937061961004472,9.025838606937782,False
ablation_no_rapm,3pt,300.0,9.209577052610964,9.278459814568906,9.10673171056584,9.198256192581903,False
ablation_no_rapm,3pt,1000.0,9.463218271895483,9.52926083883623,9.470059368150578,9.487512826294099,False
ablation_no_rapm,paint,0.01,9.49315673738193,9.132320670155432,8.583566259349483,9.069681222295614,False
ablation_no_rapm,paint,0.03,9.493048848195038,9.132297002366009,8.583573039505653,9.069639630022232,False
ablation_no_rapm,paint,0.1,9.492671473458799,9.132214187451401,8.58359676540881,9.069494142106338,False
ablation_no_rapm,paint,0.3,9.491595290474816,9.131977764802462,8.583664513927733,9.069079189735003,False
ablation_no_rapm,paint,1.0,9.487852167033486,9.13115251203438,8.583901170667419,9.067635283245094,False
ablation_no_rapm,paint,3.0,9.479818356567913,9.129122493947825,8.584580633923428,9.064507161479723,False
ablation_no_rapm,paint,10.0,9.460450593498399,9.124026235138972,8.588001108664148,9.057492645767173,False
ablation_no_rapm,paint,30.0,9.437563070278978,9.116276644571819,8.600126197847327,9.051321970899375,True
ablation_no_rapm,paint,100.0,9.464961562017997,9.116409222781249,8.643981148417943,9.075117311072397,False
ablation_no_rapm,paint,300.0,9.545957694662752,9.20505659218887,8.783998057686642,9.178337448179422,False
ablation_no_rapm,paint,1000.0,9.800541141267397,9.421889514901197,9.083601882983494,9.435344179717363,False
ablation_no_rapm,np2,0.01,5.358628449064371,5.462702276851147,4.772465660401501,5.197932128772339,False
ablation_no_rapm,np2,0.03,5.358566622997655,5.4626857074607695,4.772456232284844,5.197902854247756,False
ablation_no_rapm,np2,0.1,5.358350428259159,5.462627742138513,4.772423243048943,5.197800471148872,False
ablation_no_rapm,np2,0.3,5.357734408355395,5.462462362675044,4.77232906663853,5.197508612556323,False
ablation_no_rapm,np2,1.0,5.355597742003049,5.4619019440289245,4.77200036284047,5.1965000162908135,False
ablation_no_rapm,np2,3.0,5.349654589396783,5.460477664159185,4.771068969986798,5.193733741180922,False
ablation_no_rapm,np2,10.0,5.33263364063488,5.455720320692807,4.767896976800367,5.185416979376018,False
ablation_no_rapm,np2,30.0,5.300766910026226,5.443826558517093,4.759525038176722,5.168039502240013,False
ablation_no_rapm,np2,100.0,5.268903925302603,5.4173775090285865,4.7433262940181296,5.1432025761164395,False
ablation_no_rapm,np2,300.0,5.271235466804268,5.404493378385712,4.7236121321033,5.13311365909776,True
ablation_no_rapm,np2,1000.0,5.295367785533766,5.409410853181367,4.728857797101583,5.144545478605572,False
