capture_utc,game_date,game_id,away_team,home_team,official_name,official_num,crew_role,source
20260730T223001Z,2026-07-30,1022600210,Minnesota Lynx,Toronto Tempo,Genesis Perrymond,47,Umpire,official_nba_json
20260730T223001Z,2026-07-30,1022600211,Connecticut Sun,Chicago Sky,Isaac Barnett,16,Crew Chief,official_nba_json
20260730T223001Z,2026-07-30,1022600211,Connecticut Sun,Chicago Sky,Tiara Cruse,5,Referee,official_nba_json
20260730T223001Z,2026-07-30,1022600211,Connecticut Sun,Chicago Sky,Gerda Gatling,24,Umpire,official_nba_json
20260730T223001Z,2026-07-30,1022600212,New York Liberty,Las Vegas Aces,Randy Richardson,11,Crew Chief,official_nba_json
20260730T223001Z,2026-07-30,1022600212,New York Liberty,Las Vegas Aces,Angelica Suffren,7,Referee,official_nba_json
20260730T223001Z,2026-07-30,1022600212,New York Liberty,Las Vegas Aces,Angel Kent,26,Umpire,official_nba_json
20260731T145453Z,2026-07-31,1022600213,Seattle Storm,Atlanta Dream,Toni Patillo,76,Crew Chief,official_nba_json
20260731T145453Z,2026-07-31,1022600213,Seattle Storm,Atlanta Dream,Agon Abazi,32,Referee,official_nba_json
20260731T145453Z,2026-07-31,1022600213,Seattle Storm,Atlanta Dream,Kelsey Reynolds,22,Umpire,official_nba_json
20260731T145453Z,2026-07-31,1022600214,Dallas Wings,Washington Mystics,Isaac Barnett,16,Crew Chief,official_nba_json
20260731T145453Z,2026-07-31,1022600214,Dallas Wings,Washington Mystics,Gerda Gatling,24,Referee,official_nba_json
20260731T145453Z,2026-07-31,1022600214,Dallas Wings,Washington Mystics,Ken Jones,36,Umpire,official_nba_json
20260731T145453Z,2026-07-31,1022600215,Indiana Fever,Portland Fire,Kevin Fahy,43,Crew Chief,official_nba_json
20260731T145453Z,2026-07-31,1022600215,Indiana Fever,Portland Fire,Charles Watson,6,Referee,official_nba_json
20260731T145453Z,2026-07-31,1022600215,Indiana Fever,Portland Fire,RJ Johnson,41,Umpire,official_nba_json
20260731T223002Z,2026-07-31,1022600213,Seattle Storm,Atlanta Dream,Toni Patillo,76,Crew Chief,official_nba_json
20260731T223002Z,2026-07-31,1022600213,Seattle Storm,Atlanta Dream,Agon Abazi,32,Referee,official_nba_json
20260731T223002Z,2026-07-31,1022600213,Seattle Storm,Atlanta Dream,Kelsey Reynolds,22,Umpire,official_nba_json
20260731T223002Z,2026-07-31,1022600214,Dallas Wings,Washington Mystics,Isaac Barnett,16,Crew Chief,official_nba_json
20260731T223002Z,2026-07-31,1022600214,Dallas Wings,Washington Mystics,Gerda Gatling,24,Referee,official_nba_json
20260731T223002Z,2026-07-31,1022600214,Dallas Wings,Washington Mystics,Ken Jones,36,Umpire,official_nba_json
20260731T223002Z,2026-07-31,1022600215,Indiana Fever,Portland Fire,Kevin Fahy,43,Crew Chief,official_nba_json
20260731T223002Z,2026-07-31,1022600215,Indiana Fever,Portland Fire,Charles Watson,6,Referee,official_nba_json
20260731T223002Z,2026-07-31,1022600215,Indiana Fever,Portland Fire,RJ Johnson,41,Umpire,official_nba_json
20260801T140002Z,2026-08-01,1022600216,Las Vegas Aces,Chicago Sky,Fatou Cissoko-Stephens,15,Crew Chief,official_nba_json
20260801T140002Z,2026-08-01,1022600216,Las Vegas Aces,Chicago Sky,Sarah Williams,44,Referee,official_nba_json
20260801T140002Z,2026-08-01,1022600216,Las Vegas Aces,Chicago Sky,Tyler Mirkovich,27,Umpire,official_nba_json
20260801T140002Z,2026-08-01,1022600217,New York Liberty,Phoenix Mercury,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260801T140002Z,2026-08-01,1022600217,New York Liberty,Phoenix Mercury,Amy Bonner,31,Referee,official_nba_json
20260801T140002Z,2026-08-01,1022600217,New York Liberty,Phoenix Mercury,Ryan Sassano,3,Umpire,official_nba_json
20260801T223006Z,2026-08-01,1022600216,Las Vegas Aces,Chicago Sky,Fatou Cissoko-Stephens,15,Crew Chief,official_nba_json
20260801T223006Z,2026-08-01,1022600216,Las Vegas Aces,Chicago Sky,Sarah Williams,44,Referee,official_nba_json
20260801T223006Z,2026-08-01,1022600216,Las Vegas Aces,Chicago Sky,Tyler Mirkovich,27,Umpire,official_nba_json
20260801T223006Z,2026-08-01,1022600217,New York Liberty,Phoenix Mercury,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260801T223006Z,2026-08-01,1022600217,New York Liberty,Phoenix Mercury,Amy Bonner,31,Referee,official_nba_json
20260801T223006Z,2026-08-01,1022600217,New York Liberty,Phoenix Mercury,Ryan Sassano,3,Umpire,official_nba_json
20260802T223003Z,2026-08-02,1022600218,Indiana Fever,Minnesota Lynx,Tiara Cruse,5,Crew Chief,official_nba_json
20260802T223003Z,2026-08-02,1022600218,Indiana Fever,Minnesota Lynx,Timothy Greene,9,Referee,official_nba_json
20260802T223003Z,2026-08-02,1022600218,Indiana Fever,Minnesota Lynx,Clare Simmons,28,Umpire,official_nba_json
20260802T223003Z,2026-08-02,1022600219,Los Angeles Sparks,Portland Fire,Maj Forsberg,34,Crew Chief,official_nba_json
20260802T223003Z,2026-08-02,1022600219,Los Angeles Sparks,Portland Fire,Ashley Gloss,10,Referee,official_nba_json
20260802T223003Z,2026-08-02,1022600219,Los Angeles Sparks,Portland Fire,Blanca Burns,8,Umpire,official_nba_json
20260802T223003Z,2026-08-02,1022600220,Connecticut Sun,Dallas Wings,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260802T223003Z,2026-08-02,1022600220,Connecticut Sun,Dallas Wings,Agon Abazi,32,Referee,official_nba_json
20260802T223003Z,2026-08-02,1022600220,Connecticut Sun,Dallas Wings,Kelly Broomfield,25,Umpire,official_nba_json
20260802T223003Z,2026-08-02,1022600221,Toronto Tempo,Golden State Valkyries,Kevin Fahy,43,Crew Chief,official_nba_json
20260802T223003Z,2026-08-02,1022600221,Toronto Tempo,Golden State Valkyries,Ryan Sassano,3,Referee,official_nba_json
20260802T223003Z,2026-08-02,1022600221,Toronto Tempo,Golden State Valkyries,Charles Watson,6,Umpire,official_nba_json
20260803T140003Z,2026-08-03,1022600222,Las Vegas Aces,Atlanta Dream,Isaac Barnett,16,Crew Chief,official_nba_json
20260803T140003Z,2026-08-03,1022600222,Las Vegas Aces,Atlanta Dream,Catherine Chang,35,Referee,official_nba_json
20260803T140003Z,2026-08-03,1022600222,Las Vegas Aces,Atlanta Dream,Genesis Perrymond,47,Umpire,official_nba_json
20260803T140003Z,2026-08-03,1022600223,Seattle Storm,New York Liberty,Randy Richardson,11,Crew Chief,official_nba_json
20260803T140003Z,2026-08-03,1022600223,Seattle Storm,New York Liberty,Gerda Gatling,24,Referee,official_nba_json
20260803T140003Z,2026-08-03,1022600223,Seattle Storm,New York Liberty,Josh Reed,46,Umpire,official_nba_json
20260803T140003Z,2026-08-03,1022600224,Phoenix Mercury,Chicago Sky,Timothy Greene,9,Crew Chief,official_nba_json
20260803T140003Z,2026-08-03,1022600224,Phoenix Mercury,Chicago Sky,Toni Patillo,76,Referee,official_nba_json
20260803T140003Z,2026-08-03,1022600224,Phoenix Mercury,Chicago Sky,Marcy Williams,40,Umpire,official_nba_json
20260803T223002Z,2026-08-03,1022600222,Las Vegas Aces,Atlanta Dream,Isaac Barnett,16,Crew Chief,official_nba_json
20260803T223002Z,2026-08-03,1022600222,Las Vegas Aces,Atlanta Dream,Catherine Chang,35,Referee,official_nba_json
20260803T223002Z,2026-08-03,1022600222,Las Vegas Aces,Atlanta Dream,Genesis Perrymond,47,Umpire,official_nba_json
20260803T223002Z,2026-08-03,1022600223,Seattle Storm,New York Liberty,Randy Richardson,11,Crew Chief,official_nba_json
20260803T223002Z,2026-08-03,1022600223,Seattle Storm,New York Liberty,Gerda Gatling,24,Referee,official_nba_json
20260803T223002Z,2026-08-03,1022600223,Seattle Storm,New York Liberty,Josh Reed,46,Umpire,official_nba_json
20260803T223002Z,2026-08-03,1022600224,Phoenix Mercury,Chicago Sky,Timothy Greene,9,Crew Chief,official_nba_json
20260803T223002Z,2026-08-03,1022600224,Phoenix Mercury,Chicago Sky,Toni Patillo,76,Referee,official_nba_json
20260803T223002Z,2026-08-03,1022600224,Phoenix Mercury,Chicago Sky,Marcy Williams,40,Umpire,official_nba_json
20260804T140002Z,2026-08-04,1022600225,Toronto Tempo,Golden State Valkyries,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260804T140002Z,2026-08-04,1022600225,Toronto Tempo,Golden State Valkyries,Ashley Gloss,10,Referee,official_nba_json
20260804T140002Z,2026-08-04,1022600225,Toronto Tempo,Golden State Valkyries,Blanca Burns,8,Umpire,official_nba_json
20260804T223002Z,2026-08-04,1022600225,Toronto Tempo,Golden State Valkyries,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260804T223002Z,2026-08-04,1022600225,Toronto Tempo,Golden State Valkyries,Ashley Gloss,10,Referee,official_nba_json
20260804T223002Z,2026-08-04,1022600225,Toronto Tempo,Golden State Valkyries,Blanca Burns,8,Umpire,official_nba_json
20260805T140005Z,2026-08-05,1022600226,Phoenix Mercury,Atlanta Dream,Tiara Cruse,5,Crew Chief,official_nba_json
20260805T140005Z,2026-08-05,1022600226,Phoenix Mercury,Atlanta Dream,Angelica Suffren,7,Referee,official_nba_json
20260805T140005Z,2026-08-05,1022600226,Phoenix Mercury,Atlanta Dream,Jason Alabanza,29,Umpire,official_nba_json
20260805T140005Z,2026-08-05,1022600227,Seattle Storm,New York Liberty,Isaac Barnett,16,Crew Chief,official_nba_json
20260805T140005Z,2026-08-05,1022600227,Seattle Storm,New York Liberty,Maj Forsberg,34,Referee,official_nba_json
20260805T140005Z,2026-08-05,1022600227,Seattle Storm,New York Liberty,Kelsey Reynolds,22,Umpire,official_nba_json
20260805T140005Z,2026-08-05,1022600228,Dallas Wings,Washington Mystics,Timothy Greene,9,Crew Chief,official_nba_json
20260805T140005Z,2026-08-05,1022600228,Dallas Wings,Washington Mystics,Ryan Sassano,3,Referee,official_nba_json
20260805T140005Z,2026-08-05,1022600228,Dallas Wings,Washington Mystics,Catherine Chang,35,Umpire,official_nba_json
20260805T140005Z,2026-08-05,1022600229,Los Angeles Sparks,Chicago Sky,Kevin Fahy,43,Crew Chief,official_nba_json
20260805T140005Z,2026-08-05,1022600229,Los Angeles Sparks,Chicago Sky,Angel Kent,26,Referee,official_nba_json
20260805T140005Z,2026-08-05,1022600229,Los Angeles Sparks,Chicago Sky,Josh Reed,46,Umpire,official_nba_json
20260805T223001Z,2026-08-05,1022600226,Phoenix Mercury,Atlanta Dream,Tiara Cruse,5,Crew Chief,official_nba_json
20260805T223001Z,2026-08-05,1022600226,Phoenix Mercury,Atlanta Dream,Angelica Suffren,7,Referee,official_nba_json
20260805T223001Z,2026-08-05,1022600226,Phoenix Mercury,Atlanta Dream,Jason Alabanza,29,Umpire,official_nba_json
20260805T223001Z,2026-08-05,1022600227,Seattle Storm,New York Liberty,Isaac Barnett,16,Crew Chief,official_nba_json
20260805T223001Z,2026-08-05,1022600227,Seattle Storm,New York Liberty,Maj Forsberg,34,Referee,official_nba_json
20260805T223001Z,2026-08-05,1022600227,Seattle Storm,New York Liberty,Kelsey Reynolds,22,Umpire,official_nba_json
20260805T223001Z,2026-08-05,1022600228,Dallas Wings,Washington Mystics,Timothy Greene,9,Crew Chief,official_nba_json
20260805T223001Z,2026-08-05,1022600228,Dallas Wings,Washington Mystics,Ryan Sassano,3,Referee,official_nba_json
20260805T223001Z,2026-08-05,1022600228,Dallas Wings,Washington Mystics,Catherine Chang,35,Umpire,official_nba_json
20260805T223001Z,2026-08-05,1022600229,Los Angeles Sparks,Chicago Sky,Kevin Fahy,43,Crew Chief,official_nba_json
20260805T223001Z,2026-08-05,1022600229,Los Angeles Sparks,Chicago Sky,Angel Kent,26,Referee,official_nba_json
20260805T223001Z,2026-08-05,1022600229,Los Angeles Sparks,Chicago Sky,Josh Reed,46,Umpire,official_nba_json
20260806T140012Z,2026-08-06,1022600230,Las Vegas Aces,Indiana Fever,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260806T140012Z,2026-08-06,1022600230,Las Vegas Aces,Indiana Fever,Toni Patillo,76,Referee,official_nba_json
20260806T140012Z,2026-08-06,1022600230,Las Vegas Aces,Indiana Fever,RJ Johnson,41,Umpire,official_nba_json
20260806T140012Z,2026-08-06,1022600231,Los Angeles Sparks,Minnesota Lynx,Randy Richardson,11,Crew Chief,official_nba_json
20260806T140012Z,2026-08-06,1022600231,Los Angeles Sparks,Minnesota Lynx,Teresa Stuck,37,Referee,official_nba_json
20260806T140012Z,2026-08-06,1022600231,Los Angeles Sparks,Minnesota Lynx,Genesis Perrymond,47,Umpire,official_nba_json
20260806T140012Z,2026-08-06,1022600232,Toronto Tempo,Portland Fire,Clare Simmons,28,Crew Chief,official_nba_json
20260806T140012Z,2026-08-06,1022600232,Toronto Tempo,Portland Fire,Agon Abazi,32,Referee,official_nba_json
20260806T140012Z,2026-08-06,1022600232,Toronto Tempo,Portland Fire,Sarah Williams,44,Umpire,official_nba_json
20260806T223001Z,2026-08-06,1022600230,Las Vegas Aces,Indiana Fever,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260806T223001Z,2026-08-06,1022600230,Las Vegas Aces,Indiana Fever,Toni Patillo,76,Referee,official_nba_json
20260806T223001Z,2026-08-06,1022600230,Las Vegas Aces,Indiana Fever,RJ Johnson,41,Umpire,official_nba_json
20260806T223001Z,2026-08-06,1022600231,Los Angeles Sparks,Minnesota Lynx,Randy Richardson,11,Crew Chief,official_nba_json
20260806T223001Z,2026-08-06,1022600231,Los Angeles Sparks,Minnesota Lynx,Teresa Stuck,37,Referee,official_nba_json
20260806T223001Z,2026-08-06,1022600231,Los Angeles Sparks,Minnesota Lynx,Genesis Perrymond,47,Umpire,official_nba_json
20260806T223001Z,2026-08-06,1022600232,Toronto Tempo,Portland Fire,Clare Simmons,28,Crew Chief,official_nba_json
20260806T223001Z,2026-08-06,1022600232,Toronto Tempo,Portland Fire,Agon Abazi,32,Referee,official_nba_json
20260806T223001Z,2026-08-06,1022600232,Toronto Tempo,Portland Fire,Sarah Williams,44,Umpire,official_nba_json
20260807T140004Z,2026-08-07,1022600233,Phoenix Mercury,Connecticut Sun,Isaac Barnett,16,Crew Chief,official_nba_json
20260807T140004Z,2026-08-07,1022600233,Phoenix Mercury,Connecticut Sun,Ashley Gloss,10,Referee,official_nba_json
20260807T140004Z,2026-08-07,1022600233,Phoenix Mercury,Connecticut Sun,Kelsey Reynolds,22,Umpire,official_nba_json
20260807T140004Z,2026-08-07,1022600234,Atlanta Dream,Washington Mystics,Kevin Fahy,43,Crew Chief,official_nba_json
20260807T140004Z,2026-08-07,1022600234,Atlanta Dream,Washington Mystics,Charles Watson,6,Referee,official_nba_json
20260807T140004Z,2026-08-07,1022600234,Atlanta Dream,Washington Mystics,RJ Johnson,41,Umpire,official_nba_json
20260807T140004Z,2026-08-07,1022600235,Golden State Valkyries,Dallas Wings,Randy Richardson,11,Crew Chief,official_nba_json
20260807T140004Z,2026-08-07,1022600235,Golden State Valkyries,Dallas Wings,Marcy Williams,40,Referee,official_nba_json
20260807T140004Z,2026-08-07,1022600235,Golden State Valkyries,Dallas Wings,Jason Alabanza,29,Umpire,official_nba_json
20260807T223003Z,2026-08-07,1022600233,Phoenix Mercury,Connecticut Sun,Isaac Barnett,16,Crew Chief,official_nba_json
20260807T223003Z,2026-08-07,1022600233,Phoenix Mercury,Connecticut Sun,Ashley Gloss,10,Referee,official_nba_json
20260807T223003Z,2026-08-07,1022600233,Phoenix Mercury,Connecticut Sun,Kelsey Reynolds,22,Umpire,official_nba_json
20260807T223003Z,2026-08-07,1022600234,Atlanta Dream,Washington Mystics,Kevin Fahy,43,Crew Chief,official_nba_json
20260807T223003Z,2026-08-07,1022600234,Atlanta Dream,Washington Mystics,Charles Watson,6,Referee,official_nba_json
20260807T223003Z,2026-08-07,1022600234,Atlanta Dream,Washington Mystics,RJ Johnson,41,Umpire,official_nba_json
20260807T223003Z,2026-08-07,1022600235,Golden State Valkyries,Dallas Wings,Randy Richardson,11,Crew Chief,official_nba_json
20260807T223003Z,2026-08-07,1022600235,Golden State Valkyries,Dallas Wings,Marcy Williams,40,Referee,official_nba_json
20260807T223003Z,2026-08-07,1022600235,Golden State Valkyries,Dallas Wings,Jason Alabanza,29,Umpire,official_nba_json
20260808T140003Z,2026-08-08,1022600236,Las Vegas Aces,Minnesota Lynx,Fatou Cissoko-Stephens,15,Crew Chief,official_nba_json
20260808T140003Z,2026-08-08,1022600236,Las Vegas Aces,Minnesota Lynx,Clare Simmons,28,Referee,official_nba_json
20260808T140003Z,2026-08-08,1022600236,Las Vegas Aces,Minnesota Lynx,Ken Jones,36,Umpire,official_nba_json
20260808T140003Z,2026-08-08,1022600237,Indiana Fever,Chicago Sky,Maj Forsberg,34,Crew Chief,official_nba_json
20260808T140003Z,2026-08-08,1022600237,Indiana Fever,Chicago Sky,Agon Abazi,32,Referee,official_nba_json
20260808T140003Z,2026-08-08,1022600237,Indiana Fever,Chicago Sky,Genesis Perrymond,47,Umpire,official_nba_json
20260808T140003Z,2026-08-08,1022600238,Seattle Storm,Portland Fire,Angel Kent,26,Crew Chief,official_nba_json
20260808T140003Z,2026-08-08,1022600238,Seattle Storm,Portland Fire,Gerda Gatling,24,Referee,official_nba_json
20260808T140003Z,2026-08-08,1022600238,Seattle Storm,Portland Fire,Tyler Mirkovich,27,Umpire,official_nba_json
20260808T223004Z,2026-08-08,1022600236,Las Vegas Aces,Minnesota Lynx,Fatou Cissoko-Stephens,15,Crew Chief,official_nba_json
20260808T223004Z,2026-08-08,1022600236,Las Vegas Aces,Minnesota Lynx,Clare Simmons,28,Referee,official_nba_json
20260808T223004Z,2026-08-08,1022600236,Las Vegas Aces,Minnesota Lynx,Ken Jones,36,Umpire,official_nba_json
20260808T223004Z,2026-08-08,1022600237,Indiana Fever,Chicago Sky,Maj Forsberg,34,Crew Chief,official_nba_json
20260808T223004Z,2026-08-08,1022600237,Indiana Fever,Chicago Sky,Agon Abazi,32,Referee,official_nba_json
20260808T223004Z,2026-08-08,1022600237,Indiana Fever,Chicago Sky,Genesis Perrymond,47,Umpire,official_nba_json
20260808T223004Z,2026-08-08,1022600238,Seattle Storm,Portland Fire,Angel Kent,26,Crew Chief,official_nba_json
20260808T223004Z,2026-08-08,1022600238,Seattle Storm,Portland Fire,Gerda Gatling,24,Referee,official_nba_json
20260808T223004Z,2026-08-08,1022600238,Seattle Storm,Portland Fire,Tyler Mirkovich,27,Umpire,official_nba_json
20260815T223002Z,2026-08-15,1022600256,New York Liberty,Connecticut Sun,Clare Simmons,28,Crew Chief,official_nba_json
20260815T223002Z,2026-08-15,1022600256,New York Liberty,Connecticut Sun,Jason Alabanza,29,Referee,official_nba_json
20260815T223002Z,2026-08-15,1022600256,New York Liberty,Connecticut Sun,Gerda Gatling,24,Umpire,official_nba_json
20260815T223002Z,2026-08-15,1022600257,Los Angeles Sparks,Washington Mystics,Ashley Gloss,10,Crew Chief,official_nba_json
20260815T223002Z,2026-08-15,1022600257,Los Angeles Sparks,Washington Mystics,Angelica Suffren,7,Referee,official_nba_json
20260815T223002Z,2026-08-15,1022600257,Los Angeles Sparks,Washington Mystics,Genesis Perrymond,47,Umpire,official_nba_json
20260815T223002Z,2026-08-15,1022600258,Minnesota Lynx,Las Vegas Aces,Isaac Barnett,16,Crew Chief,official_nba_json
20260815T223002Z,2026-08-15,1022600258,Minnesota Lynx,Las Vegas Aces,Kevin Fahy,43,Referee,official_nba_json
20260815T223002Z,2026-08-15,1022600258,Minnesota Lynx,Las Vegas Aces,Blanca Burns,8,Umpire,official_nba_json
20260816T223002Z,2026-08-16,1022600259,Chicago Sky,Seattle Storm,Toni Patillo,76,Crew Chief,official_nba_json
20260816T223002Z,2026-08-16,1022600259,Chicago Sky,Seattle Storm,Catherine Chang,35,Referee,official_nba_json
20260816T223002Z,2026-08-16,1022600259,Chicago Sky,Seattle Storm,Tyler Mirkovich,27,Umpire,official_nba_json
20260816T223002Z,2026-08-16,1022600260,Portland Fire,Phoenix Mercury,Timothy Greene,9,Crew Chief,official_nba_json
20260816T223002Z,2026-08-16,1022600260,Portland Fire,Phoenix Mercury,Ryan Sassano,3,Referee,official_nba_json
20260816T223002Z,2026-08-16,1022600260,Portland Fire,Phoenix Mercury,Kelly Broomfield,25,Umpire,official_nba_json
20260816T223002Z,2026-08-16,1022600261,Indiana Fever,Atlanta Dream,Tiara Cruse,5,Crew Chief,official_nba_json
20260816T223002Z,2026-08-16,1022600261,Indiana Fever,Atlanta Dream,Randy Richardson,11,Referee,official_nba_json
20260816T223002Z,2026-08-16,1022600261,Indiana Fever,Atlanta Dream,Marcy Williams,40,Umpire,official_nba_json
20260817T140007Z,2026-08-17,1022600262,Dallas Wings,Golden State Valkyries,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260817T140007Z,2026-08-17,1022600262,Dallas Wings,Golden State Valkyries,Tyler Mirkovich,27,Referee,official_nba_json
20260817T140007Z,2026-08-17,1022600262,Dallas Wings,Golden State Valkyries,RJ Johnson,41,Umpire,official_nba_json
20260817T223002Z,2026-08-17,1022600262,Dallas Wings,Golden State Valkyries,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260817T223002Z,2026-08-17,1022600262,Dallas Wings,Golden State Valkyries,Tyler Mirkovich,27,Referee,official_nba_json
20260817T223002Z,2026-08-17,1022600262,Dallas Wings,Golden State Valkyries,RJ Johnson,41,Umpire,official_nba_json
20260818T140002Z,2026-08-18,1022600263,Los Angeles Sparks,Connecticut Sun,Tiara Cruse,5,Crew Chief,official_nba_json
20260818T140002Z,2026-08-18,1022600263,Los Angeles Sparks,Connecticut Sun,Sarah Williams,44,Referee,official_nba_json
20260818T140002Z,2026-08-18,1022600263,Los Angeles Sparks,Connecticut Sun,Kelsey Reynolds,22,Umpire,official_nba_json
20260818T140002Z,2026-08-18,1022600264,Indiana Fever,Toronto Tempo,Kevin Fahy,43,Crew Chief,official_nba_json
20260818T140002Z,2026-08-18,1022600264,Indiana Fever,Toronto Tempo,Clare Simmons,28,Referee,official_nba_json
20260818T140002Z,2026-08-18,1022600264,Indiana Fever,Toronto Tempo,Ryan Sassano,3,Umpire,official_nba_json
20260818T140002Z,2026-08-18,1022600265,New York Liberty,Chicago Sky,Isaac Barnett,16,Crew Chief,official_nba_json
20260818T140002Z,2026-08-18,1022600265,New York Liberty,Chicago Sky,Ashley Gloss,10,Referee,official_nba_json
20260818T140002Z,2026-08-18,1022600265,New York Liberty,Chicago Sky,Agon Abazi,32,Umpire,official_nba_json
20260818T140002Z,2026-08-18,1022600266,Atlanta Dream,Las Vegas Aces,Roy Gulbeyan,42,Crew Chief,official_nba_json
20260818T140002Z,2026-08-18,1022600266,Atlanta Dream,Las Vegas Aces,Amy Bonner,31,Referee,official_nba_json
20260818T140002Z,2026-08-18,1022600266,Atlanta Dream,Las Vegas Aces,Toni Patillo,76,Umpire,official_nba_json
20260818T223002Z,2026-08-18,1022600263,Los Angeles Sparks,Connecticut Sun,Tiara Cruse,5,Crew Chief,official_nba_json
