screen,response,response_kind,components_sum_to,fixed_at_higher_level,classification,published_verdict_on_this_response,evidence_quote,exposure_note,screen_level_classification
E1_I0032_aggregate_stack,MINUTES,level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,"partially established, commercially null","'points, minutes, attempts, points-per-minute'",EXPOSURE LOW: 'not one of those 947 rows is in the decision stratum. Zero.',VIOLATED
E1_I0032_aggregate_stack,"points, attempts, ppm",count / rate,the team total / nothing,no,NOT-APPLICABLE,same,,,VIOLATED
E1_I0032_aggregate_stack,"p_active (binary, Brier)",probability,the realised roster size -- a random variable,NO -- soft,NOT-APPLICABLE,same,,TREATED in AVAILABILITY_AS_CONSTRAINT.md,VIOLATED
E1_I0033_aggregation_level,TEAM POINTS in a team-game (master_team.pts),count,n/a -- this IS the team total,no,HONOURED,team level wins on all six quantities; bottom-up penalty measured,"'The quantities that are allocations of a shared, fixed team budget -- shot attempts out of ~200 team minutes and ~80 possessions -- do not [survive summing], because modelling ten players separately throws away the constraint'",THE SCREEN THAT DISCOVERED THE CONSTRAINT.  It measured it rather than violating it.,HONOURED
E1_I0034_redistribution,"MINUTES (the LEVEL, not Delta)",level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,redistribution ESTABLISHED for minutes on large absences (+1.82% vs champion),'a team's trailing-form minutes do not sum to 200 -- they sum to 199 when everyone is healthy and to 250 when three rotation players are out'; 'Fix the trailing-form arithmetic before anything else. ... This is the same class of defect as D111 ruling 3',"**THE VIOLATION IS SELF-DECLARED AND UNREPAIRED.**  The screen names it, quantifies it at 250 against 200, attributes it to D111 ruling 3, and does not fix it.",VIOLATED
E1_I0034_redistribution,"FGA, points (levels)",count,"the team total, itself the outcome",no,NOT-APPLICABLE,points CLOSED negative,,,VIOLATED
E1_I0035_availability_sum,p_active as a probability forecast of appearance,probability,the realised roster size -- a RANDOM VARIABLE,NO -- soft,NOT-APPLICABLE,defect confirmed and anatomised; no repair enacted,'the model expects 10.34 players to take the floor when 9.40 actually do',TREATED IN FULL in AVAILABILITY_AS_CONSTRAINT.md,HONOURED
E1_I0035_availability_sum,exposure allocation of 200 team-minutes,share,200 team-minutes,YES -- BY THE RULES,HONOURED,"the producer renormalises, so a uniform rescaling cancels exactly","'it hands out a fixed 200 team-minutes in proportion to p_active x expected minutes, so any uniform error in p_active divides out exactly'","HONOURED BY THE PRODUCER.  This is the one place in the programme where the 200-minute budget is actually enforced, and it is enforced in shipping code rather than in a screen.",HONOURED
E1_I0035_availability_sum,team points (master_team.pts),count,n/a,no,NOT-APPLICABLE,same,,,HONOURED
E1_I0036_level_artefact_sweep,"y_oreb and the D097 family, re-levelled to team-game",count,"the team total, itself the outcome",no,HONOURED,level-artefact hypothesis NOT SUPPORTED; the negative record survives,'an offensive rebound is an allocation of a shared budget: exactly one player collects each one. D111's rule says allocations of a shared budget do not survive aggregation from below',HONOURED: it re-levelled to the aggregation the constraint implies and measured the result,HONOURED
E1_I0037_mde_audit,none -- a methods audit of MDE80,-,-,-,NO-RESPONSE,"the claim is false as stated, true in a weaker form",,,NO-RESPONSE
E1_I0038_within_entity_null_audit,"none -- a meta-audit of 1,999 census cells",-,-,-,NO-RESPONSE,"survives in bulk, not intact: 83 of 1,580 exposed",,,NO-RESPONSE
E1_I0039_stacking,MINUTES,level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,NULL on the bettable population: all 20 decision-stratum cells NOT ESTABLISHED,"'Responses: minutes, pts.'",EXPOSURE LOW: every decision-stratum cell is already a null,VIOLATED
E1_I0039_stacking,pts,count,the team total,no,NOT-APPLICABLE,same,,,VIOLATED
E1_I0040_audit_extension,none -- a meta-audit of 30 screens,-,-,-,NO-RESPONSE,"115 of 2,671 exposed programme-wide, zero flips",,,NO-RESPONSE
E1_I0041_tstat_family_audit,none -- a methods audit of a t -> dR2 conversion,-,-,-,NO-RESPONSE,"D103 corrected, conclusion strengthened",,,NO-RESPONSE
E1_I0042_redistribution_replication,MINUTES,level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,"sign replicates (+1.774% frozen), size does not (0.55x its floor); threshold rule KILLED","'Responses: minutes and pts, and they are NEVER compared to each other'; it reproduces E1_I0034's 198.96 / 201.08 / 201.50 / 191.44 / 184.02 accounting exactly",**INHERITS E1_I0034'S UNREPAIRED VIOLATION.**  It reproduced the 250-against-200 arithmetic and did not repair it either.,VIOLATED
E1_I0042_redistribution_replication,pts,count,the team total,no,NOT-APPLICABLE,points cells all negative,,,VIOLATED
E1_I0043_opponent_defence,y_ppm,rate,nothing,no,NOT-APPLICABLE,"alive as measurement, dead as corroboration",,,NOT-APPLICABLE
E1_I0044_broken_nulls_and_composites,inherited residual magnitudes,residual magnitude,nothing,no,NOT-APPLICABLE,kills mostly stand; 0 of 35 survive on the clean window,,,NOT-APPLICABLE
E1_I0045_roster_currency,appeared (Brier),probability,the realised roster size,NO -- soft,NOT-APPLICABLE,"NOT ESTABLISHED; model hygiene, not a commercial gain",,TREATED in AVAILABILITY_AS_CONSTRAINT.md,HONOURED
E1_I0045_roster_currency,exposure misallocation in team-minutes,share,200 team-minutes,YES -- BY THE RULES,HONOURED,misallocation 8.912 -> 2.438 min,'and changed the allocation by literally zero' (of the uniform arm),HONOURED: measured against the 200-minute budget the producer enforces,HONOURED
E1_I0046_allocation,R1_s_pts / R2_s_min / R3_s_fga = y_i / SUM_j y_j,share,"1, within the team-game",YES -- SELF-IMPOSED by conditioning on the realised total,HONOURED,allocation forecastable; 3 of 4 candidates flip sign under the constraint,"'every share sums to 1 within its team-game to < 1e-12', asserted on real and synthetic data",THE REFERENCE SCREEN.  It created its own constraint and honoured it.,HONOURED
E1_I0047_ceiling_validity,y_reb / y_oreb / y_dreb / y_ast / y_pts as recorded per cell,count,"the team total, itself the outcome",no,NOT-APPLICABLE,all 213 ceilings safe; none reopens,,,NOT-APPLICABLE
E1_I0048_shipped_roster_path,none -- a code/provenance audit,-,-,-,NO-RESPONSE,closed; repaired in production 2026-08-06,,,NO-RESPONSE
E1_I0049_benchmark_constants,y_pts; y_ppm; fg_pts,count / rate,the team total / nothing,no,NOT-APPLICABLE,"arithmetic correct, vocabulary wrong; no killed cell reopens",,,NOT-APPLICABLE
E1_I0050_queue_typeI,none stated -- the screen is at s00 only,-,-,-,NOT-DETERMINABLE,no verdict exists,the directory contains no markdown at all and states no response,"NOT-DETERMINABLE because the screen is incomplete, not because the evidence is ambiguous",NOT-DETERMINABLE
AUDIT_baseline_provenance,none -- a repo-wide provenance audit,-,-,-,NO-RESPONSE,"defect confirmed, multiple instances",,,NO-RESPONSE
AUDIT_SCREEN_INTEGRITY,none -- an audit of two known defects,-,-,-,NO-RESPONSE,clean; no verdict downgraded,,,NO-RESPONSE
MEASURE_F1_m13_fitpool,M13's translation residual distribution,residual distribution,nothing,no,NOT-APPLICABLE,verdict survives,,,NOT-APPLICABLE
MANIFEST_REMEDIATION,none -- a manifest classification plan,-,-,-,NO-RESPONSE,plan only; no new contamination,,,NO-RESPONSE
IDEATION_QUEUE,"none -- a queue, not a screen",-,-,-,NO-RESPONSE,n/a,,,NO-RESPONSE
_screen_kit,"none -- shared machinery, NOT MODIFIED BY THIS SCREEN",-,-,-,NO-RESPONSE,n/a,,,NO-RESPONSE
E1_I0052_identity_key_divergence,none stated -- an identity/key provenance audit,-,-,-,NO-RESPONSE,IN PROGRESS at the time of this census -- no verdict document exists,"directory contains run logs and CSVs, no verdict markdown",CONCURRENT SIBLING.  Not read for a verdict.,NO-RESPONSE
E1_I0053_minutes,"R1_min (MINUTES, level) and R2_smin (minutes share)",level / share,200 + 25*n_OT; and 1,YES -- BY THE RULES,HONOURED,"IN PROGRESS at the time of this census -- PREREG.md is hashed, no VERDICT exists yet","its PREREG.md carries RAW and PROJ arms on both responses and the same 3,167-row decision-stratum clean window","**DIRECT COLLISION WITH THIS SCREEN'S RE-MEASUREMENT.**  A sibling agent independently selected MINUTES as the response worth projecting.  That is corroboration of this screen's selection rule and it is also a duplication.  E1_I0053 is the DEDICATED minutes screen and is more thorough on that response than this sweep is; where the two disagree, prefer E1_I0053.  See VERDICT.md and DEFECTS.md D-02.",HONOURED
E1_I0051_constraint_sweep,"M_level_min (MINUTES, level); S_share_min (share)",level / share,200 + 25*n_OT; and 1,YES -- BY THE RULES,HONOURED,this screen -- see VERDICT.md,"measured: T_min lands on the 25-lattice on 1,776 of 1,776 team-games, max residual 0.066667",SELF-REPORTED so the census is complete,HONOURED
