file,line,op,method,keys,class,name_evidence,src
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,109,SETINDEX,set_index,team_id|season,NOT_PLAYER_KEYED,,"team_season.set_index(['team_id', 'season'])"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,111,SETINDEX,set_index,player_id|season,PLAYER_ID_KEYED,player_id,"mp.drop_duplicates(['player_id', 'season']).set_index(['player_id', 'season'])"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,61,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,player_id,"mp.groupby(['player_id', 'season'])"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,106,GROUPBY,groupby,team_id|season,NOT_PLAYER_KEYED,,"mp.groupby(['team_id', 'season'])"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,108,GROUPBY,groupby,season,NOT_PLAYER_KEYED,,team_season.groupby('season')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,136,GROUPBY,groupby,high3_opp,NOT_PLAYER_KEYED,,idf.groupby('high3_opp')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,138,GROUPBY,groupby,high3_opp,NOT_PLAYER_KEYED,,idf.groupby('high3_opp')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,139,GROUPBY,groupby,high3_opp,NOT_PLAYER_KEYED,,idf.groupby('high3_opp')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,25,DEDUP,drop_duplicates,game_id,NOT_PLAYER_KEYED,,poss.drop_duplicates('game_id')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,31,DEDUP,drop_duplicates,player_id,PLAYER_ID_KEYED,player_id,mp.drop_duplicates('player_id')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,111,DEDUP,drop_duplicates,player_id|season,PLAYER_ID_KEYED,player_id,"mp.drop_duplicates(['player_id', 'season'])"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,131,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,player_id,"idf.groupby(['player_id', 'season'])"
exploration/E0_I0003_rebound_interaction/build_events.py,39,SORT,sort_values,game_id|period|start_sec,NOT_PLAYER_KEYED,,"poss.sort_values(['game_id', 'period', 'start_sec'])"
exploration/E0_I0003_rebound_interaction/build_events.py,41,GROUPBY,groupby,game_id|period,NOT_PLAYER_KEYED,,"poss_sorted.groupby(['game_id', 'period'])"
exploration/E0_I0003_rebound_interaction/build_events.py,34,CARDINALITY,nunique,game_id,NOT_PLAYER_KEYED,,poss['game_id'].nunique()
exploration/E0_I0003_rebound_interaction/build_events.py,37,UNIQUE,unique,game_id,NOT_PLAYER_KEYED,,poss['game_id'].unique()
exploration/E0_I0003_rebound_interaction/build_events.py,32,MEMBERSHIP,isin,2021|2022|2023|2024|season,NOT_PLAYER_KEYED,,poss['season'].isin(PARTITION_SEASONS)
exploration/E0_I0003_rebound_interaction/build_events.py,78,MEMBERSHIP,isin,<expr>|<expr>|PERSON1TYPE,NOT_PLAYER_KEYED,,"reb['PERSON1TYPE'].isin([4, 5])"
exploration/E0_I0003_rebound_interaction/build_events.py,36,GROUPBY,groupby,game_id|period,NOT_PLAYER_KEYED,,"poss.groupby(['game_id', 'period'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,60,LOOKUP,map,SHOT_ZONE_BASIC,NOT_PLAYER_KEYED,,shots['SHOT_ZONE_BASIC'].map(merge_zone)
exploration/E0_I0004_shot_location_allowance/build_and_test.py,67,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby('zone')['is3'].agg(['mean', 'size'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,76,UNIQUE,unique,TEAM_ID,NOT_PLAYER_KEYED,,shots.groupby('GAME_ID')['TEAM_ID'].unique()
exploration/E0_I0004_shot_location_allowance/build_and_test.py,115,JOIN,merge,OPP_TEAM_ID|season,NOT_PLAYER_KEYED,,"def_zone.merge(def_pool[['OPP_TEAM_ID', 'season', 'pool_rate']], on=['OPP_TEAM_ID', 'season'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,138,GROUPBY,groupby,zone,NOT_PLAYER_KEYED,,def_zone.groupby('zone')
exploration/E0_I0004_shot_location_allowance/build_and_test.py,152,JOIN,merge,season,NOT_PLAYER_KEYED,,"league_share.merge(league_tot, on='season')"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,154,JOIN,merge,season|zone,NOT_PLAYER_KEYED,,"def_zone.merge(league_share[['season', 'zone', 'league_share']], on=['season', 'zone'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,159,GROUPBY,groupby,zone,NOT_PLAYER_KEYED,,def_zone.groupby('zone')
exploration/E0_I0004_shot_location_allowance/build_and_test.py,182,GROUPBY,groupby,PLAYER_ID|zone,PLAYER_ID_KEYED,player_id,"pz.groupby(['PLAYER_ID', 'zone'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,191,JOIN,merge,PLAYER_ID|season|zone,PLAYER_ID_KEYED,player_id,"shots.merge(baseline, on=['PLAYER_ID', 'season', 'zone'], how='inner')"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,197,JOIN,merge,OPP_TEAM_ID|season|zone,NOT_PLAYER_KEYED,,"shots_b.merge(opp_res, on=['OPP_TEAM_ID', 'season', 'zone'], how='left')"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,202,GROUPBY,groupby,zone,NOT_PLAYER_KEYED,,shots_b.groupby('zone')
exploration/E0_I0004_shot_location_allowance/build_and_test.py,213,JOIN,merge,OPP_TEAM_ID|season,NOT_PLAYER_KEYED,,"shots_b.merge(opp_pool_only, on=['OPP_TEAM_ID', 'season'], how='left')"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,224,GROUPBY,groupby,zone,NOT_PLAYER_KEYED,,shots_b.groupby('zone')
exploration/E0_I0004_shot_location_allowance/build_and_test.py,50,CARDINALITY,value_counts,SHOT_ZONE_BASIC,NOT_PLAYER_KEYED,,shots['SHOT_ZONE_BASIC'].value_counts()
exploration/E0_I0004_shot_location_allowance/build_and_test.py,62,CARDINALITY,value_counts,zone,NOT_PLAYER_KEYED,,shots['zone'].value_counts()
exploration/E0_I0004_shot_location_allowance/build_and_test.py,147,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,"def_zone.groupby(['OPP_TEAM_ID', 'season'])['att'].transform('sum')"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,228,GROUPBY,groupby,half,NOT_PLAYER_KEYED,,g.groupby('half')
exploration/E0_I0004_shot_location_allowance/build_and_test.py,102,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['OPP_TEAM_ID', 'season', 'zone']).agg(att=('made', 'size'), mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,109,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['OPP_TEAM_ID', 'season']).agg(att=('made', 'size'), mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,174,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['PLAYER_ID', 'season', 'zone']).agg(att=('made', 'size'), mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,67,GROUPBY,groupby,zone,NOT_PLAYER_KEYED,,shots.groupby('zone')
exploration/E0_I0004_shot_location_allowance/build_and_test.py,76,GROUPBY,groupby,GAME_ID,NOT_PLAYER_KEYED,,shots.groupby('GAME_ID')
exploration/E0_I0004_shot_location_allowance/build_and_test.py,102,GROUPBY,groupby,OPP_TEAM_ID|season|zone,NOT_PLAYER_KEYED,,"shots.groupby(['OPP_TEAM_ID', 'season', 'zone'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,109,GROUPBY,groupby,OPP_TEAM_ID|season,NOT_PLAYER_KEYED,,"shots.groupby(['OPP_TEAM_ID', 'season'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,143,CARDINALITY,nunique,OPP_TEAM_ID,NOT_PLAYER_KEYED,,g['OPP_TEAM_ID'].nunique()
exploration/E0_I0004_shot_location_allowance/build_and_test.py,147,GROUPBY,groupby,OPP_TEAM_ID|season,NOT_PLAYER_KEYED,,"def_zone.groupby(['OPP_TEAM_ID', 'season'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,163,CARDINALITY,nunique,OPP_TEAM_ID,NOT_PLAYER_KEYED,,g['OPP_TEAM_ID'].nunique()
exploration/E0_I0004_shot_location_allowance/build_and_test.py,174,GROUPBY,groupby,PLAYER_ID|season|zone,PLAYER_ID_KEYED,player_id,"shots.groupby(['PLAYER_ID', 'season', 'zone'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,149,GROUPBY,groupby,season|zone,NOT_PLAYER_KEYED,,"shots.groupby(['season', 'zone'])"
exploration/E0_I0004_shot_location_allowance/build_and_test.py,151,GROUPBY,groupby,season,NOT_PLAYER_KEYED,,shots.groupby('season')
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,34,LOOKUP,map,SHOT_ZONE_BASIC,NOT_PLAYER_KEYED,,shots['SHOT_ZONE_BASIC'].map(merge_zone)
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,37,UNIQUE,unique,TEAM_ID,NOT_PLAYER_KEYED,,shots.groupby('GAME_ID')['TEAM_ID'].unique()
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,70,JOIN,merge,OPP_TEAM_ID|season|zone,NOT_PLAYER_KEYED,,"shots.merge(season_tot, on=['OPP_TEAM_ID', 'season', 'zone'], how='left')"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,71,JOIN,merge,OPP_TEAM_ID|season,NOT_PLAYER_KEYED,,"shots.merge(season_pool, on=['OPP_TEAM_ID', 'season'], how='left')"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,72,JOIN,merge,OPP_TEAM_ID|season|GAME_ID|zone,NOT_PLAYER_KEYED,,"shots.merge(game_zone, on=['OPP_TEAM_ID', 'season', 'GAME_ID', 'zone'], how='left')"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,73,JOIN,merge,OPP_TEAM_ID|season|GAME_ID,NOT_PLAYER_KEYED,,"shots.merge(game_pool, on=['OPP_TEAM_ID', 'season', 'GAME_ID'], how='left')"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,97,GROUPBY,groupby,PLAYER_ID|zone,PLAYER_ID_KEYED,player_id,"pz.groupby(['PLAYER_ID', 'zone'])"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,104,JOIN,merge,PLAYER_ID|season|zone,PLAYER_ID_KEYED,player_id,"shots.merge(baseline, on=['PLAYER_ID', 'season', 'zone'], how='inner')"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,109,GROUPBY,groupby,zone,NOT_PLAYER_KEYED,,shots_b.groupby('zone')
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,49,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['OPP_TEAM_ID', 'season', 'zone']).agg(season_att=('made', 'size'), season_mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,54,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['OPP_TEAM_ID', 'season']).agg(pool_att=('made', 'size'), pool_mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,60,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['OPP_TEAM_ID', 'season', 'GAME_ID', 'zone']).agg(game_att=('made', 'size'), game_mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,65,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['OPP_TEAM_ID', 'season', 'GAME_ID']).agg(gpool_att=('made', 'size'), gpool_mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,92,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"shots.groupby(['PLAYER_ID', 'season', 'zone']).agg(att=('made', 'size'), mk=('made', 'sum'))"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,37,GROUPBY,groupby,GAME_ID,NOT_PLAYER_KEYED,,shots.groupby('GAME_ID')
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,49,GROUPBY,groupby,OPP_TEAM_ID|season|zone,NOT_PLAYER_KEYED,,"shots.groupby(['OPP_TEAM_ID', 'season', 'zone'])"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,54,GROUPBY,groupby,OPP_TEAM_ID|season,NOT_PLAYER_KEYED,,"shots.groupby(['OPP_TEAM_ID', 'season'])"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,60,GROUPBY,groupby,OPP_TEAM_ID|season|GAME_ID|zone,NOT_PLAYER_KEYED,,"shots.groupby(['OPP_TEAM_ID', 'season', 'GAME_ID', 'zone'])"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,65,GROUPBY,groupby,OPP_TEAM_ID|season|GAME_ID,NOT_PLAYER_KEYED,,"shots.groupby(['OPP_TEAM_ID', 'season', 'GAME_ID'])"
exploration/E0_I0004_shot_location_allowance/robustness_loo.py,92,GROUPBY,groupby,PLAYER_ID|season|zone,PLAYER_ID_KEYED,player_id,"shots.groupby(['PLAYER_ID', 'season', 'zone'])"
exploration/E0_I0005_turnover_interaction/analyze.py,114,PIVOT,unstack,<none>,UNRESOLVED_KEY,,"df.groupby(['tend_tercile', 'press_tercile']).apply(wmean, include_groups=False).unstack()"
exploration/E0_I0005_turnover_interaction/analyze.py,82,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(season_arr)
exploration/E0_I0005_turnover_interaction/analyze.py,102,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(s)
exploration/E0_I0005_turnover_interaction/analyze.py,131,UNIQUE,unique,season,NOT_PLAYER_KEYED,,df['season'].unique()
exploration/E0_I0005_turnover_interaction/analyze.py,145,UNIQUE,unique,minutes_tercile,NOT_PLAYER_KEYED,,df['minutes_tercile'].unique()
exploration/E0_I0005_turnover_interaction/analyze.py,16,UNIQUE,unique,season,NOT_PLAYER_KEYED,,df['season'].unique()
exploration/E0_I0005_turnover_interaction/analyze.py,15,UNIQUE,unique,season,NOT_PLAYER_KEYED,,df['season'].unique()
exploration/E0_I0005_turnover_interaction/analyze.py,114,GROUPBY,groupby,tend_tercile|press_tercile,NOT_PLAYER_KEYED,,"df.groupby(['tend_tercile', 'press_tercile'])"
exploration/E0_I0005_turnover_interaction/build_data.py,43,DEDUP,drop_duplicates,<none>,UNRESOLVED_KEY,,"poss[['game_id', 'offense_team_id', 'defense_team_id']].drop_duplicates()"
exploration/E0_I0005_turnover_interaction/build_data.py,45,DEDUP,drop_duplicates,game_id|team_id,NOT_PLAYER_KEYED,,"sched.drop_duplicates(subset=['game_id', 'team_id'])"
exploration/E0_I0005_turnover_interaction/build_data.py,50,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"poss.groupby(['game_id', 'defense_team_id', 'season'], as_index=False).agg(def_poss=('is_tov', 'size'), def_tov=('is_tov"
exploration/E0_I0005_turnover_interaction/build_data.py,56,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"game_def.groupby(['team_id', 'season'], as_index=False).agg(season_def_poss=('def_poss', 'sum'), season_def_tov=('def_to"
exploration/E0_I0005_turnover_interaction/build_data.py,59,JOIN,merge,team_id|season,NOT_PLAYER_KEYED,,"game_def.merge(season_def_tot, on=['team_id', 'season'], how='left')"
exploration/E0_I0005_turnover_interaction/build_data.py,70,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"tov.groupby(['player_id', 'season'], as_index=False).agg(season_tov=('turnovers', 'sum'), season_poss=('realised_off_pos"
exploration/E0_I0005_turnover_interaction/build_data.py,73,JOIN,merge,player_id|season,PLAYER_ID_KEYED,player_id,"tov.merge(season_player_tot, on=['player_id', 'season'], how='left')"
exploration/E0_I0005_turnover_interaction/build_data.py,84,JOIN,merge,game_id|team_id,NOT_PLAYER_KEYED,,"tov.merge(sched, on=['game_id', 'team_id'], how='left')"
exploration/E0_I0005_turnover_interaction/build_data.py,90,JOIN,merge,game_id|opponent_team_id,NOT_PLAYER_KEYED,,"tov.merge(opp_pressure, on=['game_id', 'opponent_team_id'], how='left')"
exploration/E0_I0005_turnover_interaction/build_data.py,25,UNIQUE,unique,season,NOT_PLAYER_KEYED,,tov['season'].unique()
exploration/E0_I0005_turnover_interaction/build_data.py,39,UNIQUE,unique,season,NOT_PLAYER_KEYED,,poss['season'].unique()
exploration/E0_I0005_turnover_interaction/build_data.py,50,GROUPBY,groupby,game_id|defense_team_id|season,NOT_PLAYER_KEYED,,"poss.groupby(['game_id', 'defense_team_id', 'season'], as_index=False)"
exploration/E0_I0005_turnover_interaction/build_data.py,56,GROUPBY,groupby,team_id|season,NOT_PLAYER_KEYED,,"game_def.groupby(['team_id', 'season'], as_index=False)"
exploration/E0_I0005_turnover_interaction/build_data.py,70,GROUPBY,groupby,player_id|season,PLAYER_ID_KEYED,player_id,"tov.groupby(['player_id', 'season'], as_index=False)"
exploration/E0_I0005_turnover_interaction/build_data.py,24,MEMBERSHIP,isin,<var:EXPLORATION_SEASONS>|season,NOT_PLAYER_KEYED,,tov['season'].isin(EXPLORATION_SEASONS)
exploration/E0_I0005_turnover_interaction/build_data.py,38,MEMBERSHIP,isin,<var:EXPLORATION_SEASONS>|season,NOT_PLAYER_KEYED,,poss['season'].isin(EXPLORATION_SEASONS)
exploration/E0_I0005_turnover_interaction/build_data.py,105,UNIQUE,unique,season,NOT_PLAYER_KEYED,,frame['season'].unique()
exploration/E0_I0005_turnover_interaction/build_data.py,104,CARDINALITY,value_counts,season,NOT_PLAYER_KEYED,,frame['season'].value_counts()
exploration/E0_I0006_usage_redistribution/analyze.py,39,CARDINALITY,nunique,player_id,PLAYER_ID_KEYED,player_id,absence.player_id.nunique()
exploration/E0_I0006_usage_redistribution/analyze.py,41,CARDINALITY,nunique,absence_game_id,NOT_PLAYER_KEYED,,redis.absence_game_id.nunique()
exploration/E0_I0006_usage_redistribution/analyze.py,45,SORT,sort_values,delta_usage,NOT_PLAYER_KEYED,,"g[g.delta_usage > 0].sort_values('delta_usage', ascending=False)"
exploration/E0_I0006_usage_redistribution/analyze.py,104,CARDINALITY,nunique,top_absorber_id,NOT_PLAYER_KEYED,,sub.top_absorber_id.nunique()
exploration/E0_I0006_usage_redistribution/analyze.py,92,GROUPBY,groupby,absent_player_id,PLAYER_ID_KEYED,absent_player_id,top_absorber.groupby('absent_player_id')
exploration/E0_I0006_usage_redistribution/analyze.py,117,CARDINALITY,value_counts,n_unique_top_absorbers,NOT_PLAYER_KEYED,,consistency.n_unique_top_absorbers.value_counts()
exploration/E0_I0006_usage_redistribution/analyze.py,128,SORT,sort_values,delta_usage,NOT_PLAYER_KEYED,,"g.sort_values('delta_usage', ascending=False)"
exploration/E0_I0006_usage_redistribution/analyze.py,129,SORT,sort_values,tm_baseline_usage,NOT_PLAYER_KEYED,,"g.sort_values('tm_baseline_usage', ascending=False)"
exploration/E0_I0006_usage_redistribution/analyze.py,66,GROUPBY,groupby,absence_game_id,NOT_PLAYER_KEYED,,redis.groupby('absence_game_id')
exploration/E0_I0006_usage_redistribution/analyze.py,133,GROUPBY,groupby,absence_game_id,NOT_PLAYER_KEYED,,redis.groupby('absence_game_id')
exploration/E0_I0006_usage_redistribution/analyze.py,84,GROUPBY,groupby,absence_game_id,NOT_PLAYER_KEYED,,"redis.sort_values('delta_usage', ascending=False).groupby('absence_game_id')"
exploration/E0_I0006_usage_redistribution/analyze.py,84,SORT,sort_values,delta_usage,NOT_PLAYER_KEYED,,"redis.sort_values('delta_usage', ascending=False)"
exploration/E0_I0006_usage_redistribution/analyze_clean.py,47,JOIN,merge,player_id|season,PLAYER_ID_KEYED,player_id,"hi.merge(bios[['player_id', 'season', 'pos_simple']], on=['player_id', 'season'], how='left')"
exploration/E0_I0006_usage_redistribution/analyze_clean.py,50,SETINDEX,set_index,player_id|team_id|season,PLAYER_ID_KEYED,player_id,"roster.set_index(['player_id', 'team_id', 'season'])"
exploration/E0_I0006_usage_redistribution/analyze_clean.py,65,DEDUP,drop_duplicates,player_id|team_id|season|game_id,PLAYER_ID_KEYED,player_id,"pd.DataFrame(absence_rows).drop_duplicates(subset=['player_id', 'team_id', 'season', 'game_id'])"
