extracted_utc,published_utc,capture_utc,source,player_name,team,status_signal,body_part,reported_limitation,source_tier,game_date_referenced,is_speculation,quoted_evidence,url,model,prompt_version
2026-07-30T19:48:59+00:00,2026-07-28T18:17:38Z,20260730T162550Z,gnews_sun,Kelsey Mitchell,Indiana Fever,unknown,none stated,none stated,aggregator,2026-07-28,True,Indiana Fever Injury Report: Kelsey Mitchell Playing Against Seattle Storm on July 28?,https://news.google.com/rss/articles/CBMisgFBVV95cUxNd21NMmpkWUVEcHJISVk3ZVNzbFh1WXRxSTIzRGJ4LWZCOExUT25MVjZ4TVF5SVFVU05kUEM2OGNmTzNkUlpOVkhCTUdmd0MyZWFFVk8ybVY0T252Qkt3Qkhsb25ILW1MM3M2ZUVvZTFHQlVDMWtsYXVHWUJNak5EN3c4eEhPNGNKUHpnOXRCdmVkdkVMU1JPdnplZHB4LWw0aTN3bkdyYmt6SUVZNVF4alBn?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T22:16:30Z,20260730T162550Z,gnews_lynx,Rice,Toronto Tempo,returning,none stated,minutes restriction,aggregator,none,False,Tempo G Rice to return on minutes restriction vs. Lynx,https://news.google.com/rss/articles/CBMijwFBVV95cUxPd1NBVGd6cEdMNVc5ak4wQV9sV1ZsWGozWDYzemh3SWNoTl9uZHZfOGpvSk1nY2Jjd0tqNTByNWdJaFhQZTZyR2tUeXViT2tBTXBrcEZBNXJYQjJJMUhORHFKTFVCazVNWkJwSkdDU3NzLXVOdFVIT2xOZkFlYUt5SG5McW1vel9UelFJOFY1Yw?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T00:02:00Z,20260730T162550Z,gnews_lynx,Kiki Rice,Toronto Tempo,returning,none stated,none stated,aggregator,none,False,Tempo rookie Kiki Rice returns from injury vs. Lynx,https://news.google.com/rss/articles/CBMilgFBVV95cUxPazNpcU9GU1JBdEFxd0s5RzdCX0lHWDRiZ1ZEMm9wRzBITWtvUnQ1NWpvYUl6TEU5cnFVejBiUlBVU3hpcm9sbDl1aXhFS3FzSnRRUGZZVWpDOUx6Uk9INV9ISXJIT0dtUzE5YWF0Zm9WbnR0Sm5jekxfQUhuLVNVZTlOamJGRi1pZ1hST0xSdGJERUZFMkE?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T18:11:23Z,20260730T162550Z,gnews_fever,Caitlin Clark,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Lexie Hull BREAKS SILENCE After Caitlin Clark Injury Chaos EXPLODES,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBmbS1UY1J2LVlXM0NMOTB5aFl6QzMwdFVVMDJpM0wtVlZ3YUtIZ0hmd0F4U3ZuREVTVkxONUg4WWNXeVoza3R2X0dYay1RYlppZWRyUVdvcndfU1d6SlhCNg?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-27T21:00:00Z,20260730T162550Z,gnews_sun,Caitlin Clark,Indiana Fever,available,none stated,none stated,aggregator,none,False,"Grateful to be out there, Caitlin Clark savors her first true WNBA All-Star Game",https://news.google.com/rss/articles/CBMimAFBVV95cUxPemhWeS1yV1hJU3ZVSDE0aFBiMVd2MG1uNnFoOHFzWEJPWEFYMDJpN2sxMUlTazNqcDc4blpWdVBVMVQwT2R3bXFtaTVhMlNTTDZQbFZ2OGlYME1CYXMzaFltVFk5ZlQ0RzlDQl9BaUxqczhQb2FmYVJ3UFVhbmYyclhFSk1Nenprd3Nid0U3RFVBZFRPcE5vZQ?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-20T17:34:57Z,20260730T162742Z,ap_wnba,Paige Bueckers,Dallas Wings,unknown,none stated,none stated,aggregator,none,False,WNBA All-Star weekend clouded by injuries to Paige Bueckers and Angel Reese,https://apnews.com/article/wnba-all-star-injuries-b54726710ef2d4029ab81faa23ae336d,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-20T17:34:57Z,20260730T162742Z,ap_wnba,Angel Reese,Chicago Sky,unknown,none stated,none stated,aggregator,none,False,WNBA All-Star weekend clouded by injuries to Paige Bueckers and Angel Reese,https://apnews.com/article/wnba-all-star-injuries-b54726710ef2d4029ab81faa23ae336d,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T23:52:51Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,unknown,unknown,none stated,aggregator,none,True,Aliyah Boston Injury Update After Hard Fall in Fever Win Over Storm,https://news.google.com/rss/articles/CBMinAFBVV95cUxQbllnRjhlWTM0UTNFV09INkpGY29GQjR1S0VpTE1ndW50eGZGc2txZTQ4TjNodlk3RDZnaWtTOFVlWkhZYmc2UjB6WWlpU1FLakxoYmhuSURXaTN0XzRnMk5BMlQwZ3FHaFNieXRLbnlRM1AtOF9hUi1NcmlMcURFZmF4aGpjUm1ZOFlUbnJMSVRfUmhmaWltZFItTEI?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T02:41:00Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,unknown,none stated,none stated,aggregator,none,False,Fever Star Aliyah Boston Goes Down With Injury vs. Storm,https://news.google.com/rss/articles/CBMihAFBVV95cUxPazNvMFl3c2Z2ejFmTGd0aDJHZ0w3TDgxYm9rUFVyaGw5YXg1dlpiZ1pPSndUd1hURnBrRUpwblpPNC1UejRQQTZlNGdUM3hZNEV0MW5xTzJWcnViOUFaNWE0djRLZXZoX3k0MUI5OWQwaWRvZWM4NEdPY1RNUVR6bmZGaGk?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T23:57:26Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,"Aliyah Boston Falls Hard in Seattle, Leaving the Fever Without an Answer They Need",https://news.google.com/rss/articles/CBMiiwFBVV95cUxQaVUtYXVIdWZfdDF2amszcmNoaGgxTHdkVXNleFVRRFVvYVNobzcxTTdyZHBTLXNSMmxzeWgxenY1Uk5lajVCMG9LZDhoTERNYmxkXzR2S2syWDJEMWZoXzlPLVlwRGQtRUpxUjZTb1N4bmJMcl9jLXRlSWkwZllZOGlZLXlYcFI3RUNn?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T22:00:00Z,20260730T162550Z,gnews_sparks,Kelsey Plum,Los Angeles Sparks,unknown,none stated,none stated,aggregator,none,True,"Final Injury Report for Liberty-Sparks: Will Kelsey Plum, Satou Sabally Play?",https://news.google.com/rss/articles/CBMihAFBVV95cUxQZnNmLTdWVV9rLWlKVTRJNzdBMGdaa0FKZjBRanNTbWFXU2JtSUtrLTY4OHRTa2UyS08zWjM0OGM1Ul9PWk84OEsycWR5OHZYeFl1MXl5Ml9tOFJlWi1kQmdMcjl5MTVZaHFORHdsMjhqMFRVdHFobjVFYXZsOWlUNkZieEg?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T22:00:00Z,20260730T162550Z,gnews_sparks,Satou Sabally,New York Liberty,unknown,none stated,none stated,aggregator,none,True,"Final Injury Report for Liberty-Sparks: Will Kelsey Plum, Satou Sabally Play?",https://news.google.com/rss/articles/CBMihAFBVV95cUxQZnNmLTdWVV9rLWlKVTRJNzdBMGdaa0FKZjBRanNTbWFXU2JtSUtrLTY4OHRTa2UyS08zWjM0OGM1Ul9PWk84OEsycWR5OHZYeFl1MXl5Ml9tOFJlWi1kQmdMcjl5MTVZaHFORHdsMjhqMFRVdHFobjVFYXZsOWlUNkZieEg?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-22T15:50:40Z,20260730T162550Z,winsidr,Napheesa Collier,Minnesota Lynx,returning,none stated,none stated,aggregator,none,False,Napheesa Collier Returns To A Team Olivia Miles Stabilized,https://winsidr.com/2026/07/fit-check-napheesa-collier-returns-to-a-team-olivia-miles-stabilized/,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T16:19:39Z,20260730T162550Z,gnews_fever,Caitlin Clark,Indiana Fever,unknown,none stated,none stated,aggregator,2026-07-28,True,Is Caitlin Clark playing today? Latest injury update for Fever vs. Storm,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPS21vaWpCNmo4SXRlajZTVGM0cE56b2dCTy1iVURqZlZYY3AtOTNYcENNRjdJXzMtZjFQUEFZT3pYbEdBamlwV2dlb0IyZG5QV0dScURPTGdOcU9KOUZ1dHhfbzBNT0UydEdZMEN3Q1hrMkpuRDBRanJSNF9UaUx1WWFMZ2dBVWR1aUIw?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-27T18:50:18Z,20260730T162550Z,gnews_fever,Caitlin Clark,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Indiana Fever Fans STUNNED As Caitlin Clark Got INJURED AGAIN | She's OUT?!,https://news.google.com/rss/articles/CBMiW0FVX3lxTE14RWw2RW9VNzRFQUxIcGw5ZGMzbjRQUzNMNDlZb19ia1FmVkJaS19VSkhvZzNZbjVCOF9Zd3gxVkJmcl9fSUdldDdZZkVRWE56ajNTWjYxdUZTYlE?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-30T07:53:12Z,20260730T162550Z,gnews_mercury,Caitlin Clark,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Caitlin Clark Leaves Fever-Mercury Game With Injury,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1qdy1rYzN5MlJRcUkza0MxMTRMUlZWQzczSUZ2aU9SVWpSZnNZR0ExckFpTThxTjdmd3VORTkxMGZlWlFiZEFTb20zUXRBNHhCc3JPTzVTNDdzaE0?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T02:28:49Z,20260730T162550Z,gnews_sun,Aliyah Boston,Indiana Fever,unknown,none stated,none stated,aggregator,2026-07-28,True,What happened to Aliyah Boston? Live injury updates for Fever vs. Storm on 7/28/26,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNbHlyTHo5a0xTanJyUDRSU0NCSHBkeUZXMFlydVVSbFk4TllFZGhyZHJKd1h4UDVsZWVPZEt1VVhIUWJvMFN6dlhiMGFmVDVWT0NDTmV0Z21aaTdGRnNyVk0tZXNqdmVLQ2twa1luVGFKeko4MjZ0Z1ZxcFZxRnBGckg1SzdjR2ZYQUVjaHM0eEd3amVhcTlVazF2dlVBb2w0cHNzNk5wNHZUaTRiUFVHNlUxZi1RQ2NzYlFYYmd0aFRzWDg?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T10:30:55Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Caitlin Clark's MVP Potential After Aliyah Boston's Injury,https://news.google.com/rss/articles/CBMikAFBVV95cUxOUEJnVWVOc2xSY05GQ0F5YTF0MVYzck1FQWVxQlpMVlNSNVBoNmVHcFpGbng1b0NUWVF5NG5GaHFrVXM5aTRqbFcxX0xTaG1BRHo1OHY2R3dzU2VPdk5ScjhuWEpxa3BPTTRzMWhWS1pMVEEwWmdjN1dZdjJUY0NkekVYUF9oYVoteUxMNjZPVm0?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T13:38:32Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,questionable,none stated,none stated,coach,none,False,Stephanie White provides encouraging Aliyah Boston injury update after Fever win,https://news.google.com/rss/articles/CBMilwFBVV95cUxPaVBVZGcwVVdtTkVGMnhhWkJnZ2lpZWRscmgyVTRrb29RbjQ0SmJfMngycVVLdkxZLWFmeEFuVFBLZlFjZFNtMUJLZl9aOHMtQ1hnMWNQNi1iRU5reHlqNjFRNS1kZWlqSmxmVERQYmRGX1IwdG11M3loSExiOFZnTFRxakpCdmVTYzZWSi1CTGU4SVpyMXBJ?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T02:56:00Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Concern Pours in for Aliyah Boston After Scary Injury,https://news.google.com/rss/articles/CBMiswFBVV95cUxQajg3WTU4cXhuSFJjdjdFa1dGN3p4YVI0SVU5R3pCRjI5REVocmw4c1VIU0Q4d0IzOXVFRG9keHlCNElMTGJRMDRTd1o0alBQeUFweXNpU1RQd2c1LUZxeGxzVlJkS2x4MHBqM0JEN2tHX0lpZm5TRzhKOFhTT05CZFIzckdXeExfWHlUNlRTMGlWSFo3UUZjTUtIRHc1bGtVUWZvcVA2dklHdDcxUXVYLUpqRQ?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T02:28:00Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,questionable,leg,none stated,aggregator,none,False,Indiana Fever C Aliyah Boston questionable to return vs Storm with leg injury,https://news.google.com/rss/articles/CBMihAFBVV95cUxOQkk2TXNzOC1aaW5odFBxbmZWUTFQZy03YUZKbnIyeEIzVUg0WVNXaEpPeUZZd3phQzJWamM5WXN2YnV4NTBFc09UOXgwNHdFNXdCaFZDY2l6U1pBVE9lUGRxSm9qUGtfVC1ZZC1XbjR0c2VFMGh3RmJ3TldpMUpMZnJKYzY?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-18T12:03:32Z,20260730T162550Z,herhoopstats,Alissa Pili,Los Angeles Sparks,returning,none stated,none stated,aggregator,none,True,"After a difficult offseason, the Utah grad is looking to stick with the Sparks",https://herhoopstats.substack.com/p/alissa-pilis-wnba-comeback-is-just,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T04:58:23Z,20260730T162550Z,gnews_fever,Aliyah Boston,Indiana Fever,unknown,knee,none stated,aggregator,none,False,Aliyah Boston Suffers Knee Injury in Fever Victory Over Storm,https://news.google.com/rss/articles/CBMiigFBVV95cUxOZG9JQW43OG8zdGxkMHlQMTBseVdYSUVuT3RQbGpMaktPb18yYjNrd3VleUR0eURIR1d3aDdNWXAwOWVGZUtHY1pCZjY3RklhSm5vMTJ0Zm9EYzQ0ZGRWREJLMm56endKQTBlS3RGcDVLQXAxeWpUNkRtU3FzSklyNW9IYlgtWWFSQWc?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T17:40:00Z,20260730T162550Z,gnews_fever,Caitlin Clark,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Will Caitlin Clark Lead the Indiana Fever to Another Victory?,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQazJFRk5HZlRzMlRJMnVyUGZHV2xldy1ENjlCUUhUazJJUG0zTHJBSkphQUxZMGllR0tVNGRUc3lqbEVZQmNwajBONHpscV9hTmlNMEZ6d2ZvdmVZZnJmRFJHS1NNZ2dzSXQtbC1NVHU4TkY5dHJGNWM5bWRYQWozNEw4YWpPMVJ3WGM2d1ZEajN5d3B6dXN4N1UtWm40T2oxcVMzdy1oTU1RME5VRXcwX2FaVUp4V2NZYjdrLXlxYzJDOVl1bWlHVEQyTjhIY0NWLThR?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-23T12:49:55Z,20260730T162550Z,cbs_wnba,Caitlin Clark,Indiana Fever,available,none stated,one more technical foul would trigger a one-game suspension,beat_reporter,none,False,Clark has seven technicals in 23 games this season and will get a one-game suspension if she picks up another,https://www.cbssports.com/wnba/news/caitlin-clark-technical-foul-suspension-scoreboard-comment/,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-27T21:24:21Z,20260730T162550Z,gnews_sparks,Kelsey Plum,Los Angeles Sparks,returning,none stated,none stated,aggregator,none,True,Kelsey Plum’s injury return gets Lynne Roberts reality check ahead of Liberty clash,https://news.google.com/rss/articles/CBMivwFBVV95cUxNcDNRakVRaEdSZGducFZrdmgtZHB3M3d4WnpNbnRIcWh0cllyYTJoVUtmZ3g2bGpUNk13dEpfTktRRlZUeTJwWEoyVnpna2hncnpiSGVRbzBoeTdCcFhuWlJZSHVpVGo1aklISE5VQ1ZxRGJqVjRuZDQzM3U2SnNoN1BiSktENkV0OEhGRUFQc2doV3kxM0xpdUlFV2pjNHZ2MXZQWk1EbDJ5VHBWbzNfd2gzQjFSMTh6RGppTWxQSQ?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T22:00:00Z,20260730T162550Z,gnews_league,Kelsey Plum,Los Angeles Sparks,unknown,none stated,none stated,aggregator,none,True,"Will Kelsey Plum, Satou Sabally Play?",https://news.google.com/rss/articles/CBMiiwFBVV95cUxQZk1iSktjeGp2QkNRcEFsbU1GTUFYbWczYmlZYWc2eWg0c3FuSTZBSC1pTUZtYkZhSXNMWU5tWDlkbmZmX3dETHE4UVB1bEJ2djFQaEM0cjRrUDIyMGRVeHlwSmFpc21vc1BXMHpaUXNVaUhNVDBSQmdsdW9vSVlOM2NTUFZCUWxPb0JF?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T22:00:00Z,20260730T162550Z,gnews_league,Satou Sabally,New York Liberty,unknown,none stated,none stated,aggregator,none,True,"Will Kelsey Plum, Satou Sabally Play?",https://news.google.com/rss/articles/CBMiiwFBVV95cUxQZk1iSktjeGp2QkNRcEFsbU1GTUFYbWczYmlZYWc2eWg0c3FuSTZBSC1pTUZtYkZhSXNMWU5tWDlkbmZmX3dETHE4UVB1bEJ2djFQaEM0cjRrUDIyMGRVeHlwSmFpc21vc1BXMHpaUXNVaUhNVDBSQmdsdW9vSVlOM2NTUFZCUWxPb0JF?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T21:05:18Z,20260730T162550Z,gnews_valkyries,Aliyah Boston,Indiana Fever,unknown,none stated,none stated,aggregator,none,True,Concern grows for Fever star Aliyah Boston after injury,https://news.google.com/rss/articles/CBMie0FVX3lxTFBZYk5ROGsxRXRndGJ4YTJyemdYVTczYzNZa0V0Q2Y3TkxlWFoxX3Vud0ZtRWtpUDZJTk45YklFX0F4RHd1YnBuWEt0RkYxNFVrd1poQ2t3SFNtaWZGZ3drT1Z4SHdoRWtyMXZKeFZOM3NEZlI2WUlfbU44bw?oc=5,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-28T18:00:00Z,20260730T162550Z,swishappeal,Napheesa Collier,Minnesota Lynx,returning,none stated,none stated,aggregator,none,False,"Napheesa Collier made her long-awaited season debut in last week’s game between the Minnesota Lynx and Seattle Storm, and it didn’t take her very long to reestablish herself.",https://www.swishappeal.com/wnba/83558/wnba-womens-fantasy-basketball-napheesa-collier-nia-coffey-olivia-miles-natasha-howard-kiki-rice-brittney-sykes,claude-sonnet-5,83bf6a71cc4b
2026-07-30T19:48:59+00:00,2026-07-29T21:45:00Z,20260730T162550Z,gnews_league,Caitlin Clark,Indiana Fever,season_ending,none stated,none stated,aggregator,none,True,Caitlin Clark Injured & Ruled Out For The WNBA Season!,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBodGpvb2RlbkFHb0hEMnNnWWFSWmVaMG1PZUIwT2FOWjhxNnBZZC11RXhoZWpfWXZpeXZWUjNObEYxQVhIUEFDNHBlWWRwRW8zclIwZzVmaVp0OFE?oc=5,claude-sonnet-5,83bf6a71cc4b
