era,perm_idx,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
extension,85,0.14240027964115143,119
extension,86,0.2332429736852646,298
extension,87,0.20430952310562134,317
extension,88,0.28428202867507935,459
extension,89,0.21643348038196564,417
extension,90,0.23389029502868652,305
extension,91,0.21079500019550323,360
extension,92,0.23450058698654175,299
extension,93,0.2627454996109009,253
extension,94,0.1951831430196762,338
extension,95,0.20041178166866302,379
extension,96,0.27533048391342163,387
extension,97,0.22207151353359222,345
extension,98,0.23290084302425385,335
extension,99,0.3080824017524719,525
extension,100,0.16351185739040375,281
extension,101,0.2849617600440979,332
extension,102,0.18445488810539246,293
extension,103,0.42432400584220886,521
extension,104,0.2947708070278168,418
extension,105,0.3402092754840851,583
extension,106,0.2704288363456726,510
extension,107,0.20185457170009613,401
extension,108,0.21957872807979584,252
extension,109,0.42173150181770325,662
extension,110,0.19280484318733215,148
extension,111,0.16571003198623657,330
extension,112,0.16034568846225739,280
extension,113,0.3104194104671478,335
extension,114,0.1972547471523285,432
extension,115,0.2834494411945343,470
extension,116,0.20494064688682556,331
extension,117,0.2192791849374771,395
extension,118,0.28589263558387756,414
extension,119,0.1863221824169159,309
extension,120,0.2601828873157501,504
extension,121,0.25926676392555237,459
extension,122,0.24607108533382416,498
extension,123,0.28020328283309937,520
extension,124,0.23459532856941223,469
extension,125,0.22172759473323822,305
extension,126,0.2548295855522156,206
extension,127,0.3214084804058075,405
extension,128,0.2180478572845459,350
extension,129,0.21729925274848938,272
extension,130,0.221749946475029,224
extension,131,0.16047978401184082,313
extension,132,0.13455869257450104,185
extension,133,0.2655266523361206,475
extension,134,0.2937285602092743,356
extension,135,0.30696770548820496,459
extension,136,0.20982268452644348,396
extension,137,0.197256937623024,350
extension,138,0.31248852610588074,391
extension,139,0.19055134057998657,176
extension,140,0.3189423978328705,452
extension,141,0.268033891916275,331
extension,142,0.23299866914749146,410
extension,143,0.19737300276756287,419
extension,144,0.2347375601530075,513
extension,145,0.2822898030281067,568
extension,146,0.1766757071018219,212
extension,147,0.18268173933029175,313
extension,148,0.17199143767356873,288
extension,149,0.26339274644851685,498
extension,150,0.16667436063289642,282
extension,151,0.3306626081466675,368
extension,152,0.32154810428619385,435
extension,153,0.21535725891590118,458
extension,154,0.15527381002902985,131
extension,155,0.2448495477437973,221
extension,156,0.24051907658576965,379
extension,157,0.31471118330955505,478
extension,158,0.2360728532075882,324
extension,159,0.27491673827171326,345
extension,160,0.2789115309715271,440
extension,161,0.18144449591636658,238
extension,162,0.21832647919654846,358
extension,163,0.17381352186203003,167
extension,164,0.33244404196739197,517
extension,165,0.25953370332717896,306
extension,166,0.23618318140506744,428
extension,167,0.22198379039764404,440
extension,168,0.20848283171653748,261
extension,169,0.2411658763885498,448
extension,170,0.3525647222995758,593
extension,171,0.2471352368593216,270
extension,172,0.32940346002578735,392
extension,173,0.22472743690013885,346
extension,174,0.25576457381248474,479
extension,175,0.25411510467529297,324
extension,176,0.3267178237438202,527
extension,177,0.24497833847999573,359
extension,178,0.34558096528053284,455
extension,179,0.2534976899623871,313
extension,180,0.23406881093978882,391
extension,181,0.2127077430486679,284
extension,182,0.3380398452281952,437
extension,183,0.21778680384159088,289
extension,184,0.22872799634933472,398
extension,185,0.25409650802612305,349
extension,186,0.2081204056739807,223
extension,187,0.1796429306268692,271
extension,188,0.21892528235912323,313
extension,189,0.3029555380344391,441
extension,190,0.23207630217075348,392
extension,191,0.24515622854232788,340
extension,192,0.1684952974319458,380
extension,193,0.23811782896518707,302
extension,194,0.17388147115707397,220
extension,195,0.301377534866333,358
extension,196,0.33484938740730286,464
extension,197,0.2922205328941345,490
extension,198,0.20936952531337738,429
extension,199,0.24717803299427032,313
old,0,0.14699938893318176,57
old,1,0.17482517659664154,9
old,2,0.1381130814552307,36
old,3,0.1818181872367859,96
old,4,0.12863337993621826,38
old,5,0.28403791785240173,123
old,6,0.12172552198171616,49
old,7,0.17008797824382782,67
old,8,0.1892697513103485,47
old,9,0.2495867758989334,121
old,10,0.20446307957172394,89
old,11,0.16852658987045288,81
old,12,0.1598578691482544,41
old,13,0.09768816083669662,15
old,14,0.0789056047797203,11
old,15,0.08036982268095016,14
old,16,0.17139437794685364,54
old,17,0.11112961918115616,30
old,18,0.16055120527744293,77
old,19,0.10180646181106567,51
old,20,0.09132160246372223,19
old,21,0.19814300537109375,57
old,22,0.17680346965789795,42
old,23,0.16954335570335388,21
old,24,0.1970158815383911,65
old,25,0.13449890911579132,37
old,26,0.19983360171318054,22
old,27,0.12326578795909882,55
old,28,0.1555977761745453,66
old,29,0.08620689809322357,43
old,30,0.09357032179832458,12
old,31,0.1981477439403534,95
old,32,0.210540309548378,92
old,33,0.13178375363349915,52
old,34,0.15217585861682892,46
old,35,0.12260203808546066,49
old,36,0.14287815988063812,45
old,37,0.14503438770771027,24
old,38,0.11633027344942093,14
old,39,0.10405199974775314,48
old,40,0.09448306262493134,31
old,41,0.14595481753349304,14
old,42,0.17258167266845703,66
old,43,0.11912225931882858,66
old,44,0.19722650945186615,34
old,45,0.1314755231142044,51
old,46,0.14098837971687317,68
old,47,0.1105562075972557,37
old,48,0.34343433380126953,126
old,49,0.15222753584384918,56
old,50,0.10526315867900848,36
old,51,0.1711912304162979,92
old,52,0.21297721564769745,62
old,53,0.14936207234859467,49
old,54,0.13710075616836548,33
old,55,0.15751397609710693,66
old,56,0.16885551810264587,16
old,57,0.1187671422958374,43
old,58,0.16335991024971008,67
old,59,0.13893266022205353,50
old,60,0.1321774572134018,51
old,61,0.10247227549552917,46
old,62,0.13386781513690948,86
old,63,0.15719036757946014,71
old,64,0.16062721610069275,53
old,65,0.20584821701049805,105
old,66,0.2614080309867859,100
old,67,0.14068572223186493,20
old,68,0.15094000101089478,28
old,69,0.145454540848732,76
old,70,0.12654010951519012,59
old,71,0.16612139344215393,80
old,72,0.21487602591514587,62
old,73,0.09472450613975525,64
old,74,0.19722650945186615,72
old,75,0.21212121844291687,64
old,76,0.21565909683704376,61
old,77,0.13875597715377808,60
old,78,0.11136151850223541,73
old,79,0.1741618663072586,78
old,80,0.2029811590909958,48
old,81,0.20650368928909302,104
old,82,0.241965189576149,71
old,83,0.21786834299564362,46
old,84,0.16105075180530548,54
old,85,0.2127659022808075,67
old,86,0.18016529083251953,81
old,87,0.25255730748176575,108
old,88,0.1314401775598526,14
old,89,0.12912987172603607,11
old,90,0.15477308630943298,45
old,91,0.23529411852359772,108
old,92,0.13804695010185242,57
old,93,0.17224881052970886,84
old,94,0.08270914107561111,24
old,95,0.13875597715377808,21
old,96,0.14431867003440857,32
old,97,0.11761509627103806,19
old,98,0.14252237975597382,58
old,99,0.18372540175914764,88
old,100,0.1489335149526596,35
old,101,0.1601680964231491,46
old,102,0.13305608928203583,34
old,103,0.13875597715377808,63
old,104,0.12896914780139923,39
old,105,0.11393631994724274,36
old,106,0.15290310978889465,30
old,107,0.0817171037197113,14
old,108,0.1038956493139267,38
old,109,0.1931818127632141,30
old,110,0.24242424964904785,40
old,111,0.20293669402599335,83
old,112,0.08229037374258041,35
old,113,0.1773989200592041,90
old,114,0.1321774572134018,25
old,115,0.16695882380008698,49
old,116,0.08269839733839035,41
old,117,0.1264394372701645,48
old,118,0.18683487176895142,29
old,119,0.1730155497789383,78
old,120,0.18315783143043518,63
old,121,0.20238317549228668,39
old,122,0.17629635334014893,53
old,123,0.09690269082784653,39
old,124,0.2572062015533447,105
old,125,0.0830807089805603,7
old,126,0.1614152193069458,31
old,127,0.23216593265533447,46
old,128,0.21052341163158417,82
old,129,0.25072258710861206,105
old,130,0.11459454149007797,30
old,131,0.11779148131608963,20
old,132,0.21212121844291687,73
old,133,0.16258476674556732,50
old,134,0.196798637509346,33
old,135,0.12156318873167038,18
old,136,0.11912225931882858,61
old,137,0.11670170724391937,6
old,138,0.12121212482452393,46
old,139,0.1991475224494934,21
old,140,0.13872037827968597,50
old,141,0.09760794043540955,9
old,142,0.1899011731147766,91
old,143,0.14131306111812592,53
old,144,0.09472961723804474,14
old,145,0.15821102261543274,70
old,146,0.21212121844291687,39
old,147,0.2009572684764862,57
old,148,0.16273921728134155,102
old,149,0.1818181872367859,53
old,150,0.1244870126247406,72
old,151,0.1853441596031189,60
old,152,0.19722650945186615,64
old,153,0.1592688113451004,74
old,154,0.11749545484781265,58
old,155,0.15797317028045654,76
old,156,0.15233024954795837,26
old,157,0.05681818351149559,15
old,158,0.17609941959381104,76
old,159,0.18483959138393402,72
old,160,0.1286521553993225,16
old,161,0.09488784521818161,22
old,162,0.1887730360031128,44
old,163,0.14040672779083252,38
old,164,0.10490089654922485,60
old,165,0.12299465388059616,19
old,166,0.14704526960849762,92
old,167,0.15617048740386963,49
old,168,0.1498112678527832,19
old,169,0.1453046351671219,62
old,170,0.16697196662425995,72
old,171,0.14375463128089905,57
old,172,0.21247518062591553,79
old,173,0.08748538047075272,21
old,174,0.15715034306049347,66
old,175,0.08701131492853165,32
old,176,0.15839020907878876,57
old,177,0.06283117830753326,23
old,178,0.1849924772977829,70
old,179,0.14519447088241577,26
old,180,0.1636950820684433,88
old,181,0.18047258257865906,55
old,182,0.10521510988473892,43
old,183,0.1772727221250534,94
old,184,0.1478782296180725,43
old,185,0.22848419845104218,102
old,186,0.13105492293834686,0
old,187,0.12119123339653015,83
old,188,0.1965353637933731,51
old,189,0.1666666716337204,46
old,190,0.14674502611160278,29
old,191,0.11528802663087845,20
old,192,0.16587257385253906,55
old,193,0.27550026774406433,100
old,194,0.1282404214143753,37
old,195,0.21787787973880768,85
old,196,0.10269918292760849,18
old,197,0.11429988592863083,31
old,198,0.07557367533445358,4
old,199,0.26482143998146057,73
