catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives
47,post_absence_ramp,D,ft,,8687,3261,0.0,2.00339,2.00331,-8e-05,8e-05,0.00734,+0.00029;+0.00067;+0.00031,+++,-,False,0.39303,False,,0.7739667692307692,False,False
84,rest_differential,H,paint,,8687,3261,0.0,3.47994,3.47993,-1e-05,1e-05,-0.00077,+0.00014;+0.00012;+0.00009,+++,-,False,0.39801,False,,0.777790534351145,False,False
10,tip_time_split,A,ft,,8687,3261,0.0,2.00339,2.00337,-2e-05,2e-05,-0.02464,+0.00202;+0.00059;-0.00011,++-,-,False,0.40299,False,personal afternoon/evening surprise profile; tip from PBP wall clock,0.7815563636363637,False,False
25,opp_transdef_x_transshare,B,np2,0.05,8687,3261,0.0,1.61362,1.6136,-2e-05,2e-05,0.00585,-0.00159;-0.00045;+0.00029,--+,-,False,0.40796,False,,0.7852463157894737,False,False
16,opp_pace_tercile_profile,B,ft,,8687,3261,0.0,2.00339,2.00337,-2e-05,2e-05,-0.01516,+0.00093;-0.00022;+0.00075,+-+,-,False,0.41294,False,personal shrunken surprise in opp pace tercile (possessions data),0.7889002985074627,False,False
79,rolling_7day_minutes,H,np2,,8687,3261,0.0,1.61362,1.61296,-0.00066,0.00066,0.04249,-0.00112;-0.00020;-0.00112,---,-,True,0.42289,False,,0.7902178102189781,False,False
49,star_onoff_split,E,fg3,,8687,3261,0.0,3.38333,3.38317,-0.00016,0.00016,-0.03198,+0.00001;+0.00000;-0.00006,++-,-,False,0.42289,False,game-level star in/out split (honest reduction of stint on/off),0.7902178102189781,False,False
39,role_expansion,D,ft,,8687,3261,0.0,2.00339,2.00339,0.0,-0.0,0.01381,-0.00044;-0.00069;+0.00017,--+,+,False,0.42289,False,,0.7902178102189781,False,False
96,opp_def_profile_drift,J,paint,,8687,3261,0.0,3.47994,3.47989,-4e-05,4e-05,-0.00935,+0.00212;+0.00158;+0.00014,+++,-,False,0.42786,False,,0.7937113043478261,False,False
5,home_minutes_shift,A,fg3,0.5,8687,3261,0.0,3.38333,3.38325,-8e-05,8e-05,0.0106,-0.00004;-0.00050;+0.00011,--+,-,False,0.43781,False,,0.7948890780141844,False,False
78,personal_ref_history,G,np2,,8687,3261,0.0,1.61362,1.6136,-2e-05,2e-05,0.00384,+0.00001;-0.00057;+0.00009,+-+,-,False,0.43781,False,likely pure noise per catalog; cheap to kill,0.7948890780141844,False,False
42,rim_rate_trend,D,paint,,8687,3261,0.0,3.47994,3.47997,3e-05,-3e-05,0.06107,+0.00901;+0.00049;-0.00121,++-,+,False,0.43284,False,,0.7948890780141844,False,False
85,games_in_14_days,H,paint,,8687,3261,0.0,3.47994,3.47995,1e-05,-1e-05,0.00271,-0.00060;+0.00034;+0.00040,-++,+,False,0.44279,False,,0.7982692957746479,False,False
5,home_minutes_shift,A,ft,0.5,8687,3261,0.0,2.00339,2.00339,0.0,-0.0,0.00435,+0.00021;+0.00065;+0.00038,+++,+,False,0.45274,False,,0.8104995804195804,False,False
75,foulprone_x_crewpf,G,ft,0.5,8687,3261,0.0,2.00339,2.00338,-1e-05,1e-05,0.01003,-0.00073;+0.00015;+0.00016,-++,-,False,0.45771,False,,0.8137066666666667,False,False
58,stint_pm_stability,E,fg3,,8687,3261,0.0,3.38333,3.38333,-0.0,0.0,-0.00423,+0.00032;+0.00006;-0.00696,++-,-,False,0.46269,False,,0.816887172413793,False,False
97,desperation_context,J,np2,,8687,3261,0.0,1.61362,1.61336,-0.00026,0.00026,-0.00409,+0.00015;+0.00011;-0.00020,++-,-,False,0.46766,False,crude standings pressure: below-.500 gap late in season,0.8200065753424658,False,False
46,early_foul_tendency,D,np2,0.5,8687,3261,0.0,1.61362,1.61361,-1e-05,1e-05,0.00015,-0.00003;-0.00017;+0.00005,--+,-,False,0.47761,False,,0.8291479194630873,False,False
8,timezone_shift,A,fg3,,8687,3261,0.0,3.38333,3.38333,0.0,-0.0,-0.0172,-0.00043;-0.00038;+0.00016,--+,+,False,0.48259,False,|venue tz - previous-game venue tz| hours (schedule fact),0.8291479194630873,False,False
84,rest_differential,H,ft,,8687,3261,0.0,2.00339,2.0034,1e-05,-1e-05,-0.01798,-0.00037;-0.00050;+0.00098,--+,+,False,0.48259,False,,0.8291479194630873,False,False
21,opp_toforce_x_toprone,B,fg3,0.05,8687,3261,0.0,3.38333,3.38338,4e-05,-4e-05,0.01935,+0.00015;-0.00000;+0.00008,+-+,+,False,0.48756,False,,0.8321024,False,False
63,rim_vs_floater_trend,F,paint,,8687,3261,0.0,3.47994,3.48006,0.00013,-0.00013,-0.03042,+0.00765;-0.00034;-0.00011,+--,+,False,0.49751,False,,0.8434606622516556,False,False
76,crewpace_x_transition,G,np2,0.3,8687,3261,0.0,1.61362,1.61362,0.0,-0.0,0.00779,-0.00014;+0.00023;-0.00003,-+-,+,False,0.51741,False,,0.8601101298701299,False,False
56,best_pair_lift,E,paint,,8687,3261,0.0,3.47994,3.47994,1e-05,-1e-05,-0.00037,-0.00075;+0.00103;-0.00017,-+-,+,False,0.51741,False,team-ppp pair lift (honest reduction; personal attribution not derivable),0.8601101298701299,False,False
50,usage_absorption_elasticity,E,ft,,8687,3261,0.0,2.00339,2.00342,3e-05,-3e-05,-0.00169,+0.00013;+0.00174;-0.00005,++-,+,False,0.51741,False,,0.8601101298701299,False,False
79,rolling_7day_minutes,H,fg3,,8687,3261,0.0,3.38333,3.38375,0.00042,-0.00042,0.00781,+0.00035;+0.00044;-0.00049,++-,+,False,0.52736,False,,0.8709945806451613,False,False
97,desperation_context,J,fg3,,8687,3261,0.0,3.38333,3.38338,4e-05,-4e-05,0.00083,+0.00081;-0.00500;-0.00115,+--,+,False,0.53234,False,crude standings pressure: below-.500 gap late in season,0.8735835897435899,False,False
66,late_clock_share,F,fg3,0.5,8687,3261,0.0,3.38333,3.38336,3e-05,-3e-05,-0.03024,+0.00063;+0.00094;+0.00112,+++,+,False,0.54726,False,,0.8811230188679244,False,False
2,home_3ppct_diff,A,fg3,,8687,3261,0.0,3.38333,3.38343,0.0001,-0.0001,0.00858,-0.00022;+0.00133;+0.00212,-++,+,False,0.54229,False,"cum 3P% home-away diff (shifted), shrunk k=60 att, x venue sign",0.8811230188679244,False,False
10,tip_time_split,A,paint,,8687,3261,0.0,3.47994,3.48011,0.00017,-0.00017,0.00982,+0.00224;-0.00027;+0.00013,+-+,+,False,0.54726,False,personal afternoon/evening surprise profile; tip from PBP wall clock,0.8811230188679244,False,False
93,possession_denominated_rates,J,np2,0.5,8687,3261,0.0,1.61362,1.61377,0.00015,-0.00015,0.0333,+0.00054;-0.00037;+0.00030,+-+,+,False,0.55721,False,,0.891536,False,False
37,rate_volatility,D,np2,,8687,3261,0.0,1.61362,1.61362,-0.0,0.0,-0.11297,-0.00066;+0.00306;-0.00118,-+-,-,False,0.58706,False,,0.9108324848484849,False,False
12,opp_def_tercile_profile,B,ft,,8687,3261,0.0,2.00339,2.00345,6e-05,-6e-05,-0.01717,+0.00012;+0.00001;+0.00012,+++,+,False,0.58209,False,personal shrunken surprise in opp pts-allowed tercile,0.9108324848484849,False,False
77,tech_x_techcrew,G,ft,,8687,3261,0.0,2.00339,2.00345,6e-05,-6e-05,-0.00888,+0.00035;+0.00001;+0.00003,+++,+,False,0.58706,False,speculative per catalog; tiny samples,0.9108324848484849,False,False
39,role_expansion,D,fg3,,8687,3261,0.0,3.38333,3.38342,8e-05,-8e-05,0.01542,+0.00005;+0.00062;-0.00026,++-,+,False,0.58209,False,,0.9108324848484849,False,False
51,lineup_familiarity,E,ft,,8687,3261,0.0,2.00339,2.00357,0.00018,-0.00018,0.07814,-0.00051;-0.00011;+0.01153,--+,+,False,0.58706,False,,0.9108324848484849,False,False
54,starter_unit_share,E,np2,0.5,8687,3261,0.0,1.61362,1.6136,-2e-05,2e-05,0.00284,+0.00216;+0.00139;-0.00018,++-,-,False,0.59701,False,"share of possessions with >=3 own starters (context share, not production split)",0.918206511627907,False,False
40,usage_eff_divergence,D,np2,,8687,3261,0.0,1.61362,1.61367,6e-05,-6e-05,-0.00838,+0.00330;+0.00034;-0.00006,++-,+,False,0.60697,False,,0.918206511627907,False,False
48,structural_break_score,D,ft,,8687,3261,0.0,2.00339,2.00347,8e-05,-8e-05,-0.00969,+0.00197;+0.00040;+0.00002,+++,+,False,0.61194,False,,0.918206511627907,False,False
83,post_break_flag,H,fg3,,8687,3261,0.0,3.38333,3.38342,9e-05,-9e-05,0.01196,+0.00489;+0.00586;-0.00232,++-,+,False,0.60697,False,first 3 team games after the season's longest league-wide gap,0.918206511627907,False,False
3,home_ftpct_diff,A,ft,,8687,3261,0.0,2.00339,2.0035,0.00011,-0.00011,-0.01066,-0.00047;-0.00016;+0.00027,--+,+,False,0.61194,False,"cum FT% home-away diff (shifted), shrunk k=40 att, x venue sign",0.918206511627907,False,False
93,possession_denominated_rates,J,paint,0.05,8687,3261,0.0,3.47994,3.48021,0.00028,-0.00028,-0.71191,-0.00114;+0.00098;-0.00033,-+-,+,False,0.61692,False,,0.918206511627907,False,False
98,season_series_meeting_no,J,fg3,,8687,3261,0.0,3.38333,3.3845,0.00117,-0.00117,0.03046,-0.00531;-0.00768;-0.00276,---,+,False,0.61692,False,,0.918206511627907,False,False
98,season_series_meeting_no,J,ft,,8687,3261,0.0,2.00339,2.00419,0.0008,-0.0008,0.02269,-0.00041;-0.00133;+0.00412,--+,+,False,0.62189,False,,0.9202534104046244,False,False
45,garbage_cleaned_rates,D,paint,0.5,8687,3261,0.0,3.47994,3.4802,0.00027,-0.00027,-0.02809,+0.00050;+0.00025;+0.00022,+++,+,False,0.63184,False,,0.9296036781609195,False,False
11,trip_position,A,fg3,,8687,3261,0.0,3.38333,3.38345,0.00012,-0.00012,0.01424,+0.00079;+0.00034;+0.00008,+++,+,False,0.65174,False,"nth consecutive same-venue game, signed away=+ (schedule fact)",0.9444961797752809,False,False
78,personal_ref_history,G,paint,,8687,3261,0.0,3.47994,3.48042,0.00048,-0.00048,0.01944,+0.00054;-0.00134;-0.00106,+--,+,False,0.65672,False,likely pure noise per catalog; cheap to kill,0.9444961797752809,False,False
96,opp_def_profile_drift,J,np2,,8687,3261,0.0,1.61362,1.61417,0.00056,-0.00056,0.00978,-0.00059;+0.00027;+0.00007,-++,+,False,0.65174,False,,0.9444961797752809,False,False
79,rolling_7day_minutes,H,paint,,8687,3261,0.0,3.47994,3.48059,0.00066,-0.00066,0.02723,-0.00014;-0.00037;-0.00096,---,+,False,0.65672,False,,0.9444961797752809,False,False
11,trip_position,A,np2,,8687,3261,0.0,1.61362,1.61375,0.00013,-0.00013,-0.0287,-0.00090;-0.00055;+0.00080,--+,+,False,0.68657,False,"nth consecutive same-venue game, signed away=+ (schedule fact)",0.9517969892473119,False,False
8,timezone_shift,A,np2,,8687,3261,0.0,1.61362,1.61376,0.00014,-0.00014,0.03034,-0.00002;+0.00828;+0.00346,-++,+,False,0.68159,False,|venue tz - previous-game venue tz| hours (schedule fact),0.9517969892473119,False,False
25,opp_transdef_x_transshare,B,fg3,0.25,8687,3261,0.0,3.38333,3.38351,0.00018,-0.00018,-0.03117,+0.00019;+0.00218;-0.00060,++-,+,False,0.66667,False,,0.9517969892473119,False,False
96,opp_def_profile_drift,J,fg3,,8687,3261,0.0,3.38333,3.38361,0.00028,-0.00028,0.03552,+0.00251;-0.00385;+0.00351,+-+,+,False,0.69154,False,,0.9517969892473119,False,False
55,closing_lineup_membership,E,fg3,,8687,3261,0.0,3.38333,3.38363,0.0003,-0.0003,-0.00782,+0.00754;-0.00021;+0.00111,+-+,+,False,0.68159,False,,0.9517969892473119,False,False
21,opp_toforce_x_toprone,B,paint,0.05,8687,3261,0.0,3.47994,3.48027,0.00033,-0.00033,0.0215,-0.00002;+0.00000;-0.00004,-+-,+,False,0.69154,False,,0.9517969892473119,False,False
8,timezone_shift,A,paint,,8687,3261,0.0,3.47994,3.48027,0.00034,-0.00034,0.01108,+0.00114;+0.00058;+0.00190,+++,+,False,0.68159,False,|venue tz - previous-game venue tz| hours (schedule fact),0.9517969892473119,False,False
61,shot_diet_xpts,F,np2,0.2,8687,3261,0.0,1.61362,1.6142,0.00059,-0.00059,-0.19832,-0.02266;-0.02565;-0.03379,---,+,False,0.67164,False,,0.9517969892473119,False,False
79,rolling_7day_minutes,H,ft,,8687,3261,0.0,2.00339,2.00421,0.00082,-0.00082,0.09444,-0.00101;-0.00268;-0.00166,---,+,False,0.69652,False,,0.9535247058823529,False,False
100,h2h_micro_update,J,ft,,8687,3261,0.0,2.00339,2.0036,0.00021,-0.00021,0.02299,+0.00293;+0.00013;-0.00013,++-,+,False,0.70149,False,,0.9552204255319148,False,False
76,crewpace_x_transition,G,fg3,0.05,8687,3261,0.0,3.38333,3.38346,0.00012,-0.00012,0.02315,+0.00000;-0.00053;+0.00017,+-+,+,False,0.70647,False,,0.9569117460317461,False,False
23,opp_rotation_x_minshare,B,fg3,0.05,8687,3261,0.0,3.38333,3.38386,0.00053,-0.00053,0.0191,+0.00013;-0.00037;+0.00047,+-+,+,False,0.71642,False,,0.9652816842105263,False,False
89,team_change_reset,I,paint,,8687,3261,0.0,3.47994,3.48037,0.00043,-0.00043,0.00839,-0.00098;-0.00006;+0.00002,--+,+,False,0.72139,False,exp(-games_since_change/5); in-season trades + offseason moves,0.9668892146596858,False,False
94,blowout_x_min_elasticity,J,paint,,8687,3261,0.0,3.47994,3.48034,0.0004,-0.0004,-0.03741,-0.00144;+0.00270;+0.00047,-++,+,False,0.73632,False,,0.9766731606217616,False,False
46,early_foul_tendency,D,fg3,0.05,8687,3261,0.0,3.38333,3.38383,0.0005,-0.0005,-0.1098,-0.00492;+0.00053;-0.00054,-+-,+,False,0.73632,False,,0.9766731606217616,False,False
53,gravity_x_paint,E,paint,0.5,8687,3261,0.0,3.47994,3.48066,0.00072,-0.00072,-0.01513,+0.00180;-0.00008;+0.00023,+-+,+,False,0.74129,False,,0.9781971134020618,False,False
4,home_usage_shift,A,np2,0.05,8687,3261,0.0,1.61362,1.61378,0.00016,-0.00016,-0.00665,+0.00015;+0.00047;+0.00029,+++,+,False,0.76119,False,,0.9906036363636364,False,False
6,rest_bucket_profile,A,ft,,8687,3261,0.0,2.00339,2.00355,0.00016,-0.00016,0.02451,-0.00181;+0.00137;+0.00069,-++,+,False,0.75622,False,"personal shrunken surprise-vs-baseline in rest bucket {<=1,2,3+}",0.9906036363636364,False,False
36,fast_slow_ewma_gap,D,np2,,8687,3261,0.0,1.61362,1.61383,0.00021,-0.00021,0.01754,+0.00054;-0.00027;+0.00030,+-+,+,False,0.76617,False,alpha 0.40 minus 0.05 rate gap (fixed pair by design),0.9906036363636364,False,False
25,opp_transdef_x_transshare,B,paint,0.5,8687,3261,0.0,3.47994,3.48035,0.00041,-0.00041,-0.00935,+0.00030;+0.00037;+0.00004,+++,+,False,0.76617,False,,0.9906036363636364,False,False
21,opp_toforce_x_toprone,B,np2,0.05,8687,3261,0.0,1.61362,1.61391,0.00029,-0.00029,-0.01617,-0.00105;-0.00016;+0.00005,--+,+,False,0.77114,False,,0.9920192964824122,False,False
75,foulprone_x_crewpf,G,paint,0.3,8687,3261,0.0,3.47994,3.48028,0.00034,-0.00034,0.11527,-0.00498;-0.00015;+0.00059,--+,+,False,0.78109,False,,0.9980923076923076,False,False
36,fast_slow_ewma_gap,D,fg3,,8687,3261,0.0,3.38333,3.38386,0.00052,-0.00052,0.01491,+0.00493;+0.00073;+0.00198,+++,+,False,0.801,False,alpha 0.40 minus 0.05 rate gap (fixed pair by design),0.9980923076923076,False,False
4,home_usage_shift,A,paint,0.05,8687,3261,0.0,3.47994,3.48057,0.00063,-0.00063,0.01991,+0.00055;-0.00018;+0.00043,+-+,+,False,0.79104,False,,0.9980923076923076,False,False
50,usage_absorption_elasticity,E,fg3,,8687,3261,0.0,3.38333,3.384,0.00067,-0.00067,0.02122,+0.01139;+0.00031;+0.00180,+++,+,False,0.78607,False,,0.9980923076923076,False,False
1,home_lift_shrunk,A,paint,0.3,8687,3261,0.0,3.47994,3.48065,0.00072,-0.00072,0.10092,-0.00083;-0.00095;-0.00037,---,+,False,0.81095,False,"pts/36 home-away EWMA split, shrunk to +0.38 league mean, x venue sign",0.9980923076923076,False,False
57,competition_quality,E,np2,0.45,8687,3261,0.0,1.61362,1.6144,0.00078,-0.00078,0.04803,-0.00513;-0.00234;+0.00134,--+,+,False,0.81095,False,,0.9980923076923076,False,False
14,paintrel_vs_rimprot,B,paint,0.5,8687,3261,0.0,3.47994,3.4809,0.00096,-0.00096,0.05397,+0.00057;+0.00068;-0.00000,++-,+,False,0.81095,False,,0.9980923076923076,False,False
58,stint_pm_stability,E,paint,,8687,3261,0.0,3.47994,3.48116,0.00123,-0.00123,0.02679,-0.00059;-0.00122;+0.00227,--+,+,False,0.801,False,,0.9980923076923076,False,False
64,corner3_mix,F,fg3,0.05,8687,3261,0.0,3.38333,3.38745,0.00412,-0.00412,0.03688,-0.00543;+0.00556;+0.00092,-++,+,False,0.81095,False,,0.9980923076923076,False,False
40,usage_eff_divergence,D,ft,,8687,3261,0.0,2.00339,2.00365,0.00026,-0.00026,-0.07233,-0.00009;-0.00397;+0.00423,--+,+,False,0.83582,False,,0.9989220392156863,False,False
94,blowout_x_min_elasticity,J,np2,,8687,3261,0.0,1.61362,1.61408,0.00047,-0.00047,-0.02794,+0.00311;+0.00008;-0.00000,++-,+,False,0.89055,False,,0.9989220392156863,False,False
37,rate_volatility,D,ft,,8687,3261,0.0,2.00339,2.00388,0.00049,-0.00049,-0.06007,+0.00403;-0.00298;+0.01764,+-+,+,False,0.85075,False,,0.9989220392156863,False,False
77,tech_x_techcrew,G,np2,,8687,3261,0.0,1.61362,1.61415,0.00054,-0.00054,-0.02454,+0.00001;-0.00022;-0.00025,+--,+,False,0.9602,False,speculative per catalog; tiny samples,0.9989220392156863,False,False
81,3in5_x_benchdepth,H,ft,,8687,3261,0.0,2.00339,2.00396,0.00057,-0.00057,0.0573,+0.00107;+0.00230;-0.00056,++-,+,False,0.85572,False,,0.9989220392156863,False,False
84,rest_differential,H,fg3,,8687,3261,0.0,3.38333,3.38391,0.00057,-0.00057,-0.0415,-0.00011;+0.00026;-0.00018,-+-,+,False,0.81592,False,,0.9989220392156863,False,False
50,usage_absorption_elasticity,E,paint,,8687,3261,0.0,3.47994,3.48061,0.00067,-0.00067,-0.05374,+0.00162;-0.00175;+0.00144,+-+,+,False,0.84577,False,,0.9989220392156863,False,False
6,rest_bucket_profile,A,np2,,8687,3261,0.0,1.61362,1.6143,0.00068,-0.00068,0.03789,+0.00008;+0.00029;-0.00023,++-,+,False,0.9005,False,"personal shrunken surprise-vs-baseline in rest bucket {<=1,2,3+}",0.9989220392156863,False,False
22,opp_dreb_x_secondchance,B,np2,0.25,8687,3261,0.0,1.61362,1.6143,0.00068,-0.00068,-0.04009,+0.00078;+0.00011;-0.00022,++-,+,False,0.9403,False,,0.9989220392156863,False,False
52,onfloor_pace_diff,E,ft,0.25,8687,3261,0.0,2.00339,2.00428,0.00089,-0.00089,-0.02279,-0.00007;-0.00035;+0.00045,--+,+,False,0.8806,False,PROXY per catalog: possessions/min on floor vs game,0.9989220392156863,False,False
68,court_side_asymmetry,F,paint,,8687,3261,0.0,3.47994,3.48084,0.00091,-0.00091,-0.03931,+0.00389;-0.00015;+0.00215,+-+,+,False,0.89552,False,,0.9989220392156863,False,False
94,blowout_x_min_elasticity,J,fg3,,8687,3261,0.0,3.38333,3.38428,0.00095,-0.00095,-0.05295,-0.00051;+0.00086;-0.00008,-+-,+,False,0.90547,False,,0.9989220392156863,False,False
65,early_clock_share,F,np2,0.1,8687,3261,0.0,1.61362,1.61467,0.00106,-0.00106,-0.03716,-0.00192;-0.00160;+0.00027,--+,+,False,0.97512,False,,0.9989220392156863,False,False
11,trip_position,A,paint,,8687,3261,0.0,3.47994,3.48102,0.00109,-0.00109,0.06928,-0.00039;-0.00116;-0.00046,---,+,False,0.88557,False,"nth consecutive same-venue game, signed away=+ (schedule fact)",0.9989220392156863,False,False
12,opp_def_tercile_profile,B,np2,,8687,3261,0.0,1.61362,1.61477,0.00115,-0.00115,0.04594,-0.00105;+0.00023;-0.00009,-+-,+,False,0.98507,False,personal shrunken surprise in opp pts-allowed tercile,0.9989220392156863,False,False
60,second_unit_anchor,E,fg3,,8687,3261,0.0,3.38333,3.3845,0.00117,-0.00117,0.04377,+0.00536;+0.00303;+0.00936,+++,+,False,0.86567,False,,0.9989220392156863,False,False
89,team_change_reset,I,np2,,8687,3261,0.0,1.61362,1.6148,0.00118,-0.00118,0.02704,+0.00172;+0.00116;-0.00131,++-,+,False,0.85075,False,exp(-games_since_change/5); in-season trades + offseason moves,0.9989220392156863,False,False
97,desperation_context,J,paint,,8687,3261,0.0,3.47994,3.48114,0.00121,-0.00121,-0.10962,+0.00813;-0.00285;-0.00499,+--,+,False,0.84577,False,crude standings pressure: below-.500 gap late in season,0.9989220392156863,False,False
66,late_clock_share,F,np2,0.5,8687,3261,0.0,1.61362,1.61485,0.00124,-0.00124,0.03427,+0.00000;-0.00044;-0.00033,+--,+,False,0.97512,False,,0.9989220392156863,False,False
68,court_side_asymmetry,F,np2,,8687,3261,0.0,1.61362,1.61486,0.00125,-0.00125,-0.02728,-0.00594;-0.00063;+0.00170,--+,+,False,0.98507,False,,0.9989220392156863,False,False
81,3in5_x_benchdepth,H,fg3,,8687,3261,0.0,3.38333,3.3846,0.00126,-0.00126,0.02864,-0.00096;+0.00087;-0.00018,-+-,+,False,0.9005,False,,0.9989220392156863,False,False
16,opp_pace_tercile_profile,B,np2,,8687,3261,0.0,1.61362,1.6149,0.00128,-0.00128,0.04079,+0.00011;+0.00057;+0.00095,+++,+,False,0.98507,False,personal shrunken surprise in opp pace tercile (possessions data),0.9989220392156863,False,False
1,home_lift_shrunk,A,ft,0.3,8687,3261,0.0,2.00339,2.00469,0.0013,-0.0013,0.08601,-0.00207;-0.00306;+0.00071,--+,+,False,0.96517,False,"pts/36 home-away EWMA split, shrunk to +0.38 league mean, x venue sign",0.9989220392156863,False,False
47,post_absence_ramp,D,fg3,,8687,3261,0.0,3.38333,3.38467,0.00134,-0.00134,-0.05107,-0.00637;+0.00365;-0.00169,-+-,+,False,0.87065,False,,0.9989220392156863,False,False
51,lineup_familiarity,E,fg3,,8687,3261,0.0,3.38333,3.38469,0.00135,-0.00135,0.07772,+0.01113;-0.00151;+0.00402,+-+,+,False,0.8408,False,,0.9989220392156863,False,False
24,opp_3pvar_x_shooter,B,fg3,0.5,8687,3261,0.0,3.38333,3.38471,0.00138,-0.00138,0.04476,+0.00277;+0.00249;-0.00103,++-,+,False,0.93532,False,,0.9989220392156863,False,False
78,personal_ref_history,G,fg3,,8687,3261,0.0,3.38333,3.38472,0.00139,-0.00139,-0.05112,-0.00222;+0.00129;+0.00003,-++,+,False,0.92537,False,likely pure noise per catalog; cheap to kill,0.9989220392156863,False,False
57,competition_quality,E,ft,0.05,8687,3261,0.0,2.00339,2.00492,0.00153,-0.00153,0.0944,-0.00762;-0.00741;+0.00098,--+,+,False,0.8806,False,,0.9989220392156863,False,False
37,rate_volatility,D,paint,,8687,3261,0.0,3.47994,3.48153,0.00159,-0.00159,-0.14774,-0.00180;-0.00235;-0.00239,---,+,False,0.91045,False,,0.9989220392156863,False,False
4,home_usage_shift,A,ft,0.4,8687,3261,0.0,2.00339,2.00508,0.00169,-0.00169,0.06766,-0.00192;-0.00255;+0.00167,--+,+,False,0.97512,False,,0.9989220392156863,False,False
43,shot_distance_drift,D,fg3,,8687,3261,0.0,3.38333,3.38506,0.00173,-0.00173,0.05049,-0.00024;+0.00005;+0.00358,-++,+,False,0.9403,False,,0.9989220392156863,False,False
59,system_dependence,E,fg3,0.05,8687,3261,0.0,3.38333,3.38509,0.00175,-0.00175,0.02627,-0.00012;+0.00064;+0.00077,-++,+,False,0.8209,False,,0.9989220392156863,False,False
6,rest_bucket_profile,A,fg3,,8687,3261,0.0,3.38333,3.38511,0.00177,-0.00177,-0.10752,+0.00095;-0.00565;-0.00092,+--,+,False,0.94527,False,"personal shrunken surprise-vs-baseline in rest bucket {<=1,2,3+}",0.9989220392156863,False,False
81,3in5_x_benchdepth,H,np2,,8687,3261,0.0,1.61362,1.61565,0.00203,-0.00203,-0.04806,-0.00277;-0.00373;+0.00078,--+,+,False,0.99502,False,,0.9989220392156863,False,False
51,lineup_familiarity,E,paint,,8687,3261,0.0,3.47994,3.48202,0.00208,-0.00208,0.07858,-0.00461;+0.00105;+0.01354,-++,+,False,0.90547,False,,0.9989220392156863,False,False
49,star_onoff_split,E,np2,,8687,3261,0.0,1.61362,1.61596,0.00234,-0.00234,-0.04744,-0.00556;+0.00379;+0.00284,-++,+,False,0.98507,False,game-level star in/out split (honest reduction of stint on/off),0.9989220392156863,False,False
56,best_pair_lift,E,np2,,8687,3261,0.0,1.61362,1.61609,0.00247,-0.00247,-0.03198,-0.00069;-0.00126;+0.00014,--+,+,False,0.92537,False,team-ppp pair lift (honest reduction; personal attribution not derivable),0.9989220392156863,False,False
68,court_side_asymmetry,F,ft,,8687,3261,0.0,2.00339,2.00617,0.00278,-0.00278,-0.05806,-0.00053;-0.00292;+0.00560,--+,+,False,0.99502,False,,0.9989220392156863,False,False
12,opp_def_tercile_profile,B,fg3,,8687,3261,0.0,3.38333,3.3863,0.00297,-0.00297,-0.11527,+0.00271;-0.00259;-0.00281,+--,+,False,0.99005,False,personal shrunken surprise in opp pts-allowed tercile,0.9989220392156863,False,False
57,competition_quality,E,paint,0.05,8687,3261,0.0,3.47994,3.483,0.00306,-0.00306,0.13185,-0.00967;-0.00641;-0.00156,---,+,False,0.95025,False,,0.9989220392156863,False,False
44,self_creation_index,D,paint,0.3,8687,3261,0.0,3.47994,3.48309,0.00316,-0.00316,-0.10557,+0.00255;+0.00293;+0.00049,+++,+,False,0.9602,False,,0.9989220392156863,False,False
54,starter_unit_share,E,ft,0.05,8687,3261,0.0,2.00339,2.00658,0.00319,-0.00319,0.0855,-0.00639;-0.00532;+0.00346,--+,+,False,0.9801,False,"share of possessions with >=3 own starters (context share, not production split)",0.9989220392156863,False,False
54,starter_unit_share,E,paint,0.05,8687,3261,0.0,3.47994,3.48318,0.00324,-0.00324,0.12824,-0.00386;-0.00423;-0.00107,---,+,False,0.9602,False,"share of possessions with >=3 own starters (context share, not production split)",0.9989220392156863,False,False
49,star_onoff_split,E,paint,,8687,3261,0.0,3.47994,3.48378,0.00384,-0.00384,0.09794,+0.00287;-0.00003;-0.00111,+--,+,False,0.97015,False,game-level star in/out split (honest reduction of stint on/off),0.9989220392156863,False,False
85,games_in_14_days,H,fg3,,8687,3261,0.0,3.38333,3.38834,0.005,-0.005,0.04964,-0.00309;+0.00807;+0.00333,-++,+,False,0.8607,False,,0.9989220392156863,False,False
82,season_phase_linear,H,fg3,,8687,3261,0.0,3.38333,3.38945,0.00612,-0.00612,0.09755,-0.00304;-0.00210;+0.01556,--+,+,False,0.9602,False,games-into-season; single linear column (nonlinear ramp out of scope for one series),0.9989220392156863,False,False
85,games_in_14_days,H,ft,,8687,3261,0.0,2.00339,2.01024,0.00685,-0.00685,0.08653,+0.00912;+0.00712;+0.00299,+++,+,False,0.99005,False,,0.9989220392156863,False,False
23,opp_rotation_x_minshare,B,np2,0.15,8687,3261,0.0,1.61362,1.61529,0.00167,-0.00167,0.04929,+0.00042;-0.00109;-0.00100,+--,+,False,1.0,False,,1.0,False,False
