pattern,channel,player_id,player_name,n_rows,sxx,raw_dev_slope,trait_pred_slope,shrunken_dev,posterior_z,half1_slope,half2_slope,half_signs,survives_shrinkage,replicates_sign,reported,K_star
TALL_SHOOTERS [fg3],fg3,204320,Amanda Zahui B,37,37.8,-1.85253,0.03867,-0.23833,-0.923,-1.76363,-1.959,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,204322,Elizabeth Williams,88,103.87,0.05455,-0.05548,0.01574,0.068,0.0414,0.06707,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,204323,Cheyenne Parker-Tyus,93,90.23,-0.02017,-0.06211,-0.00526,-0.022,0.31774,-0.43777,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,204324,Dearica Hamby,121,119.43,0.42817,-0.02322,0.13621,0.597,0.14056,0.66915,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,204329,Kiah Stokes,104,108.22,0.55609,-0.06624,0.16523,0.713,0.73501,0.29689,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,204330,Isabelle Harrison,79,67.44,-0.12952,-0.08608,-0.02701,-0.11,-0.03407,-0.20748,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,204333,Natasha Cloud,116,105.64,0.27597,0.02833,0.08061,0.347,-0.44101,1.42833,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,204335,Betnijah Laney-Hamilton,89,53.48,-0.76751,-0.00429,-0.13264,-0.527,-1.17796,0.06236,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,204365,Erica Wheeler,112,110.8,-0.05827,0.03037,-0.0176,-0.076,-0.11688,-0.00109,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1627668,Breanna Stewart,120,72.84,-0.22027,-0.00688,-0.04879,-0.2,-1.01438,0.67447,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1627669,Moriah Jefferson,87,101.17,-0.27267,0.00721,-0.07724,-0.33,-0.56915,0.06972,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1627671,Rachel Banham,94,99.19,-0.20057,0.10302,-0.05601,-0.239,-0.54359,0.14246,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1627672,Aerial Powers,59,69.42,-0.08017,-0.01604,-0.0171,-0.07,0.05593,-0.3596,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1627673,Jonquel Jones,119,80.87,0.37378,0.00469,0.08973,0.372,0.42987,0.36116,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1627674,Kahleah Copper,118,121.39,-0.14067,0.05165,-0.04525,-0.199,0.19458,-0.57666,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1627675,Courtney Williams,126,135.17,-0.37902,-0.08457,-0.13097,-0.586,-0.01909,-0.72531,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1627676,Tiffany Mitchell,92,98.45,-0.14253,0.00948,-0.03959,-0.168,-0.59236,0.30729,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1627700,Julie Allemand,20,17.76,-1.32391,-0.01737,-0.08588,-0.321,-1.30137,-1.23328,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628242,Emma Cannon,44,45.78,-0.59053,-0.04828,-0.08959,-0.352,-0.09872,-1.06613,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628244,Sami Whitcomb,120,99.54,0.28296,0.14308,0.07922,0.338,1.60039,-1.04239,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628263,Lindsay Allen,83,92.27,-0.24375,-0.02386,-0.06458,-0.272,-0.8878,0.47415,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628269,Nia Coffey,91,89.65,-0.45573,0.00051,-0.1182,-0.497,0.1234,-0.99156,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628276,Kelsey Plum,119,121.72,0.0362,0.12974,0.01166,0.051,0.68925,-0.65762,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628277,Allisha Gray,116,105.64,0.38347,0.00477,0.11201,0.481,0.98657,-0.13228,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628278,Shatori Walker-Kimbrough,110,110.19,0.14014,-0.01344,0.04217,0.182,0.48208,-0.36075,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628279,Brittney Sykes,102,104.74,0.07751,0.00582,0.0225,0.097,0.60838,-0.49934,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628280,Brionna Jones,101,101.54,0.08688,-0.06904,0.02467,0.105,0.06248,0.11141,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628282,Sydney Wiese,21,23.78,1.76355,0.02056,0.14992,0.567,2.69384,0.89085,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628317,Karlie Samuelson,59,56.25,-0.00996,-0.02962,-0.00179,-0.007,-0.85832,0.68322,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628508,Cecilia Zandalasini,29,26.41,0.82635,-0.03663,0.07727,0.294,0.51715,0.96203,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628878,Ariel Atkins,113,116.89,0.57456,0.07079,0.1801,0.786,0.33096,0.88651,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628881,Monique Billings,105,99.68,0.08939,-0.11029,0.02505,0.107,0.09934,0.0475,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628882,Lexie Brown,50,53.39,0.82471,0.06477,0.14231,0.566,1.40187,-0.24455,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628886,Jordin Canada,99,111.44,-0.21024,0.02018,-0.06376,-0.276,0.01187,-0.40052,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628890,Diamond DeShields,70,62.16,-0.05047,-0.00139,-0.00986,-0.04,0.6692,-1.015,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628899,Myisha Hines-Allen,105,111.31,-0.21879,0.00538,-0.0663,-0.287,-0.44065,-0.17693,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628909,Kelsey Mitchell,122,128.33,-0.17501,0.13974,-0.05843,-0.259,-0.34826,0.15614,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628915,Kia Nurse,95,90.78,0.11103,0.07791,0.02907,0.122,0.25711,-0.04552,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628920,Mercedes Russell,80,67.64,0.13866,-0.15217,0.02898,0.118,0.14239,0.14111,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628922,Azurá Stevens,99,97.99,0.30518,-0.01698,0.08448,0.359,-0.04734,0.72261,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628927,Victoria Vivians,105,105.71,-0.1628,0.03733,-0.04758,-0.205,-0.20978,-0.08727,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1628929,Kristy Wallace,70,74.21,-0.50317,-0.01316,-0.11308,-0.464,0.28422,-1.29056,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628931,Gabby Williams,43,32.52,0.19061,0.01121,0.02149,0.082,0.63628,-0.09023,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1628932,A'ja Wilson,126,126.85,-0.04149,-0.14709,-0.01375,-0.061,-0.16067,0.07545,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629476,Asia (AD) Durr,34,33.95,-0.34304,0.04468,-0.04017,-0.155,-0.73936,-0.42498,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629477,Sabrina Ionescu,120,76.91,0.33537,0.1342,0.07748,0.32,0.83307,-0.12361,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629478,Katie Lou Samuelson,77,84.76,-1.09054,-0.0196,-0.27126,-1.132,-0.73644,-1.88883,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629479,Teaira McCowan,111,113.39,0.0701,-0.07242,0.02152,0.093,0.06781,0.06904,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629480,Kalani Brown,54,60.12,0.09054,-0.09984,0.01722,0.069,0.07489,0.12655,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629481,Arike Ogunbowale,120,116.13,0.6253,0.16358,0.19513,0.851,0.88631,0.40778,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629482,Sophie Cunningham,107,100.21,-0.1401,0.04117,-0.03941,-0.168,-0.42845,0.13115,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629483,Napheesa Collier,85,81.87,0.11078,-0.03816,0.02684,0.112,0.49575,-0.23367,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629484,Megan Gustafson,62,50.22,-0.24257,-0.05204,-0.03978,-0.157,-0.0025,-0.52022,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629488,Brianna Turner,98,88.34,0.05386,-0.05963,0.01382,0.058,0.02703,0.08774,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629491,Jessica Shepard,57,66.21,0.27515,-0.06812,0.05654,0.229,0.421,0.17003,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629496,Ezi Magbegor,117,88.32,-0.35749,-0.06141,-0.0917,-0.385,-0.66618,-0.06558,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629497,Marina Mabrey,125,117.48,0.62123,0.08784,0.19541,0.854,0.28924,0.90776,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629498,Jackie Young,123,128.68,0.42648,-0.05456,0.14266,0.632,-0.06821,0.95435,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629501,Alanna Smith,74,75.6,-0.00597,0.00692,-0.00136,-0.006,-0.59701,0.74623,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629524,Bridget Carleton,118,126.84,0.18636,-0.01085,0.06174,0.273,0.71301,-0.3774,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629546,Marine Johannès,48,33.18,-0.53892,0.10509,-0.06184,-0.238,-0.67781,-1.49351,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629566,Han Xu,26,18.78,0.90038,-0.13346,0.06155,0.231,1.50969,0.29107,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1629567,Natisha Hiedeman,122,122.68,0.44339,0.08889,0.14365,0.632,0.93104,-0.08764,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629568,Kennedy Burke,40,28.3,0.04064,0.05156,0.00405,0.015,-0.11818,,-x,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629571,Morgan Bertsch,22,18.16,0.06811,-0.04818,0.00451,0.017,2.55696,-1.23947,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1629574,Li Yueru,31,32.94,0.31653,-0.08383,0.03609,0.139,0.33389,0.28676,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630093,Bella Alarie,21,17.97,-0.00811,-0.04886,-0.00053,-0.002,-0.06019,0.05086,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630096,DiJonai Carrington,98,103.35,-0.06095,0.06524,-0.01753,-0.075,0.51596,-1.03597,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630097,Kaila Charles,22,21.44,0.10458,-0.04942,0.00808,0.03,0.04391,0.05309,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630099,Te'a Cooper,25,22.2,0.45475,0.05626,0.03629,0.137,-0.99376,2.3464,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630101,Crystal Dangerfield,99,81.73,-0.23979,0.02726,-0.05803,-0.241,0.03777,-0.43708,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630112,Tyasha Harris,110,100.95,-0.56132,0.00173,-0.15875,-0.678,-0.12498,-1.02433,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630113,Ruthy Hebard,40,46.62,0.13956,-0.11849,0.0215,0.085,0.1252,0.141,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630115,Joyner Holmes,35,23.78,0.56089,0.01719,0.04768,0.18,0.45947,0.51612,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630131,Kylee Shook,21,17.77,-0.45928,0.00488,-0.0298,-0.111,-1.69509,-0.29679,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630134,Sug Sutton,54,60.12,-0.29158,-0.01063,-0.05545,-0.223,0.07386,-0.79424,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630142,Leonie Fiebich,33,15.14,-1.15226,-0.00173,-0.06432,-0.239,-0.92856,-1.35112,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630149,Satou Sabally,61,68.05,-0.83089,0.02308,-0.17449,-0.71,-0.83355,-0.88003,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630150,Chennedy Carter,51,62.9,-0.11506,-0.05414,-0.02269,-0.092,-0.19921,0.10077,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630386,Awak Kuier,46,32.94,0.1251,-0.04856,0.01426,0.055,-0.09942,0.23797,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630389,Dana Evans,87,91.22,0.54665,0.09192,0.14361,0.605,0.9485,0.1458,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630442,Natasha Mack,31,19.33,0.14346,-0.13044,0.01007,0.038,0.13112,0.15246,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630446,Michaela Onyenwere,105,99.42,-0.64641,0.05276,-0.18081,-0.771,-1.16324,-0.42026,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630459,DiDi Richards,32,30.08,1.29281,-0.06886,0.13592,0.52,1.21075,1.47749,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630462,Aari McDonald,92,95.73,-0.6153,0.1258,-0.16747,-0.71,-1.32317,0.14194,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630471,Maya Caldwell,30,34.96,-0.33152,-0.00018,-0.03984,-0.154,0.20126,-0.77064,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1630957,Rui Machida,25,31.97,-0.8824,0.03261,-0.09795,-0.376,-0.80809,-0.97856,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1630996,Rae Burrell,38,45.57,1.11599,0.0046,0.16862,0.662,0.51522,1.83526,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1631006,Kierstan Bell,32,30.35,-1.03518,0.06343,-0.10972,-0.42,0.35769,-2.79809,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631007,Veronica Burton,66,67.27,0.43269,-0.02157,0.09004,0.366,1.33073,-0.33241,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631009,Rhyne Howard,88,91.57,0.78979,0.0814,0.20808,0.877,0.80067,0.74167,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1631019,NaLyssa Smith,88,79.46,-0.0898,-0.05619,-0.02127,-0.088,-0.44981,0.49827,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631022,Shakira Austin,52,51.23,0.13881,-0.13324,0.02314,0.092,0.14296,0.08571,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1631031,Queen Egbo,52,51.23,0.11353,-0.09846,0.01893,0.075,0.10908,0.11798,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1631044,Naz Hillmon,90,92.25,0.06166,-0.05301,0.01633,0.069,0.06849,0.05311,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1631055,Nyara Sabally,29,19.14,-0.04713,-0.05623,-0.00328,-0.012,0.12669,0.09497,++,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631083,Emily Engstler,54,54.78,0.48628,0.04599,0.08571,0.342,1.10758,-0.10805,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631086,Lexie Hull,62,57.02,-0.14411,0.0258,-0.02625,-0.105,0.11899,-0.27691,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631089,Destanni Henderson,36,34.53,0.87807,0.10478,0.10436,0.402,0.98827,-0.8293,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631135,Olivia Nelson-Ododa,65,69.67,0.09349,-0.09984,0.02,0.082,0.11894,0.07313,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1631141,Jade Melbourne,43,36.14,0.55639,0.00057,0.06883,0.266,3.24425,-1.40108,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1631263,Nikolina Milić,41,54.14,0.07186,-0.01142,0.01255,0.05,0.32532,-0.15759,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641602,Ivana Dojkić,23,21.72,1.69949,0.01297,0.13289,0.501,1.10273,3.26453,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1641641,Robyn Parks,28,31.71,0.21107,0.01895,0.02327,0.089,2.11083,-0.969,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641642,Li Meng,29,22.96,0.52984,0.08553,0.04362,0.165,0.66904,1.08395,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1641648,Aliyah Boston,70,68.5,0.06043,-0.08631,0.01276,0.052,0.11231,-0.04266,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641649,Diamond Miller,37,40.5,0.43857,0.02342,0.0599,0.233,0.11991,0.90034,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1641650,Haley Jones,53,48.38,0.12017,-0.07216,0.0191,0.075,0.73416,-0.27378,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641651,Jordan Horston,64,50.55,0.27113,-0.08382,0.04471,0.177,-0.15599,0.62946,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641652,Maddy Siegrist,33,27.24,0.2934,-0.08975,0.02822,0.107,1.01805,-0.42282,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641657,Dorka Juhász,55,55.09,-0.20273,-0.04873,-0.0359,-0.143,-0.79312,0.65679,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641658,Grace Berger,27,31.24,0.52855,-0.09738,0.05749,0.22,0.09415,1.03214,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1641660,Zia Cooke,37,42.9,0.25487,0.05959,0.03658,0.143,-1.51954,0.6779,-+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641675,Dulcy Fankam Mendjiadeu,24,18.5,-0.00754,0.00721,-0.00051,-0.002,0.00091,,+x,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1641690,Kadi Sissoko,20,20.81,0.94002,-0.04296,0.07067,0.266,0.14888,2.14627,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1642210,Julie Vanloo,35,34.25,1.46407,0.17527,0.17276,0.665,1.26985,1.61816,++,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1642244,Sevgi Uzun,28,19.03,2.3383,-0.00388,0.16177,0.606,,2.20704,x+,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1642286,Caitlin Clark,35,23.78,-1.01997,0.15382,-0.08671,-0.328,-1.10905,-0.63229,--,False,True,False,256.0
TALL_SHOOTERS [fg3],fg3,1642288,Rickea Jackson,35,37.1,0.18507,-0.03044,0.02343,0.091,0.6164,-0.24654,+-,False,False,False,256.0
TALL_SHOOTERS [fg3],fg3,1642289,Kamilla Cardoso,27,25.9,0.0659,-0.06284,0.00605,0.023,0.05015,0.08564,++,False,True,False,256.0
