screen,file,line,code
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,52,"""MULTIPLICITY: family-wise p = %.3f (z = %.2f against a 27-cell max-T """
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,53,"""randomization null whose p95 is %.2f and whose max draw is %.2f). This is """
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,60,"max(c[""placebo_naive_row_level""][""sd""], 1e-12)))"
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,96,"max(c[""placebo_naive_row_level""][""sd""], 1e-12)),"
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,101,"note=""Joint max-T: one opponent-side and one own-side team relabelling per """
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,239,"""sandwich SE with the cluster count printed, and a joint family-wise max-T """
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,402,"""run_maxt_robust.py"": ""family-wise max-T over all 27 cells; actual-minutes and """
E0_I0013_possession_volume,E0_I0013_possession_volume/pv_base.py,276,"""""""The exact frame run_screen.py analyses, factored out so the max-T / robustness stage can"
E0_I0013_possession_volume,E0_I0013_possession_volume/run_maxt_robust.py,152,"P.hdr(""A. FAMILY-WISE max-T RANDOMIZATION NULL over all 27 cells (%d draws)"" % NDRAW_MAXT)"
E0_I0013_possession_volume,E0_I0013_possession_volume/run_maxt_robust.py,202,"print(""  max-T null: mean=%.2f sd=%.2f p50=%.2f p95=%.2f p99=%.2f max=%.2f"""
E0_I0013_possession_volume,E0_I0013_possession_volume/run_maxt_robust.py,204,"np.percentile(maxz, 99), maxz.max()))"
E0_I0013_possession_volume,E0_I0013_possession_volume/run_screen.py,153,"p95=float(np.percentile(a, 95)), max=float(a.max()),"
E0_I0013_possession_volume,E0_I0013_possession_volume/run_screen.py,165,"print(""  HAZARD master_player.pace       : max=%.1f  corr(pace,minutes)=%+.4f  -> CORRUPT, NOT USED"""
E0_I0013_possession_volume,E0_I0013_possession_volume/run_screen.py,167,"print(""  HAZARD master_player.possessions: max=%.1f  corr(poss,minutes)=%+.4f  -> CLEAN, USED"""
E0_I0013_possession_volume,E0_I0013_possession_volume/run_screen.py,168,"% (mp[""possessions""].max(),"
E0_I0013_possession_volume,E0_I0013_possession_volume/run_screen.py,360,"print(""  max |draw - real|         = %.3e"" % noop[""max_abs_deviation_from_real""])"
E0_I0013_possession_volume,E0_I0013_possession_volume/verify_partition.py,57,"print(""    master_player season.unique() = %s   max game_date = %s"""
E0_I0013_possession_volume,E0_I0013_possession_volume/verify_partition.py,59,"print(""    master_team   season.unique() = %s   max game_date = %s"""
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/psd_base.py,96,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s00_inspect.py,6,"print(""maxdate"", f[""gdate""].max())"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s01_reproduce.py,111,"print(""    %-9s skill=%+.6f  max|refX - D076 ref| = %.3e"" % (t, s, d))"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s01_reproduce.py,117,"print(""\n  MAX |delta skill| vs D076's published values = %.3e  ->  REPRODUCED = %s"""
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s02_decompose_hybrid.py,116,"print(""\n  identity check: H1 == pts__pred_point exactly?  max|H1 - pred| = %.3e"""
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s02_decompose_hybrid.py,117,"% float(np.max(np.abs(HYB[""A""][""H1_model_min_x_model_rate""] - f[""pts__pred_point""]))))"
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s03_mechanism_and_abstention.py,391,"print(""\n  FAMILY-WISE: observed max skill gain = %+.5f  against a correct-level max-stat null """
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s03_mechanism_and_abstention.py,393,"print(""  (the NAIVE row-level max-stat null maxes at %+.5f -- it would have passed far more)"""
E0_I0015_points_skill_decomposition,E0_I0015_points_skill_decomposition/s04_findings.py,159,"""points forecast: max|H1 - pts__pred_point| = 3.6e-15). """
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,123,"historical.append((c, ""date"", ""PAST"", int(yr.min()), int(yr.max())))"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,140,"historical.append((c, ""season"", ""PAST"", float(u.min()), float(u.max())))"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,280,"assert c[""game_date""].max() < pd.Timestamp(""2025-01-01"")"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,292,"prev = r[""max""]"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/dg_base.py,295,"print(""    season %d: %s .. %s"" % (s, r[""min""].date(), r[""max""].date()))"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s00_prereg.py,130,"""share at exactly max(pred_point) in cell"","
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s01_load.py,105,"assert w[""game_date""].max() < pd.Timestamp(""2025-01-01"")"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s04_adjudicate.py,126,"max_pred=round(float(p.max()), 4),"
E0_I0028_degeneracy_sweep,E0_I0028_degeneracy_sweep/s05_findings.py,359,"""no_ceiling"": ""no pile-up at any upper bound on any target; max predictions """
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/et_base.py,135,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/make_findings.py,58,"""~0. The family-wise p 0.0124 is a max-t statement that the RA cell survives """
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s01_reproduce.py,86,"print(""  max |O2_frozen - OC_rebuilt| = %.3e     corr = %.12f"""
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s01_reproduce.py,118,"max_abs_delta=float(max(abs(s[""corr""] - p[1]), abs(s[""diff""] - p[2]),"
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s01_reproduce.py,126,"(paint -0.1216, corner 3 -0.2558) and two are ~0.  The family-wise p 0.0124 is a max-t statement"
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s01_reproduce.py,171,"print(""  a2 D074 construction     : max|O2 - OC_rebuilt| = %.3e"" % maxdiff)"
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s01_reproduce.py,172,"print(""  a3 five-zone family      : max |delta| over 5 zones x 3 stats = %.3e"""
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s02_build.py,111,"print(""\n  identity check  sum_z w_z == 1 on rows with a defined mix: max|sum-1| = %.3e"""
E1_I0004_efficiency_transfer,E1_I0004_efficiency_transfer/s02_build.py,203,"print(""\n  %-10s %12s %12s %12s %12s"" % (""adjustment"", ""mean"", ""sd"", ""min"", ""max""))"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/etv2_base.py,158,"assert shots[""game_date""].dt.year.max() <= max(seasons), ""PARTITION VIOLATION (date)"""
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s00_inspect.py,26,"print(""  gdate range %s .. %s"" % (f[""gdate""].min().date(), f[""gdate""].max().date()))"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s01_reproduce.py,94,"print(""  max |O2_frozen - OC_rebuilt| = %.3e     corr = %.12f"""
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s01_reproduce.py,127,"max_abs_delta=float(max(abs(s[""corr""] - p[1]), abs(s[""diff""] - p[2]),"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s01_reproduce.py,135,"(paint -0.1216, corner 3 -0.2558) and two are ~0.  The family-wise p 0.0124 is a max-t statement"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s01_reproduce.py,215,"print(""  a2 D074 construction     : max|O2 - OC_rebuilt| = %.3e"" % maxdiff)"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s01_reproduce.py,216,"print(""  a3 five-zone family      : max |delta| over 5 zones x 3 stats = %.3e"""
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s02_build.py,106,"print(""  w_z rows=%d   sum_z w_z over complete player-games: min=%.6f max=%.6f mean=%.6f"""
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s02_build.py,144,"print(""\n  %-34s %8s %12s %12s %12s"" % (""signal column"", ""n_valid"", ""mean"", ""sd"", ""max|.|""))"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s02_build.py,170,"chk = (f[""ppm_cand_SPEC_RA""] * f[""minutes__pred_point""] - f[""pts_cand_SPEC_RA""]).abs().max()"
E1_I0004_efficiency_transfer_v2,E1_I0004_efficiency_transfer_v2/s02_build.py,171,"print(""  identity check  max| ppm_cand * minutes_pred - pts_cand |  = %.3e"" % chk)"
E1_I0004_fga_forecast,E1_I0004_fga_forecast/build_forecasts.py,128,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_fga_forecast,E1_I0004_fga_forecast/build_forecasts.py,260,"print(f""    max|delta| {c:<18} = {d:.3e}"")"
E1_I0004_fga_forecast,E1_I0004_fga_forecast/build_forecasts.py,341,dd = float((m[num] / m[den] - m[pct]).abs().max())
E1_I0004_fga_forecast,E1_I0004_fga_forecast/build_forecasts.py,342,"print(f""  within-row identity {pct} == {num}/{den}: max|diff| = {dd:.3e}  """
E1_I0004_fga_forecast,E1_I0004_fga_forecast/end_to_end.py,356,"print(f""  sum_z OS_z : mean={sos.mean():+.3e}  max|.|={sos.abs().max():.3e}  """
E1_I0004_fga_forecast,E1_I0004_fga_forecast/make_findings.py,153,"""sum_z_OS_z"": ""0 to machine precision (max|.| = 1.11e-16), so the candidate """
E1_I0004_fga_forecast,E1_I0004_fga_forecast/probe_sources.py,92,"print(f""      {dc} value range: {dts.min()} .. {dts.max()}"")"
E1_I0004_fga_forecast,E1_I0004_fga_forecast/probe_sources.py,100,"print(""  GAME_DATE range:"", sh[""GAME_DATE""].min(), "".."", sh[""GAME_DATE""].max())"
E1_I0004_fga_forecast,E1_I0004_fga_forecast/probe_sources.py,107,"print(f""  game_date range = {sf['game_date'].min()} .. {sf['game_date'].max()}"")"
E1_I0004_fga_forecast,E1_I0004_fga_forecast/verify_partition.py,23,"dmax = pd.to_datetime(d[""game_date""]).max()"
E1_I0004_rim_finishing,E1_I0004_rim_finishing/build_and_measure.py,71,"print(f""  GAME_DATE range = {shots['game_date'].min().date()} .. {shots['game_date'].max().date()}"")"
E1_I0004_rim_finishing,E1_I0004_rim_finishing/build_and_measure.py,73,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_rim_finishing,E1_I0004_rim_finishing/build_and_measure.py,243,"_d = (_v[""B1_split_alpha_rate""] - _v[""_check""]).abs().max()"
E1_I0004_rim_finishing,E1_I0004_rim_finishing/make_findings.py,221,"""max|diff| = 7.8e-16. Fully pregame-observable."","
E1_I0004_rim_finishing,E1_I0004_rim_finishing/verify_partition.py,8,"a subset of {2021,2022,2023,2024}; date columns print min/max."
E1_I0004_rim_finishing,E1_I0004_rim_finishing/verify_partition.py,69,"print(f""      date col {c!r}: {s.min().date()} .. {s.max().date()} """
E1_I0004_shot_selection,E1_I0004_shot_selection/addendum.py,59,"print(f""  FIVE-ZONE FAMILY-WISE p (max-z, one-sided, preselected) = {p1:.4f}"")"
E1_I0004_shot_selection,E1_I0004_shot_selection/addendum.py,60,"print(f""  FIVE-ZONE FAMILY-WISE p (max-|z|, two-sided)            = {p2:.4f}"")"
E1_I0004_shot_selection,E1_I0004_shot_selection/analyze.py,219,"print(""  correlation structure survives and max-t across the family is valid.\n"")"
E1_I0004_shot_selection,E1_I0004_shot_selection/analyze.py,276,"hdr(""3. FIVE-ZONE FAMILY-WISE CORRECTION -- max-t permutation"")"
E1_I0004_shot_selection,E1_I0004_shot_selection/analyze.py,281,family-wise p for a zone is frac{max-over-zones z(draw) >= that zone's real z}.
E1_I0004_shot_selection,E1_I0004_shot_selection/build_frames.py,95,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION (date)"""
E1_I0004_shot_selection,E1_I0004_shot_selection/robustness.py,66,"assert shots[""game_date""].dt.year.max() <= 2024, ""PARTITION VIOLATION"""
E1_I0008_height_mismatch,E1_I0008_height_mismatch/build_frame.py,40,"print(f""  [partition] {name}: game_date range = {gd.min()} .. {gd.max()}"")"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/build_frame.py,41,"if gd.max() is not pd.NaT and gd.max() >= pd.Timestamp(""2025-01-01""):"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/build_frame.py,42,"sys.exit(f""PARTITION VIOLATION (date) in {name}: max game_date {gd.max()}"")"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/stage1_noise_floor.py,103,"max_abs = float((chk[""prof""] - chk[""opp_roster_mean_height""]).abs().max())"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/stage1_noise_floor.py,104,"print(f""aggregate recomputation check: max|recomputed - stored| = {max_abs:.3e}  (must be ~0)"")"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/stage1_noise_floor.py,109,"f""max={prof_true['prof'].max():.3f} sd={prof_true['prof'].std(ddof=0):.3f} inches"")"
E1_I0008_height_mismatch,E1_I0008_height_mismatch/stage1_noise_floor.py,186,"print(f""      max|draw - unpermuted reference| = {np.abs(noop_dr2 - noop_ref).max():.3e}"")"
E1_I0009_additive_pressure,E1_I0009_additive_pressure/analyze.py,201,"per_season_dr2_min=float(d.min()), per_season_dr2_max=float(d.max()),"
E1_I0009_additive_pressure,E1_I0009_additive_pressure/analyze.py,402,"print(f""  lookup matrix reproduces the real pregame pressure exactly: max abs err = {max_err:.3e}"")"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/step1_audit.py,60,"print(f""  weights [{label}] var={s['variable']} n={s['n']} min={s['min']:.4f} max={s['max']:.4f} """
E1_I0009_r2_rerun,E1_I0009_r2_rerun/step23_reproduce_and_rerun.py,109,"print(f""\n  MAX |reproduction delta| over E0 published figures = {max_delta0:.3e}"")"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/step23_reproduce_and_rerun.py,277,"print(f""\n  MAX |reproduction delta| over E1 published figures = {max(deltas):.3e}"")"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/step4_verdict_and_nulls.py,116,"print(f""lookup matrix reproduces real pregame pressure: max abs err = {max_err:.3e}"")"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/step4_verdict_and_nulls.py,189,"p95=float(np.percentile(vals, 95)), max=float(vals.max()),"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/step5_baseline_audit_and_gate.py,196,"p95=float(np.percentile(vals, 95)), max=float(vals.max()),"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,84,spread = P_LOO.max() - P_LOO.min()
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,85,"print(f""  practical size: opponent LOO pressure spans {P_LOO.min():.2f}-{P_LOO.max():.2f} per 100 """
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,105,spread2 = P_PRE.max() - P_PRE.min()
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,106,"print(f""  practical size: pregame pressure spans {P_PRE.min():.2f}-{P_PRE.max():.2f} """
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,156,"f""median={q[0]:.6f} p90={q[1]:.6f} p95={q[2]:.6f} p99={q[3]:.6f} max={q[4]:.6f}"")"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,163,"""max"": float(q[4]), ""real_dR2"": d2, ""frac_placebo_ge_real"": p_emp}"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E0_analyze_original.py,192,"f""p95={np.percentile(null_loo,95):.6f} max={null_loo.max():.6f} | real rung1={d:.6f} | """
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E1_analyze_original.py,201,"per_season_dr2_min=float(d.min()), per_season_dr2_max=float(d.max()),"
E1_I0009_r2_rerun,E1_I0009_r2_rerun/src/E1_analyze_original.py,402,"print(f""  lookup matrix reproduces the real pregame pressure exactly: max abs err = {max_err:.3e}"")"
E1_I0011_split_alpha,E1_I0011_split_alpha/folds.py,179,"print(""EFFECT SIZE ACROSS FOLDS -- mean, sd, min, max, and how many folds are positive"")"
E1_I0011_split_alpha,E1_I0011_split_alpha/verify_partition.py,12,date column has its min/max printed.
E1_I0011_split_alpha,E1_I0011_split_alpha/verify_partition.py,68,"print(f""      date col {c!r}: {s.min().date()} .. {s.max().date()} """
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/make_findings.py,181,"""with sd 0.000000000000 (max |draw - real| = %.3e, floating-point noise). This """
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/step2_reproduce.py,110,"print(""  distinct exp_gposs values per game_id: max=%d  frac(games with 1 value)=%.4f"""
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/step2_reproduce.py,190,"print(""  max |draw - real| = %.3e"" % noop[""max_abs_deviation_from_real""])"
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/step3d_step4.py,271,"last_date=str(pd.to_datetime(tgs[""gdate""]).max().date()),"
E1_I0013_tempo_redundancy,E1_I0013_tempo_redundancy/verify_partition.py,57,"pd.to_numeric(df[c], errors=""coerce"").max()))"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,18,explicit max-date assertion.  2025/2026 rows are dropped at the FILTER-POINT in every loader
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,141,"""the partition; K4)"" % (c, min(vs), max(vs)))"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,182,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,203,"assert mp[""gdate""].max() < pd.Timestamp(""2025-01-01""), ""date bound violated"""
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/ct_base.py,346,"assert len(pool) and int(pool[""season""].max()) < int(season), \"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s00_inspect.py,54,"print(""seasons=%s  gdate range=%s..%s"" % (sorted(af[""season""].unique()), af[""gdate""].min(), af[""gdate""].max()))"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s01_reproduce.py,38,explicit max-date assertion) rather than on a manifest.  player_bios.csv is verified structurally
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s01_reproduce.py,45,"assert d[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s01_reproduce.py,75,"print(""     %-18s max |delta| = %.3e"" % (c, deltas[c]))"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s01_reproduce.py,132,"print(""     %-28s max |delta| = %.3e"" % (c, dB[c]))"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s02_taxonomy.py,92,"print(""     independent rebuild %-24s vs frozen %-24s max|delta|=%.3e  mismatched rows=%d"""
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s02_taxonomy.py,122,"assert w[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s03_placeholders.py,94,"print(""  max |own_season_pts - D076 ref_pts| where the player mean is defined: %.4f"" % delta)"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s03_placeholders.py,136,"assert len(pool) and int(pool[""season""].max()) < S"
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s05_operating_rule.py,100,"print(""  %-8s champion: mean=%7.3f sd=%6.3f  min=%7.3f max=%7.3f"""
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s05_operating_rule.py,102,"print(""  %-8s RULE    : mean=%7.3f sd=%6.3f  min=%7.3f max=%7.3f"""
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s05_operating_rule.py,127,"print(""  %-8s real tier dR2=%+.5f | random-tier dR2 mean=%+.5f sd=%.5f max=%+.5f"""
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s06_findings.py,53,"""write, plus an explicit max-date assertion, plus the K4 adjudication described """
E1_I0020_coldstart_tiering,E1_I0020_coldstart_tiering/s06_findings.py,350,"""(sd 0.0010, max 0.0065) on points against the real tier's +0.0348.  """
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/hd_base.py,84,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/hd_base.py,109,"assert pd.to_datetime(f[""game_date""]).max() < pd.Timestamp(""2025-01-01"")"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/hd_base.py,113,"pd.to_datetime(f[""game_date""]).max().date()))"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s00_prereg.py,117,"""the within-player null at p < 0.05 AND survives the max-statistic family-wise """
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s01_floor_curve.py,94,"P(""  D081 decomp_frame loaded: %d rows, seasons %s, max date %s"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s01_floor_curve.py,102,"P(""    min=%.2f  p05=%.2f  p25=%.2f  median=%.2f  p75=%.2f  max=%.2f  mean=%.2f"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,80,"assert m[""game_date""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,140,"P(""  partition: assert_partition PASS on VALUES; max game_date %s"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,323,"hb.hdr(""FAMILY-WISE MAX-STATISTIC NULL ACROSS THE 6 PREREGISTERED RELATIONSHIPS"")"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,361,"P(""  floor %2d  max z=%+.3f (%s)  family-wise p=%.4f  null p95=%+.3f  -> %s   [%s]"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,364,"P(""           CYCLIC-SHIFT null (preserves x's serial structure): max z=%+.3f  """
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s02_pooling.py,447,"P(""  players matched=%d  max|beta_loop-beta_fast|=%.3e  max|se diff|=%.3e"""
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s03d_decisive_structure.py,18,"* family-wise: max |rank correlation| across the 6 preregistered relationships, against the"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s03d_decisive_structure.py,19,"max drawn from the same null, so the 6-way multiplicity is paid for."
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s03d_decisive_structure.py,117,"P(""  max |spearman| observed = %.3f (%s)"" % (obs_max, which))"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s03d_decisive_structure.py,118,"P(""  family-wise null p95 of max|spearman| = %.3f"" % float(np.percentile(maxnull, 95)))"
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s04_single_player.py,2,s04 -- STEP 4: THE SINGLE-PLAYER CEILING.  What is achievable with maximum data on one player?
E1_I0021_heterogeneity_diagnostic,E1_I0021_heterogeneity_diagnostic/s05_findings.py,300,"""warm-up. If a dedicated model on maximum data for one player """
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/ose_base.py,96,"prev_max = row[""max""]"
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/ose_base.py,100,"print(""    %d  %s .. %s"" % (s, row[""min""].date(), row[""max""].date()))"
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/ose_base.py,112,"assert f[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
