column,label,origin,basis,hazard,dtype,nulls,nunique,named_in_availability_table,in_acceptance_criteria_named_six
defense_team_id,ELIGIBLE,source pbp,team identity; the complement of offense_team_id within the game,SEVERE: same multiplicity hazard -- the row count is the OPPONENT's target,int64,0,15,False,False
points_scored,LAGGED_USE_ONLY,source pbp,realised scoring on the possession,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,8,False,False
end_reason,LAGGED_USE_ONLY,source pbp,realised possession terminator,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",str,0,9,True,False
is_home_offense,ELIGIBLE,source pbp,"home/away mapping, schedule-determined and known pregame; measured constant within (game_id, offense_team_id)","same multiplicity hazard; take it by identity join, never by row aggregate",int64,0,2,False,False
home_pts_before,LAGGED_USE_ONLY,source pbp,realised running score of the target game,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,125,False,False
away_pts_before,LAGGED_USE_ONLY,source pbp,realised running score of the target game,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,121,False,False
off_p1,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court offensive lineup of the target game. The packet's own availability table records 'realised lineups are target-game outcomes'. Measured: the five slots are the ASCENDING ORDER STATISTICS of the player-id set, so the slot index carries no positional meaning","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,201,False,False
off_p2,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court offensive lineup of the target game. The packet's own availability table records 'realised lineups are target-game outcomes'. Measured: the five slots are the ASCENDING ORDER STATISTICS of the player-id set, so the slot index carries no positional meaning","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,243,False,False
off_p3,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court offensive lineup of the target game. The packet's own availability table records 'realised lineups are target-game outcomes'. Measured: the five slots are the ASCENDING ORDER STATISTICS of the player-id set, so the slot index carries no positional meaning","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,279,False,False
off_p4,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court offensive lineup of the target game. The packet's own availability table records 'realised lineups are target-game outcomes'. Measured: the five slots are the ASCENDING ORDER STATISTICS of the player-id set, so the slot index carries no positional meaning","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,295,False,False
off_p5,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court offensive lineup of the target game. The packet's own availability table records 'realised lineups are target-game outcomes'. Measured: the five slots are the ASCENDING ORDER STATISTICS of the player-id set, so the slot index carries no positional meaning","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,281,300,False,False
def_p1,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court defensive lineup of the target game; slots are ascending order statistics, see off_p*","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,201,False,False
def_p2,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court defensive lineup of the target game; slots are ascending order statistics, see off_p*","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,244,False,False
def_p3,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court defensive lineup of the target game; slots are ascending order statistics, see off_p*","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,280,False,False
def_p4,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court defensive lineup of the target game; slots are ascending order statistics, see off_p*","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,64,296,False,False
def_p5,LAGGED_USE_ONLY,derive_lineups -> source pbp,"REALISED on-court defensive lineup of the target game; slots are ascending order statistics, see off_p*","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",Int64,286,300,False,False
n_off_oncourt,LAGGED_USE_ONLY,source pbp / derive_lineups,realised on-court count,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,3,False,False
n_def_oncourt,LAGGED_USE_ONLY,source pbp / derive_lineups,realised on-court count,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,3,False,False
game_date,ELIGIBLE,"enrich(): left-joined from master_team[game_id, game_date]",schedule fact; constant within game; it is the cutoff boundary itself,"joined from master_team, a retrospective bulk scrape (packet C9); the DATE is still a schedule fact, but the join carries master_team's revision risk",datetime64[us],0,575,True,False
is_overtime,LAGGED_USE_ONLY,enrich(): period > 4,REALISED target-game overtime. Exact: any(is_overtime) per game equals game_minutes > 40 on 1495/1495 games (measured),"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",bool,0,2,False,True
period_clock_start_sec,LAGGED_USE_ONLY,enrich(): period length minus elapsed-in-period,realised clock; the maximum over the game's LAST period is 600 in regulation and 300 in overtime -- an exact OT indicator (measured),"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,1601,False,False
period_clock_end_sec,LAGGED_USE_ONLY,enrich(),realised clock,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,1601,False,False
regulation_seconds_remaining,LAGGED_USE_ONLY,"enrich(): clip(2400 - start_sec, 0, None)","REALISED target-game clock. Its zero-floor is an APPROXIMATE overtime surrogate: sensitivity 100%, with a measured false-positive count reported below","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,4461,False,True
score_diff_offense_start,LAGGED_USE_ONLY,enrich(): off_before - def_before,REALISED running margin of the target game,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,112,False,True
score_diff_offense_end,LAGGED_USE_ONLY,enrich(): start margin + points_scored,REALISED margin INCLUDING the possession's own outcome; the final-possession value is the realised final margin (measured),"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,112,False,True
abs_score_diff_start,LAGGED_USE_ONLY,enrich(): |score_diff_offense_start|,"REALISED running margin, absolute","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,58,False,True
non_competitive_conservative,LAGGED_USE_ONLY,"enrich(): GARBAGE_RULE over abs margin, regulation seconds remaining and is_overtime","REALISED. Exactly reproducible from three realised columns (measured); pre-possession within the game, but the game must be under way for it to exist at all","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",bool,0,2,False,True
all_possessions,PROHIBITED,enrich(): literal True,"constant on every row. feature_gate raises BLOCKING zero_variance. It carries no information in any construction, target-game or lagged.",a filter flag mistaken for a feature,bool,0,1,False,False
is_zero_duration,LAGGED_USE_ONLY,enrich(): duration_sec <= 0,realised,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",bool,0,2,False,False
is_technical_derived,LAGGED_USE_ONLY,enrich(): 'tech' in end_reason,realised,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",bool,0,2,False,False
possession_kind,LAGGED_USE_ONLY,enrich(): from the two flags above,realised,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",str,0,3,False,False
source_pbp_game_id,PROHIBITED,enrich(): d['game_id'] copied,measured byte-equal to game_id on every row. feature_gate raises BLOCKING exact_duplicate. Provenance alias with no independent content.,two names for one column inflate an apparent feature count,str,0,1495,False,False
lineup_class,LAGGED_USE_ONLY,classify_lineups(),realised lineup reconstruction quality,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",str,0,4,False,False
lineup_valid_ten,LAGGED_USE_ONLY,classify_lineups(): lineup_class == 'valid_ten_player',realised lineup reconstruction quality,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",bool,0,2,False,False
n_oncourt_total,LAGGED_USE_ONLY,classify_lineups(): n_off + n_def,realised,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,3,False,False
source_possession_idx,LAGGED_USE_ONLY,add_canonical_order(): copy of possession_idx,realised source order,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,234,False,False
canonical_seq,LAGGED_USE_ONLY,add_canonical_order(): cumcount over the canonical key,realised canonical order; per-game max + 1 is the realised possession count of the target game,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,234,False,False
source_order_differs,LAGGED_USE_ONLY,add_canonical_order(): canonical_seq != source_possession_idx,realised ordering-correction flag,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",bool,0,2,False,False
