date,team,player_acquired,player_relinquished,notes,category,source_page
2021-02-02,LVA,Chelsea Gray,,The Las Vegas Aces signed Chelsea Gray to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-02,NYL,Betnijah Laney,,The New York Liberty signed Betnijah Laney to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-02,NYL,Joyner Holmes,,The New York Liberty signed Joyner Holmes to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-02,WAS,LaToya Sanders,,The Washington Mystics signed LaToya Sanders.,signing,bbref_transactions_2021.html
2021-02-03,IND,Danielle Robinson,,The Indiana Fever signed Danielle Robinson to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-04,ATL,Tianna Hawkins,,The Atlanta Dream signed Tianna Hawkins to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-04,CON,Jasmine Thomas,,The Connecticut Sun signed Jasmine Thomas to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-05,CON,Brionna Jones,,The Connecticut Sun signed Brionna Jones to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-05,MIN,Erica McCall,,The Minnesota Lynx signed Erica McCall to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-05,PHO,Kia Vaughn,,The Phoenix Mercury signed Kia Vaughn to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-05,WAS,Tina Charles,,The Washington Mystics signed Tina Charles.,signing,bbref_transactions_2021.html
2021-02-05,MIN,,Erica McCall,The Minnesota Lynx traded Erica McCall to the Washington Mystics for a 2022 3rd round pick ( Hannah Sjerven later selected).,trade,bbref_transactions_2021.html
2021-02-05,WAS,Erica McCall,,The Minnesota Lynx traded Erica McCall to the Washington Mystics for a 2022 3rd round pick ( Hannah Sjerven later selected).,trade,bbref_transactions_2021.html
2021-02-06,CON,Sydney Wallace,,The Connecticut Sun signed Sydney Wallace to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-07,DAL,Kayla Thornton,,The Dallas Wings signed Kayla Thornton to a contract extension.,signing,bbref_transactions_2021.html
2021-02-08,,,Crystal Langhorne,Crystal Langhorne announced retirement.,retirement,bbref_transactions_2021.html
2021-02-08,CHI,Brittany Boyd,,The Chicago Sky signed Brittany Boyd to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-08,IND,Chanelle Molina,,The Indiana Fever signed Chanelle Molina to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-08,LAS,Brittney Sykes,,The Los Angeles Sparks signed Brittney Sykes to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-08,SEA,Candice Dupree,,The Seattle Storm signed Candice Dupree.,signing,bbref_transactions_2021.html
2021-02-09,,,Renee Montgomery,Renee Montgomery announced retirement.,retirement,bbref_transactions_2021.html
2021-02-09,CHI,,,The Chicago Sky traded a 2022 2nd round pick ( Olivia Nelson-Ododa later selected) to the Dallas Wings for a 2021 2nd round pick ( Natasha Mack later selected).,trade,bbref_transactions_2021.html
2021-02-10,SEA,Natasha Howard,,The Seattle Storm signed Natasha Howard to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-10,SEA,Sami Whitcomb,,The Seattle Storm signed Sami Whitcomb to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-10,DAL,,Katie Lou Samuelson,The Dallas Wings traded Katie Lou Samuelson and a 2022 2nd round pick ( Lorela Cubaj later selected) to the Seattle Storm for a 2021 1st round pick ( Charli Collier later selected).,trade,bbref_transactions_2021.html
2021-02-10,MIN,,Mikiah Herbert Harrigan,The Minnesota Lynx traded Mikiah Herbert Harrigan to the Seattle Storm for a 2022 1st round pick ( Mya Hollingshed later selected).,trade,bbref_transactions_2021.html
2021-02-10,NYL,Natasha Howard,,"The Seattle Storm traded Natasha Howard to the New York Liberty for a 2021 1st round pick ( Charli Collier later selected), a 2022 1st round pick ( Mya Hollingshed later selected), and a 2022 2nd round pick ( Elissa Cunane later selected).",trade,bbref_transactions_2021.html
2021-02-10,NYL,Sami Whitcomb,,The New York Liberty traded Stephanie Talbot to the Seattle Storm for Sami Whitcomb.,trade,bbref_transactions_2021.html
2021-02-10,NYL,,Kia Nurse,The New York Liberty traded Kia Nurse and Megan Walker to the Phoenix Mercury for a 2021 1st round pick ( Michaela Onyenwere later selected) and a 2022 1st round pick ( Mya Hollingshed later selected).,trade,bbref_transactions_2021.html
2021-02-10,NYL,,Megan Walker,The New York Liberty traded Kia Nurse and Megan Walker to the Phoenix Mercury for a 2021 1st round pick ( Michaela Onyenwere later selected) and a 2022 1st round pick ( Mya Hollingshed later selected).,trade,bbref_transactions_2021.html
2021-02-10,NYL,,Stephanie Talbot,The New York Liberty traded Stephanie Talbot to the Seattle Storm for Sami Whitcomb.,trade,bbref_transactions_2021.html
2021-02-10,PHO,Kia Nurse,,The New York Liberty traded Kia Nurse and Megan Walker to the Phoenix Mercury for a 2021 1st round pick ( Michaela Onyenwere later selected) and a 2022 1st round pick ( Mya Hollingshed later selected).,trade,bbref_transactions_2021.html
2021-02-10,PHO,Megan Walker,,The New York Liberty traded Kia Nurse and Megan Walker to the Phoenix Mercury for a 2021 1st round pick ( Michaela Onyenwere later selected) and a 2022 1st round pick ( Mya Hollingshed later selected).,trade,bbref_transactions_2021.html
2021-02-10,SEA,Katie Lou Samuelson,,The Dallas Wings traded Katie Lou Samuelson and a 2022 2nd round pick ( Lorela Cubaj later selected) to the Seattle Storm for a 2021 1st round pick ( Charli Collier later selected).,trade,bbref_transactions_2021.html
2021-02-10,SEA,Mikiah Herbert Harrigan,,The Minnesota Lynx traded Mikiah Herbert Harrigan to the Seattle Storm for a 2022 1st round pick ( Mya Hollingshed later selected).,trade,bbref_transactions_2021.html
2021-02-10,SEA,Stephanie Talbot,,The New York Liberty traded Stephanie Talbot to the Seattle Storm for Sami Whitcomb.,trade,bbref_transactions_2021.html
2021-02-10,SEA,,Natasha Howard,"The Seattle Storm traded Natasha Howard to the New York Liberty for a 2021 1st round pick ( Charli Collier later selected), a 2022 1st round pick ( Mya Hollingshed later selected), and a 2022 2nd round pick ( Elissa Cunane later selected).",trade,bbref_transactions_2021.html
2021-02-10,SEA,,Sami Whitcomb,The New York Liberty traded Stephanie Talbot to the Seattle Storm for Sami Whitcomb.,trade,bbref_transactions_2021.html
2021-02-10,PHO,,Nia Coffey,The Phoenix Mercury waived Nia Coffey.,waiver,bbref_transactions_2021.html
2021-02-11,LAS,Amanda Zahui B,,The Los Angeles Sparks signed Amanda Zahui B. to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-11,LVA,Riquna Williams,,The Las Vegas Aces signed Riquna Williams.,signing,bbref_transactions_2021.html
2021-02-11,SEA,Stephanie Talbot,,The Seattle Storm signed Stephanie Talbot to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-11,SEA,Tamera Young,,The Seattle Storm signed Tamera Young to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-13,MIN,Linnae Harper,,The Minnesota Lynx signed Linnae Harper to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-13,ATL,Yvonne Turner,,The Phoenix Mercury traded Yvonne Turner to the Atlanta Dream for a 2022 3rd round pick ( Maya Dodson later selected).,trade,bbref_transactions_2021.html
2021-02-13,PHO,,Yvonne Turner,The Phoenix Mercury traded Yvonne Turner to the Atlanta Dream for a 2022 3rd round pick ( Maya Dodson later selected).,trade,bbref_transactions_2021.html
2021-02-15,ATL,Yvonne Turner,,The Atlanta Dream signed Yvonne Turner to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-15,CON,Morgan Bertsch,,The Connecticut Sun signed Morgan Bertsch to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-15,MIN,Aerial Powers,,The Minnesota Lynx signed Aerial Powers to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-15,IND,Lindsay Allen,,The Las Vegas Aces traded Lindsay Allen and a 2021 2nd round pick ( Trinity Baptiste later selected) to the Indiana Fever for a 2021 2nd round pick ( Destiny Slocum later selected).,trade,bbref_transactions_2021.html
2021-02-15,IND,Odyssey Sims,,"The Minnesota Lynx traded Odyssey Sims, Temi Fagbenle, a 2022 1st round pick ( Queen Egbo later selected), and a 2022 3rd round pick ( Ali Patberg later selected) to the Indiana Fever for a 2022 2nd round pick ( Khayla Pointer later selected).",trade,bbref_transactions_2021.html
2021-02-15,IND,Temi Fagbenle,,"The Minnesota Lynx traded Odyssey Sims, Temi Fagbenle, a 2022 1st round pick ( Queen Egbo later selected), and a 2022 3rd round pick ( Ali Patberg later selected) to the Indiana Fever for a 2022 2nd round pick ( Khayla Pointer later selected).",trade,bbref_transactions_2021.html
2021-02-15,LVA,,Lindsay Allen,The Las Vegas Aces traded Lindsay Allen and a 2021 2nd round pick ( Trinity Baptiste later selected) to the Indiana Fever for a 2021 2nd round pick ( Destiny Slocum later selected).,trade,bbref_transactions_2021.html
2021-02-15,MIN,,Odyssey Sims,"The Minnesota Lynx traded Odyssey Sims, Temi Fagbenle, a 2022 1st round pick ( Queen Egbo later selected), and a 2022 3rd round pick ( Ali Patberg later selected) to the Indiana Fever for a 2022 2nd round pick ( Khayla Pointer later selected).",trade,bbref_transactions_2021.html
2021-02-15,MIN,,Temi Fagbenle,"The Minnesota Lynx traded Odyssey Sims, Temi Fagbenle, a 2022 1st round pick ( Queen Egbo later selected), and a 2022 3rd round pick ( Ali Patberg later selected) to the Indiana Fever for a 2022 2nd round pick ( Khayla Pointer later selected).",trade,bbref_transactions_2021.html
2021-02-15,IND,,Odyssey Sims,The Indiana Fever waived Odyssey Sims.,waiver,bbref_transactions_2021.html
2021-02-16,IND,Jessica Breland,,The Indiana Fever signed Jessica Breland.,signing,bbref_transactions_2021.html
2021-02-19,CHI,Azurá Stevens,,The Chicago Sky signed Azurá Stevens to a contract extension.,signing,bbref_transactions_2021.html
2021-02-19,LAS,Bria Holmes,,The Los Angeles Sparks signed Bria Holmes to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-21,ATL,Kaela Davis,,The Atlanta Dream signed Kaela Davis to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-21,ATL,,Brittany Brewer,The Atlanta Dream waived Brittany Brewer.,waiver,bbref_transactions_2021.html
2021-02-21,ATL,,Mikayla Pivec,The Atlanta Dream waived Mikayla Pivec.,waiver,bbref_transactions_2021.html
2021-02-22,ATL,Shatori Walker-Kimbrough,,The Atlanta Dream signed Shatori Walker-Kimbrough.,signing,bbref_transactions_2021.html
2021-02-22,LAS,Seimone Augustus,,The Los Angeles Sparks signed Seimone Augustus to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-23,SEA,Haley Gorecki,,The Seattle Storm signed Haley Gorecki to a training camp contract.,signing,bbref_transactions_2021.html
2021-02-24,ATL,,Maite Cazorla,The Atlanta Dream suspended the contract of Maite Cazorla.,contract_suspension,bbref_transactions_2021.html
2021-02-25,LAS,Chiney Ogwumike,,The Los Angeles Sparks signed Chiney Ogwumike to a multi-year contract.,signing,bbref_transactions_2021.html
2021-02-25,DAL,,Astou Ndour,The Dallas Wings waived Astou Ndour.,waiver,bbref_transactions_2021.html
2021-02-26,WAS,Ariel Atkins,,The Washington Mystics signed Ariel Atkins to a contract extension.,signing,bbref_transactions_2021.html
2021-03-01,ATL,Odyssey Sims,,The Atlanta Dream signed Odyssey Sims.,signing,bbref_transactions_2021.html
2021-03-01,SEA,Sue Bird,,The Seattle Storm signed Sue Bird.,signing,bbref_transactions_2021.html
2021-03-02,LAS,Nneka Ogwumike,,The Los Angeles Sparks signed Nneka Ogwumike to a multi-year contract.,signing,bbref_transactions_2021.html
2021-03-04,LAS,Nia Coffey,,The Los Angeles Sparks signed Nia Coffey to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-06,IND,Bernadett Hatar,,The Indiana Fever signed Bernadett Hatar to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-07,CHI,,Stephanie Mavunga,The Chicago Sky waived Stephanie Mavunga.,waiver,bbref_transactions_2021.html
2021-03-08,,,LaToya Sanders,LaToya Sanders announced retirement.,retirement,bbref_transactions_2021.html
2021-03-08,CHI,Astou Ndour,,The Chicago Sky signed Astou Ndour to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-08,WAS,Theresa Plaisance,,The Washington Mystics signed Theresa Plaisance to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-10,WAS,Natasha Cloud,,The Washington Mystics signed Natasha Cloud to a multi-year contract.,signing,bbref_transactions_2021.html
2021-03-12,DAL,Luisa Geiselsoder,,The Dallas Wings signed Luisa Geiselsoder to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-12,LVA,Liz Cambage,,The Las Vegas Aces signed Liz Cambage.,signing,bbref_transactions_2021.html
2021-03-15,,,Morgan Tuck,Morgan Tuck announced retirement.,retirement,bbref_transactions_2021.html
2021-03-16,WAS,Aislinn Konig,,The Washington Mystics signed Aislinn Konig to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-16,LAS,,Marie Gulich,The Los Angeles Sparks waived Marie Gulich.,waiver,bbref_transactions_2021.html
2021-03-17,IND,Kelsey Mitchell,,The Indiana Fever signed Kelsey Mitchell to a contract extension.,signing,bbref_transactions_2021.html
2021-03-18,,,Jacki Gemelos,Jacki Gemelos announced retirement.,retirement,bbref_transactions_2021.html
2021-03-22,PHO,Sara Blicavs,,The Phoenix Mercury signed Sara Blicavs to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-25,PHO,Marta Xargay,,The Phoenix Mercury signed Marta Xargay to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-28,CON,Stephanie Jones,,The Connecticut Sun signed Stephanie Jones to a training camp contract.,signing,bbref_transactions_2021.html
2021-03-31,DAL,,Luisa Geiselsoder,The Dallas Wings suspended the contract of Luisa Geiselsoder.,contract_suspension,bbref_transactions_2021.html
2021-03-31,WAS,Shavonte Zellous,,The Washington Mystics signed Shavonte Zellous to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-02,MIN,Mikayla Pivec,,The Minnesota Lynx signed Mikayla Pivec to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-02,WAS,Jillian Alleyne,,The Washington Mystics signed Jillian Alleyne to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-09,CON,Tanaya Atkinson,,The Connecticut Sun signed Tanaya Atkinson to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-13,CHI,Alexis Prince,,The Chicago Sky signed Alexis Prince to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-13,CHI,Jessica January,,The Chicago Sky signed Jessica January to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-14,NYL,Asia Taylor,,The New York Liberty signed Asia Taylor to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-14,DAL,,,The Dallas Wings traded a 2021 1st round pick ( Jasmine Walker later selected) and a 2022 2nd round pick ( Olivia Nelson-Ododa later selected) to the Los Angeles Sparks for a 2022 1st round pick ( Emily Engstler later selected).,trade,bbref_transactions_2021.html
2021-04-15,NYL,,Han Xu,The New York Liberty suspended the contract of Han Xu.,contract_suspension,bbref_transactions_2021.html
2021-04-15,ATL,Aari McDonald,,The Atlanta Dream drafted Aari McDonald in the 1st round (3rd pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,ATL,Lindsey Pulliam,,The Atlanta Dream drafted Lindsey Pulliam in the 3rd round (27th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,ATL,Raquel Carrera Quintana,,The Atlanta Dream drafted Raquel Carrera Quintana in the 2nd round (15th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,CHI,Natasha Mack,,The Chicago Sky drafted Natasha Mack in the 2nd round (16th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,CHI,Shyla Heal,,The Chicago Sky drafted Shyla Heal in the 1st round (8th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,CON,Aleah Goodman,,The Connecticut Sun drafted Aleah Goodman in the 3rd round (30th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,CON,DiJonai Carrington,,The Connecticut Sun drafted DiJonai Carrington in the 2nd round (20th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,CON,Micaela Kelly,,The Connecticut Sun drafted Micaela Kelly in the 2nd round (21st pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,DAL,Awak Kuier,,The Dallas Wings drafted Awak Kuier in the 1st round (2nd pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,DAL,Charli Collier,,The Dallas Wings drafted Charli Collier in the 1st round (1st pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,DAL,Chelsea Dungee,,The Dallas Wings drafted Chelsea Dungee in the 1st round (5th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,DAL,Dana Evans,,The Dallas Wings drafted Dana Evans in the 2nd round (13th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,IND,Chelsey Perry,,The Indiana Fever drafted Chelsey Perry in the 3rd round (26th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,IND,Florencia Chagas,,The Indiana Fever drafted Florencia Chagas in the 3rd round (31st pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,IND,Kysre Gondrezick,,The Indiana Fever drafted Kysre Gondrezick in the 1st round (4th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,IND,Maya Caldwell,,The Indiana Fever drafted Maya Caldwell in the 3rd round (33rd pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,IND,Trinity Baptiste,,The Indiana Fever drafted Trinity Baptiste in the 2nd round (24th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,IND,Unique Thompson,,The Indiana Fever drafted Unique Thompson in the 2nd round (19th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LAS,Aina Ayuso,,The Los Angeles Sparks drafted Aina Ayuso in the 3rd round (34th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LAS,Arella Guirantes,,The Los Angeles Sparks drafted Arella Guirantes in the 2nd round (22nd pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LAS,Ivana Raca,,The Los Angeles Sparks drafted Ivana Raca in the 3rd round (28th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LAS,Jasmine Walker,,The Los Angeles Sparks drafted Jasmine Walker in the 1st round (7th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LAS,Stephanie Watts,,The Los Angeles Sparks drafted Stephanie Watts in the 1st round (10th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LVA,Destiny Slocum,,The Las Vegas Aces drafted Destiny Slocum in the 2nd round (14th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LVA,Iliana Rupert,,The Las Vegas Aces drafted Iliana Rupert in the 1st round (12th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,LVA,Kionna Jeter,,The Las Vegas Aces drafted Kionna Jeter in the 3rd round (36th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,MIN,Rennia Davis,,The Minnesota Lynx drafted Rennia Davis in the 1st round (9th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,NYL,DiDi Richards,,The New York Liberty drafted DiDi Richards in the 2nd round (17th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,NYL,Marine Fauthoux,,The New York Liberty drafted Marine Fauthoux in the 3rd round (29th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,NYL,Michaela Onyenwere,,The New York Liberty drafted Michaela Onyenwere in the 1st round (6th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,NYL,Valerie Higgins,,The New York Liberty drafted Valerie Higgins in the 3rd round (25th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,PHO,Ciera Johnson,,The Phoenix Mercury drafted Ciera Johnson in the 3rd round (32nd pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,SEA,Aaliyah Wilson,,The Seattle Storm drafted Aaliyah Wilson in the 1st round (11th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,SEA,Kiana Williams,,The Seattle Storm drafted Kiana Williams in the 2nd round (18th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,SEA,N'dea Jones,,The Seattle Storm drafted N'dea Jones in the 2nd round (23rd pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,SEA,Natalie Kucowski,,The Seattle Storm drafted Natalie Kucowski in the 3rd round (35th pick) of the 2021 WNBA Draft.,draft,bbref_transactions_2021.html
2021-04-15,MIN,Asheika Alexander,,The Minnesota Lynx signed Asheika Alexander to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-15,IND,Aaliyah Wilson,,The Indiana Fever traded Kennedy Burke to the Seattle Storm for Aaliyah Wilson.,trade,bbref_transactions_2021.html
2021-04-15,IND,,Kennedy Burke,The Indiana Fever traded Kennedy Burke to the Seattle Storm for Aaliyah Wilson.,trade,bbref_transactions_2021.html
2021-04-15,SEA,Kennedy Burke,,The Indiana Fever traded Kennedy Burke to the Seattle Storm for Aaliyah Wilson.,trade,bbref_transactions_2021.html
2021-04-15,SEA,,Aaliyah Wilson,The Indiana Fever traded Kennedy Burke to the Seattle Storm for Aaliyah Wilson.,trade,bbref_transactions_2021.html
2021-04-16,CON,Teana Muldrow,,The Connecticut Sun signed Teana Muldrow to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,DAL,Chelsea Dungee,,The Dallas Wings signed Chelsea Dungee to a multi-year contract.,signing,bbref_transactions_2021.html
2021-04-16,DAL,Dana Evans,,The Dallas Wings signed Dana Evans to a multi-year contract.,signing,bbref_transactions_2021.html
2021-04-16,MIN,Alex Wittinger,,The Minnesota Lynx signed Alex Wittinger to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,MIN,Japreece Dean,,The Minnesota Lynx signed Japreece Dean to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,MIN,Mikayla Vaughn,,The Minnesota Lynx signed Mikayla Vaughn to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,MIN,Selena Lott,,The Minnesota Lynx signed Selena Lott to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,PHO,Akela Maize,,The Phoenix Mercury signed Akela Maize to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,PHO,Avery Warley-Talbert,,The Phoenix Mercury signed Avery Warley-Talbert to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,PHO,Cierra Burdick,,The Phoenix Mercury signed Cierra Burdick to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,PHO,Tiana Mangakahia,,The Phoenix Mercury signed Tiana Mangakahia to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-16,WAS,G'mrice Davis,,The Washington Mystics signed G'mrice Davis to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-17,ATL,Crystal Bradford,,The Atlanta Dream signed Crystal Bradford to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-17,ATL,Lindsey Pulliam,,The Atlanta Dream signed Lindsey Pulliam to a multi-year contract.,signing,bbref_transactions_2021.html
2021-04-17,ATL,Mikayla Cowling,,The Atlanta Dream signed Mikayla Cowling to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-17,CHI,Kobi Thornton,,The Chicago Sky signed Kobi Thornton to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-17,CHI,Natasha Mack,,The Chicago Sky signed Natasha Mack to a multi-year contract.,signing,bbref_transactions_2021.html
2021-04-17,CHI,Petra Holesinska,,The Chicago Sky signed Petra Holesinska to a training camp contract.,signing,bbref_transactions_2021.html
2021-04-17,CHI,Shyla Heal,,The Chicago Sky signed Shyla Heal to a multi-year contract.,signing,bbref_transactions_2021.html
